entry_id,violent_external,permanent_scarring,year_from,world_region,year_scaled
173,0,0,90,Southwest Asia,-0.9631613771304717
174,1,0,50,Southwest Asia,-1.0000846874165408
196,0,0,45,Europe,-1.0047001012022994
217,0,0,-202,Europe,-1.2327015422187757
222,1,0,600,North America,-0.49238917098309154
230,1,0,-3300,Southwest Asia,-4.092411923874823
231,0,0,-600,Europe,-1.6000884795651626
284,0,1,-3500,Oceania-Australia,-4.277028475305168
354,0,0,-330,Southwest Asia,-1.3508561351341966
381,0,0,1469,South Asia,0.30976974498175824
389,0,0,1840,Southeast Asia,0.6522334478850486
392,1,0,1606,South Asia,0.43623208271154473
400,0,0,1980,Southeast Asia,0.7814650338862902
415,0,0,1970,South Asia,0.7722342063147729
419,0,0,1970,South Asia,0.7722342063147729
422,0,0,-1500,Europe,-2.4308629610017163
424,1,0,-550,Southwest Asia,-1.5539343417075764
441,0,0,1690,South Asia,0.5137710343122897
442,0,0,311,Africa,-0.7591600877999403
455,0,0,1292,Southeast Asia,0.1463840969659028
456,0,0,-165,Southwest Asia,-1.1985474802041618
469,0,0,1916,East Asia,0.7223877374285798
470,1,1,-800,Europe,-1.7847050309955077
476,1,1,1000,Southeast Asia,-0.12315606812240118
483,0,0,2015,Europe,0.8137729303866006
484,0,0,2015,Europe,0.8137729303866006
485,1,0,500,Europe,-0.5846974466982641
486,0,0,1830,North America,0.6430026203135313
490,0,0,1260,Europe,0.11684544873704755
492,1,0,-800,Europe,-1.7847050309955077
520,1,0,1600,Southeast Asia,0.43069358616863435
525,0,0,1951,Africa,0.7546956339288902
526,0,0,1900,Southeast Asia,0.7076184133141521
534,1,0,-42,Europe,-1.0850083010744995
562,1,1,1017,South Asia,-0.10746366125082184
563,0,0,1845,South Asia,0.6568488616708072
564,1,0,1950,South Asia,0.7537725511717384
565,0,1,1925,Africa,0.7306954822429452
567,0,0,2001,Europe,0.8008497717864764
570,1,0,1986,Southeast Asia,0.7870035304292006
577,1,0,1860,Africa,0.6706951030280831
580,0,1,1700,South Asia,0.5230018618838069
581,0,1,1970,Southeast Asia,0.7722342063147729
590,0,0,670,East Asia,-0.4277733779824707
592,0,0,1200,South Asia,0.061460483307944
598,1,1,1875,Africa,0.684541344385359
607,0,0,-400,East Asia,-1.4154719281348174
623,0,0,1893,North America,0.70115683401409
624,1,0,1550,South Asia,0.3845394483110481
626,0,0,1907,South America,0.7140799926142142
629,0,0,1200,South Asia,0.061460483307944
630,1,0,1886,Oceania-Australia,0.6946952547140279
632,1,0,-650,Europe,-1.646242617422749
