entry_id,violent_external,permanent_scarring,year_from,world_region,year_scaled
633,0,0,1238,South Asia,0.09653762807970959
645,0,0,1100,South Asia,-0.030847792407228587
649,0,0,700,South Asia,-0.40008089526791896
654,1,0,1198,Europe,0.05961431779364055
655,0,1,1917,South America,0.7233108201857315
658,0,0,1925,South America,0.7306954822429452
661,0,0,1113,Europe,-0.01884771656425615
662,0,0,1922,South America,0.72792623397149
666,1,0,1914,Oceania-Australia,0.7205415719142763
674,0,0,1915,South America,0.721464654671428
675,1,0,1885,Europe,0.6937721719568762
676,0,0,1198,Europe,0.05961431779364055
679,0,0,1915,South Asia,0.721464654671428
680,0,0,1850,South Asia,0.6614642754565658
681,1,0,-2350,Southwest Asia,-3.215483304580683
682,1,0,1905,South Asia,0.7122338270999108
684,1,0,1615,North America,0.44453982752591026
685,0,0,1940,Southeast Asia,0.7445417236002212
688,0,0,1866,South Asia,0.6762335995709934
689,1,0,1869,South America,0.6790028478424486
690,0,0,1880,South Asia,0.6891567581711175
691,1,0,1870,Africa,0.6799259305996004
694,1,0,1880,North America,0.6891567581711175
710,1,0,1816,North America,0.6300794617134071
714,0,0,550,South Asia,-0.5385433088406778
719,0,0,1845,North America,0.6568488616708072
721,0,0,1910,Southeast Asia,0.7168492408856694
726,0,0,-700,South Asia,-1.6923967552803352
727,1,0,1160,Southeast Asia,0.024537173021874966
728,0,0,1928,Oceania-Australia,0.7334647305144004
729,1,0,1895,Africa,0.7030029995283935
745,1,1,1860,Oceania-Australia,0.6706951030280831
749,0,0,1800,East Asia,0.6153101375989796
750,1,1,1850,Oceania-Australia,0.6614642754565658
752,1,0,1470,Southeast Asia,0.31069282773891
755,1,0,1850,Central Eurasia,0.6614642754565658
759,1,0,1855,North America,0.6660796892423244
763,0,0,1810,Oceania-Australia,0.6245409651704968
766,0,0,1930,South Asia,0.7353108960287039
770,1,0,1920,Southeast Asia,0.7260800684571866
788,0,0,-1500,Southwest Asia,-2.4308629610017163
794,1,0,1840,North America,0.6522334478850486
834,0,0,1982,Southeast Asia,0.7833111994005937
841,0,0,1073,South Asia,-0.05577102685032519
842,0,0,1730,North America,0.5506943445983588
846,0,0,645,East Asia,-0.45085044691126386
848,0,1,-200,Southwest Asia,-1.2308553767044723
849,0,0,1750,North America,0.5691559997413932
850,1,0,-600,Europe,-1.6000884795651626
851,1,0,1899,North America,0.7066953305570004
852,1,1,-500,Europe,-1.50778020384999
854,1,0,-400,Europe,-1.4154719281348174
857,0,0,1738,Africa,0.5580790066555725
859,0,0,135,Europe,-0.9216226530586441
862,0,0,1907,South Asia,0.7140799926142142
863,0,0,-550,Europe,-1.5539343417075764
867,0,0,1200,South Asia,0.061460483307944
870,0,0,1990,Central Eurasia,0.7906958614578075
871,0,0,1848,North America,0.6596181099422623
877,0,0,1989,Southeast Asia,0.7897727787006558
879,0,0,1860,Africa,0.6706951030280831
880,1,1,1870,Southwest Asia,0.6799259305996004
882,0,0,-450,Europe,-1.4616260659924036
883,0,0,1949,Central Eurasia,0.7528494684145867
884,1,0,1907,Africa,0.7140799926142142
885,0,0,-1960,Africa,-2.85548102929151
886,0,0,1990,Europe,0.7906958614578075
887,0,0,1990,Central Eurasia,0.7906958614578075
891,0,0,1956,South America,0.7593110477146487
892,0,0,1960,North America,0.7630033787432556
896,0,0,800,East Asia,-0.3077726195527464
897,0,0,1928,East Asia,0.7334647305144004
900,1,0,-150,Southwest Asia,-1.1847012388468858
906,0,0,1963,Europe,0.7657726270147108
910,0,0,1968,North America,0.7703880408004695
914,0,0,1258,Africa,0.11499928322274411
915,0,0,2000,North America,0.7999266890293247
919,0,0,1995,Europe,0.795311275243566
921,0,0,1700,South Asia,0.5230018618838069
924,1,0,1853,Africa,0.664233523728021
927,1,1,0,Southwest Asia,-1.046238825274127
928,0,0,1860,North America,0.6706951030280831
931,1,0,1580,Europe,0.41223193102559985
933,0,0,144,Europe,-0.9133149082442785
934,1,0,1911,Central Eurasia,0.7177723236428211
935,1,0,1910,Africa,0.7168492408856694
938,1,0,-1600,Southwest Asia,-2.523171236716889
940,1,0,-31,Europe,-1.0748543907458306
941,0,1,1600,East Asia,0.43069358616863435
942,0,0,1816,Africa,0.6300794617134071
943,1,0,1752,North America,0.5710021652556967
944,1,0,1620,Europe,0.4491552413116689
946,1,0,700,South Asia,-0.40008089526791896
948,0,0,120,Southwest Asia,-0.93546889441592
949,0,0,1963,North America,0.7657726270147108
950,0,0,1652,Africa,0.4786938895405241
952,0,0,1980,Southwest Asia,0.7814650338862902
953,0,0,1975,South Asia,0.7768496201005316
957,0,0,-800,Europe,-1.7847050309955077
958,1,0,1540,Europe,0.3753086207395308
960,0,0,1000,South Asia,-0.12315606812240118
961,0,0,1885,Europe,0.6937721719568762
962,1,0,1400,East Asia,0.24607703473828918
963,1,0,1119,Europe,-0.013309220021345795
966,1,0,1318,Central Eurasia,0.17038424865184765
967,0,0,1825,Europe,0.6383872065277727
969,0,0,1891,South Asia,0.6993106684997866
971,1,1,500,South Asia,-0.5846974466982641
972,1,0,431,Southwest Asia,-0.6483901569417332
973,1,0,1845,South Asia,0.6568488616708072
974,1,0,1204,Southwest Asia,0.0651528143365509
975,0,0,1980,North America,0.7814650338862902
976,0,0,1187,South Asia,0.049460407464971566
978,0,0,1500,Southeast Asia,0.33838531045346176
980,0,0,1175,East Asia,0.038383414379150854
982,1,1,-499,Southwest Asia,-1.5068571210928383
983,0,1,600,South Asia,-0.49238917098309154
984,0,0,1520,Europe,0.35684696559649626
985,0,0,1108,Europe,-0.02346313035001478
986,0,0,150,Europe,-0.9077764117013681
987,0,0,1600,South Asia,0.43069358616863435
988,0,0,1832,North America,0.6448487858278348
989,0,0,1928,Europe,0.7334647305144004
991,0,0,1944,North America,0.7482340546288281
993,1,0,-712,Europe,-1.703473748366156
994,1,0,330,Africa,-0.7416215154140575
997,1,0,-2950,Africa,-3.769332958871719
1004,1,0,-200,Europe,-1.2308553767044723
1006,1,0,-2670,Africa,-3.5108697868692356
1010,0,0,-530,Europe,-1.5354726865645418
1013,1,1,1510,South Asia,0.34761613802497904
1028,1,0,1100,Europe,-0.030847792407228587
1037,1,0,-1100,Africa,-2.0616298581410257
1038,0,0,1644,East Asia,0.4713092274833103
1041,0,0,1600,East Asia,0.43069358616863435
1043,1,1,1500,Southeast Asia,0.33838531045346176
1044,0,0,-141,East Asia,-1.1763934940325205
1051,1,0,-1960,Africa,-2.85548102929151
1060,0,0,1500,East Asia,0.33838531045346176
1071,0,0,2001,Africa,0.8008497717864764
1076,1,0,1560,South Asia,0.3937702758825653
1083,0,0,1625,South Asia,0.4537706550974275
1087,1,0,969,Europe,-0.15177163359410467
1127,0,0,1890,East Asia,0.6983875857426348
1129,1,0,-700,Europe,-1.6923967552803352
1134,0,1,538,East Asia,-0.5496203019264986
1136,0,0,1910,East Asia,0.7168492408856694
1140,0,0,220,East Asia,-0.8431606187007473
1154,0,0,1500,East Asia,0.33838531045346176
1172,0,0,500,East Asia,-0.5846974466982641
1178,0,0,1997,South America,0.7971574407578695
1180,1,0,1600,Southeast Asia,0.43069358616863435
1192,1,0,1945,Southeast Asia,0.7491571373859798
1196,0,0,1910,North America,0.7168492408856694
1210,1,0,1920,Africa,0.7260800684571866
1220,1,0,1227,Central Eurasia,0.0863837177510406
1227,1,0,-800,Africa,-1.7847050309955077
1229,0,0,1950,Central Eurasia,0.7537725511717384
1231,0,0,1100,East Asia,-0.030847792407228587
1234,1,0,1880,Africa,0.6891567581711175
1241,0,0,1837,East Asia,0.6494641996135934
1246,1,0,1895,Africa,0.7030029995283935
1247,0,0,1885,North America,0.6937721719568762
1248,0,0,-1972,Southwest Asia,-2.8665580223773306
1249,0,0,-294,Europe,-1.3176251558767345
1250,0,0,850,Southwest Asia,-0.26161848169516005
1258,1,1,-1000,Southwest Asia,-1.9693215824258532
1259,0,0,1200,Central Eurasia,0.061460483307944
1268,1,1,360,Southwest Asia,-0.7139290326995057
1279,1,0,1593,Southeast Asia,0.42423200686857226
1281,1,1,1910,Africa,0.7168492408856694
1283,1,0,1500,Southeast Asia,0.33838531045346176
1289,1,0,1500,Southeast Asia,0.33838531045346176
1295,1,0,311,Africa,-0.7591600877999403
1299,1,0,1940,Central Eurasia,0.7445417236002212
1300,1,0,1990,North America,0.7906958614578075
1303,0,0,-1400,Southwest Asia,-2.3385546852865433
1304,0,0,1875,North America,0.684541344385359
1307,0,0,1845,North America,0.6568488616708072
1311,0,0,1870,North America,0.6799259305996004
1323,1,0,1910,Africa,0.7168492408856694
1333,0,0,150,Europe,-0.9077764117013681
1335,0,0,1575,Europe,0.4076165172398412
1337,1,0,-1200,Southwest Asia,-2.1539381338561983
1340,0,0,1957,Europe,0.7602341304718004
1344,0,0,1840,East Asia,0.6522334478850486
1348,1,0,2012,Southwest Asia,0.8110036821151454
1349,1,0,1124,Central Eurasia,-0.008693806235587166
1352,0,0,2,South Asia,-1.0443926597598236
1369,0,0,-750,Southwest Asia,-1.7385508931379214
1370,1,1,1935,Africa,0.7399263098144625
1371,1,1,1979,Southwest Asia,0.7805419511291385
1374,1,0,1560,Europe,0.3937702758825653
1376,0,0,1900,Africa,0.7076184133141521
1386,0,0,1807,East Asia,0.6217717168990416
1390,1,0,1855,North America,0.6660796892423244
1392,0,0,360,Southwest Asia,-0.7139290326995057
1396,0,0,-304,Africa,-1.3268559834482516
1400,1,0,300,East Asia,-0.7693139981286093
1409,0,1,-1500,North America,-2.4308629610017163
1412,0,0,1838,Central Eurasia,0.6503872823707452
1415,1,0,350,Europe,-0.723159860271023
1419,1,0,-1550,Africa,-2.4770170988593025
1420,1,0,1785,North America,0.6014638962417036
1426,1,0,1580,East Asia,0.41223193102559985
1433,0,0,250,Europe,-0.8154681359861956
1434,1,1,1912,South America,0.7186954063999729
1436,0,0,320,Southwest Asia,-0.7508523429855748
1441,1,1,1325,North America,0.17684582795190973
1450,1,1,1855,South America,0.6660796892423244
1454,0,0,1337,Europe,0.18792282103773045
1468,0,0,325,Europe,-0.7462369291998161
1492,1,1,1925,South America,0.7306954822429452
1495,0,0,1997,Europe,0.7971574407578695
1511,1,0,1804,Africa,0.6190024686275865
1517,0,0,1936,Africa,0.7408493925716142
1521,0,0,1256,Europe,0.11315311770844065
1522,1,0,1781,Africa,0.5977715652130967
1544,1,0,1596,Europe,0.42700125514002746
1555,1,0,1970,Southwest Asia,0.7722342063147729
1570,0,0,1900,South Asia,0.7076184133141521
1574,0,0,-2000,Southwest Asia,-2.892404339577579
1619,1,0,1200,Europe,0.061460483307944
1621,1,0,1700,Europe,0.5230018618838069
1624,0,0,-900,Southwest Asia,-1.8770133067106805
1626,0,0,-800,Europe,-1.7847050309955077
1627,0,0,1978,North America,0.7796188683719867
1636,0,0,814,Europe,-0.2948494609526222
1653,1,0,341,Europe,-0.7314676050853886
1654,1,0,1981,Africa,0.7823881166434419
1667,0,0,1850,Africa,0.6614642754565658
1677,1,0,-1650,Southwest Asia,-2.569325374574475
1689,0,0,1516,Southwest Asia,0.35315463456788937
1690,1,0,843,Europe,-0.26808006099522214
1694,1,0,1054,Europe,-0.07330959923620797
1697,1,1,450,Europe,-0.6308515845558504
1701,1,0,1120,Europe,-0.01238613726419407
1708,1,0,708,Southwest Asia,-0.3926962332107051
1737,1,0,661,Southwest Asia,-0.43608112279683625
1759,0,0,1195,Africa,0.05684506952218537
1776,0,0,1881,Africa,0.6900798409282694
1777,0,0,1881,Africa,0.6900798409282694
1780,0,0,1881,Africa,0.6900798409282694
1781,0,0,1969,Africa,0.7713111235576212
1791,1,0,1100,Southwest Asia,-0.030847792407228587
1820,0,0,1980,Africa,0.7814650338862902
1829,0,0,1986,Africa,0.7870035304292006
1835,0,0,1948,Africa,0.751926385657435
1845,0,0,1018,Europe,-0.10654057849367012
1869,0,0,1930,Africa,0.7353108960287039
1872,0,0,1947,Africa,0.7510033029002833
1897,0,0,1951,Africa,0.7546956339288902
1903,1,1,750,Southwest Asia,-0.35392675741033264
1904,1,0,1800,Africa,0.6153101375989796
1908,1,0,1100,East Asia,-0.030847792407228587
1938,0,0,1850,Southwest Asia,0.6614642754565658
1940,0,0,1950,Africa,0.7537725511717384
1943,0,0,1990,South America,0.7906958614578075
1961,0,0,1990,Africa,0.7906958614578075
1966,0,0,1972,Africa,0.7740803718290764
1972,0,0,1970,North America,0.7722342063147729
1974,0,0,1989,Africa,0.7897727787006558
1978,0,0,1965,East Asia,0.7676187925290143
1983,0,0,400,Southwest Asia,-0.6770057224134367
1985,0,0,34,Southwest Asia,-1.0148540115309683
1989,1,0,-600,Europe,-1.6000884795651626
1993,1,0,-600,Europe,-1.6000884795651626
1994,0,0,1968,Africa,0.7703880408004695
2000,0,0,1933,Africa,0.7380801443001591
2003,1,0,1914,Africa,0.7205415719142763
2006,0,0,1972,Africa,0.7740803718290764
2009,1,0,-800,Europe,-1.7847050309955077
2010,1,0,1240,Europe,0.09838379359401303
2016,1,0,909,Southwest Asia,-0.20715659902320824
2021,1,0,1905,Africa,0.7122338270999108
2023,1,0,971,Africa,-0.14992546807980123
2038,1,0,1000,Europe,-0.12315606812240118
2048,1,0,777,Africa,-0.32900352296723606
2052,0,0,1992,Africa,0.7925420269721108
2054,0,0,1918,Africa,0.7242339029428831
2061,0,0,1800,Africa,0.6153101375989796
2069,1,0,1969,Africa,0.7713111235576212
2070,0,0,2003,Africa,0.8026959373007799
2074,0,0,1905,Africa,0.7122338270999108
2084,0,0,1980,Africa,0.7814650338862902
2089,1,0,1974,Africa,0.7759265373433798
2104,0,0,1700,Africa,0.5230018618838069
2111,1,0,700,Africa,-0.40008089526791896
2114,0,0,1837,Africa,0.6494641996135934
2116,0,0,1804,Africa,0.6190024686275865
2122,0,0,1978,Africa,0.7796188683719867
2126,0,0,1984,Africa,0.7851573649148971
2128,1,0,650,Europe,-0.4462350331255052
2131,1,0,900,South America,-0.21546434383757376
2133,0,0,1923,Africa,0.7288493167286418
2138,1,0,1916,Africa,0.7223877374285798
2139,1,0,1980,Africa,0.7814650338862902
2141,1,0,2002,Africa,0.8017728545436281
2147,1,0,1229,Africa,0.08822988326534405
2149,0,1,330,Europe,-0.7416215154140575
2194,0,0,1952,Africa,0.7556187166860419
2203,0,0,-476,East Asia,-1.4856262176783486
2210,0,0,1981,Africa,0.7823881166434419
2228,1,0,1972,Africa,0.7740803718290764
2232,1,0,1350,Europe,0.1999228968807029
2233,0,0,1734,East Asia,0.5543866756269656
2238,0,0,1700,Africa,0.5230018618838069
2244,1,0,1204,Europe,0.0651528143365509
2245,1,0,652,Europe,-0.4443888676112018
2246,1,0,-819,Africa,-1.8022436033813904
2247,1,0,647,Africa,-0.4490042813969604
2248,0,0,1631,Africa,0.45930915164033786
2256,0,0,1700,Africa,0.5230018618838069
2264,1,0,1560,Europe,0.3937702758825653
2266,0,0,-571,East Asia,-1.5733190796077625
2273,0,0,1291,East Asia,0.14546101420875104
2274,0,0,1920,Africa,0.7260800684571866
2278,0,0,1700,Africa,0.5230018618838069
2290,0,0,1200,Africa,0.061460483307944
2308,1,0,711,Europe,-0.38992698493924993
