entry_id,violent_external,hair,year_from,world_region,year_scaled
989,0,0,1928,Europe,0.7372291331156909
991,0,0,1944,North America,0.7520768840793435
993,1,0,-712,Europe,-1.7126497758869768
994,1,0,330,Africa,-0.7456899943791058
997,1,0,-2950,Africa,-3.7894789419278747
1004,1,0,-200,Europe,-1.237521745050096
1006,1,0,-2670,Africa,-3.5296433000639555
1013,1,1,1510,South Asia,0.3493316391902685
1028,1,0,1100,Europe,-0.031141979253327613
1037,1,1,-1100,Africa,-2.0727077367555506
1038,0,1,1644,East Asia,0.4736815535108585
1041,0,0,1600,East Asia,0.432850238360814
1043,1,0,1500,Southeast Asia,0.3400517948379857
1044,0,0,-141,East Asia,-1.182770663371627
1060,0,0,1500,East Asia,0.3400517948379857
1069,0,1,-1504,Africa,-2.447613448587777
1071,0,0,2001,Africa,0.8049719968873555
1076,1,1,1560,South Asia,0.3957308609516827
1083,0,1,1625,South Asia,0.4560498492415211
1087,1,0,969,Europe,-0.15270794026823273
1127,0,0,1890,East Asia,0.7019657245770161
1129,1,0,-700,Europe,-1.7015139626642375
1134,0,1,538,East Asia,-0.5526692318516228
1140,0,0,220,East Asia,-0.8477682822542169
1154,0,0,1500,East Asia,0.3400517948379857
1162,0,0,400,East Asia,-0.6807310839131259
1172,0,1,500,East Asia,-0.5879326403902976
1178,0,0,1997,South America,0.8012600591464425
1180,1,0,1600,Southeast Asia,0.432850238360814
1192,1,1,1945,Southeast Asia,0.7530048685145717
1199,1,1,1905,Africa,0.7158854911054404
1220,1,0,1227,Central Eurasia,0.08671204402066436
1229,0,0,1950,Central Eurasia,0.7576447906907131
1231,0,1,1100,East Asia,-0.031141979253327613
1234,1,1,1880,Africa,0.6926858802247333
1241,0,0,1837,East Asia,0.6527825495099171
1247,0,0,1885,North America,0.6973258024008747
1248,0,0,-1972,Southwest Asia,-2.881910164274614
1249,0,0,-294,Europe,-1.3247522819615545
1250,0,1,850,Southwest Asia,-0.2631380880603984
1258,1,0,-1000,Southwest Asia,-1.9799092932327225
1259,0,0,1200,Central Eurasia,0.061656464269500715
1279,1,0,1593,Southeast Asia,0.426354347314216
1289,1,0,1500,Southeast Asia,0.3400517948379857
1295,1,0,311,Africa,-0.7633216986484431
1300,1,0,1990,North America,0.7947641680998445
1303,0,0,-1400,Southwest Asia,-2.351103067324036
1304,0,0,1875,North America,0.6880459580485919
1307,0,0,1845,North America,0.6602064249917434
1311,0,1,1870,North America,0.6834060358724505
1323,1,1,1910,Africa,0.7205254132815818
1333,0,0,150,Europe,-0.9127271927201966
1335,0,1,1575,Europe,0.40965062748010694
1344,0,0,1840,East Asia,0.655566502815602
1348,1,0,2012,Southwest Asia,0.8151798256748667
1349,1,0,1124,Central Eurasia,-0.008870352807848815
1352,0,0,2,South Asia,-1.0500688891339827
1370,1,1,1935,Africa,0.7437250241622889
1371,1,1,1979,Southwest Asia,0.7845563393123334
1374,1,0,1560,Europe,0.3957308609516827
1376,0,1,1900,Africa,0.711245568929299
1386,0,0,1807,East Asia,0.6249430164530686
1390,1,1,1855,North America,0.6694862693440262
1392,0,0,360,Southwest Asia,-0.7178504613222573
1396,0,0,-304,Africa,-1.3340321263138373
1397,1,0,400,North America,-0.6807310839131259
1400,1,1,300,East Asia,-0.7735295274359542
1412,0,0,1838,Central Eurasia,0.6537105339451454
1415,1,0,350,Europe,-0.7271303056745401
1419,1,1,-1550,Africa,-2.490300732608278
1420,1,1,1785,North America,0.6045273588780464
1426,1,0,1580,East Asia,0.41429054965624834
1433,0,0,250,Europe,-0.8199287491973684
1434,1,1,1912,South America,0.7223813821520384
1436,0,0,320,Southwest Asia,-0.7549698387313886
1441,1,1,1325,North America,0.1776545186730361
1450,1,1,1855,South America,0.6694862693440262
1454,0,0,1337,Europe,0.18879033189577551
1468,0,0,325,Europe,-0.7503299165552472
1492,1,1,1925,South America,0.734445179810006
1495,0,0,1997,Europe,0.8012600591464425
1511,1,1,1804,Africa,0.6221590631473838
1517,0,0,1936,Africa,0.7446530085975172
1522,1,0,1781,Africa,0.6008154211371333
1544,1,0,1596,Europe,0.4291383006199009
1555,1,0,1970,Southwest Asia,0.7762044793952788
1570,0,1,1900,South Asia,0.711245568929299
1574,0,0,-2000,Southwest Asia,-2.907893728461006
1619,1,0,1200,Europe,0.061656464269500715
1621,1,0,1700,Europe,0.5256486818836423
1626,0,0,-800,Europe,-1.794312406187066
1627,0,0,1978,North America,0.783628354877105
1636,0,0,814,Europe,-0.29654552772861664
1653,1,0,341,Europe,-0.7354821655915946
1654,1,0,1981,Africa,0.78641230818279
1667,0,0,1850,Africa,0.6648463471678848
1677,1,0,-1650,Southwest Asia,-2.5830991761311064
1689,0,0,1516,Southwest Asia,0.35489954580163824
1690,1,0,843,Europe,-0.26963397910699644
1694,1,0,1054,Europe,-0.07382926327382865
1697,1,0,450,Europe,-0.6343318621517118
1701,1,1,1120,Europe,-0.012582290548761949
1708,1,0,708,Southwest Asia,-0.3949118778628146
1734,0,0,-1600,South America,-2.536699954369692
1737,1,0,661,Southwest Asia,-0.43852714631854395
1759,0,0,1195,Africa,0.057016542093359296
1776,0,0,1881,Africa,0.6936138646599616
1777,0,0,1881,Africa,0.6936138646599616
1780,0,0,1881,Africa,0.6936138646599616
1781,0,0,1969,Africa,0.7752764949600506
1791,1,0,1100,Southwest Asia,-0.031141979253327613
1820,0,0,1980,Africa,0.7854843237475616
1829,0,0,1986,Africa,0.7910522303589314
1835,0,0,1948,Africa,0.7557888218202565
1845,0,1,1018,Europe,-0.10723670294204685
1869,0,1,1930,Africa,0.7390851019861475
1872,0,1,1947,Africa,0.7548608373850283
1897,0,0,1951,Africa,0.7585727751259415
1903,1,1,750,Southwest Asia,-0.35593653158322675
1904,1,0,1800,Africa,0.6184471254064706
1908,1,0,1100,East Asia,-0.031141979253327613
1938,0,0,1850,Southwest Asia,0.6648463471678848
1940,0,0,1950,Africa,0.7576447906907131
1943,0,0,1990,South America,0.7947641680998445
1961,0,0,1990,Africa,0.7947641680998445
1966,0,0,1972,Africa,0.7780604482657354
1972,0,0,1970,North America,0.7762044793952788
1974,0,0,1989,Africa,0.7938361836646162
1978,0,0,1965,East Asia,0.7715645572191374
1983,0,0,400,Southwest Asia,-0.6807310839131259
1985,0,0,34,Southwest Asia,-1.0203733872066776
1993,1,0,-600,Europe,-1.608715519141409
1994,0,0,1968,Africa,0.7743485105248222
2000,0,0,1933,Africa,0.7418690552918323
2003,1,0,1914,Africa,0.724237351022495
2006,0,0,1972,Africa,0.7780604482657354
2009,1,0,-800,Europe,-1.794312406187066
2010,1,0,1240,Europe,0.09877584167863204
2016,1,0,909,Southwest Asia,-0.20838700638192972
2021,1,0,1905,Africa,0.7158854911054404
2023,1,0,971,Africa,-0.15085197139777615
2038,1,0,1000,Europe,-0.12394042277615594
2048,1,1,777,Africa,-0.3308809518320631
2052,0,0,1992,Africa,0.7966201369703011
2054,0,0,1918,Africa,0.727949288763408
2061,0,1,1800,Africa,0.6184471254064706
2069,1,0,1969,Africa,0.7752764949600506
2070,0,0,2003,Africa,0.8068279657578121
2074,0,0,1905,Africa,0.7158854911054404
2084,0,0,1980,Africa,0.7854843237475616
2089,1,0,1974,Africa,0.779916417136192
2104,0,0,1700,Africa,0.5256486818836423
2111,1,0,700,Africa,-0.4023357533446409
2114,0,0,1837,Africa,0.6527825495099171
2116,0,0,1804,Africa,0.6221590631473838
2122,0,0,1978,Africa,0.783628354877105
2126,0,0,1984,Africa,0.7891962614884748
2133,0,0,1923,Africa,0.7325892109395495
2138,1,0,1916,Africa,0.7260933198929516
2139,1,0,1980,Africa,0.7854843237475616
2141,1,0,2002,Africa,0.8058999813225839
2147,1,0,1229,Africa,0.08856801289112093
2194,0,0,1952,Africa,0.7595007595611697
2203,0,0,-476,East Asia,-1.493645449173102
2210,0,1,1981,Africa,0.78641230818279
2228,1,0,1972,Africa,0.7780604482657354
2238,0,0,1700,Africa,0.5256486818836423
2244,1,1,1204,Europe,0.06536840201041384
2245,1,0,652,Europe,-0.4468790062355985
2246,1,0,-819,Africa,-1.8119441104564031
2247,1,1,647,Africa,-0.4515189284117399
2248,0,0,1631,Africa,0.4616177558528908
2256,0,0,1700,Africa,0.5256486818836423
2266,0,0,-571,East Asia,-1.5818039705197888
2273,0,0,1291,East Asia,0.14610304787527448
2274,0,0,1920,Africa,0.7298052576338646
2278,0,0,1700,Africa,0.5256486818836423
2290,0,0,1200,Africa,0.061656464269500715
2308,1,0,711,Europe,-0.3921279245571298
