entry_id,violent_external,hair,year_from,world_region,year_scaled
173,0,0,90,Southwest Asia,-0.9684062588338936
174,1,0,50,Southwest Asia,-1.005525636243025
212,0,0,-481,East Asia,-1.4982853713492434
217,0,0,-202,Europe,-1.2393777139205524
230,1,0,-3300,Southwest Asia,-4.114273494257774
231,0,0,-600,Europe,-1.608715519141409
284,0,1,-3500,Oceania-Australia,-4.299870381303431
354,0,0,-330,Southwest Asia,-1.3581597216297727
381,0,0,1469,South Asia,0.3112842773459089
389,0,0,1840,Southeast Asia,0.655566502815602
392,1,1,1606,South Asia,0.43841814497218373
400,0,0,1980,Southeast Asia,0.7854843237475616
415,0,1,1970,South Asia,0.7762044793952788
419,0,0,1970,South Asia,0.7762044793952788
422,0,0,-1500,Europe,-2.4439015108468642
424,1,0,-550,Southwest Asia,-1.562316297379995
441,0,0,1690,South Asia,0.5163688375313595
442,0,0,311,Africa,-0.7633216986484431
469,0,0,1916,East Asia,0.7260933198929516
476,1,1,1000,Southeast Asia,-0.12394042277615594
483,0,0,2015,Europe,0.8179637789805515
484,0,0,2015,Europe,0.8179637789805515
486,0,0,1830,North America,0.6462866584633191
492,1,0,-800,Europe,-1.794312406187066
520,1,1,1600,Southeast Asia,0.432850238360814
525,0,0,1951,Africa,0.7585727751259415
526,0,0,1900,Southeast Asia,0.711245568929299
534,1,0,-42,Europe,-1.090900204284027
562,1,0,1017,South Asia,-0.10816468737727512
563,0,0,1845,South Asia,0.6602064249917434
564,1,0,1950,South Asia,0.7576447906907131
567,0,0,2001,Europe,0.8049719968873555
570,1,0,1986,Southeast Asia,0.7910522303589314
580,0,0,1700,South Asia,0.5256486818836423
581,0,1,1970,Southeast Asia,0.7762044793952788
590,0,0,670,East Asia,-0.4301752864014894
592,0,0,1200,South Asia,0.061656464269500715
623,0,0,1893,North America,0.704749677882701
624,1,0,1550,South Asia,0.38645101659939984
629,0,0,1200,South Asia,0.061656464269500715
632,1,0,-650,Europe,-1.6551147409028233
633,0,0,1238,South Asia,0.09691987280817548
645,0,0,1100,South Asia,-0.031141979253327613
649,0,0,700,South Asia,-0.4023357533446409
654,1,1,1198,Europe,0.05980049539904415
661,0,1,1113,Europe,-0.01907818159535993
676,0,1,1198,Europe,0.05980049539904415
680,0,0,1850,South Asia,0.6648463471678848
685,0,0,1940,Southeast Asia,0.7483649463384303
688,0,0,1866,South Asia,0.6796940981315374
690,0,0,1880,South Asia,0.6926858802247333
714,0,1,550,South Asia,-0.5415334186288834
719,0,0,1845,North America,0.6602064249917434
726,0,1,-700,South Asia,-1.7015139626642375
739,1,0,1885,Oceania-Australia,0.6973258024008747
749,0,1,1800,East Asia,0.6184471254064706
755,1,0,1850,Central Eurasia,0.6648463471678848
770,1,0,1920,Southeast Asia,0.7298052576338646
788,0,0,-1500,Southwest Asia,-2.4439015108468642
794,1,1,1840,North America,0.655566502815602
834,0,0,1982,Southeast Asia,0.7873402926180182
841,0,0,1073,South Asia,-0.05619755900449126
842,0,0,1730,North America,0.5534882149404908
846,0,1,645,East Asia,-0.4533748972821965
848,0,0,-200,Southwest Asia,-1.237521745050096
849,0,0,1750,North America,0.5720479036450565
850,1,1,-600,Europe,-1.608715519141409
851,1,1,1899,North America,0.7103175844940707
854,1,1,-400,Europe,-1.4231186320957525
857,0,0,1738,Africa,0.560912090422317
858,1,0,165,Europe,-0.8988074261917725
859,0,0,135,Europe,-0.926646959248621
862,0,0,1907,South Asia,0.717741459975897
867,0,1,1200,South Asia,0.061656464269500715
870,0,1,1990,Central Eurasia,0.7947641680998445
871,0,0,1848,North America,0.6629903782974282
877,0,0,1989,Southeast Asia,0.7938361836646162
879,0,0,1860,Africa,0.6741261915201676
880,1,1,1870,Southwest Asia,0.6834060358724505
882,0,0,-450,Europe,-1.4695178538571667
883,0,0,1949,Central Eurasia,0.7567168062554849
884,1,0,1907,Africa,0.717741459975897
885,0,1,-1960,Africa,-2.870774351051874
886,0,0,1990,Europe,0.7947641680998445
887,0,0,1990,Central Eurasia,0.7947641680998445
891,0,1,1956,South America,0.7632126973020829
892,0,0,1960,North America,0.766924635042996
896,0,0,800,East Asia,-0.3095373098218126
897,0,1,1928,East Asia,0.7372291331156909
900,1,0,-150,Southwest Asia,-1.1911225232886817
906,0,0,1963,Europe,0.7697085883486808
910,0,0,1968,North America,0.7743485105248222
914,0,0,1258,Africa,0.11547956151274114
919,0,0,1995,Europe,0.7994040902759859
921,0,0,1700,South Asia,0.5256486818836423
924,1,1,1853,Africa,0.6676303004735696
927,1,0,0,Southwest Asia,-1.0519248580044391
928,0,0,1860,North America,0.6741261915201676
931,1,0,1580,Europe,0.41429054965624834
933,0,0,144,Europe,-0.9182950993315664
934,1,1,1911,Central Eurasia,0.72145339771681
935,1,0,1910,Africa,0.7205254132815818
938,1,0,-1600,Southwest Asia,-2.536699954369692
940,1,0,-31,Europe,-1.0806923754965159
941,0,1,1600,East Asia,0.432850238360814
942,0,0,1816,Africa,0.6332948763701232
943,1,0,1752,North America,0.5739038725155131
944,1,0,1620,Europe,0.4514099270653797
946,1,0,700,South Asia,-0.4023357533446409
949,0,0,1963,North America,0.7697085883486808
950,0,0,1652,Africa,0.4811054289926847
952,0,0,1980,Southwest Asia,0.7854843237475616
953,0,0,1975,South Asia,0.7808444015714202
957,0,0,-800,Europe,-1.794312406187066
958,1,0,1540,Europe,0.377171172247117
960,0,0,1000,South Asia,-0.12394042277615594
961,0,0,1885,Europe,0.6973258024008747
962,1,1,1400,East Asia,0.24725335131515735
963,1,1,1119,Europe,-0.013510274983990232
966,1,1,1318,Central Eurasia,0.17115862762643813
967,0,0,1825,Europe,0.6416467362871777
969,0,0,1891,South Asia,0.7028937090122445
971,1,0,500,South Asia,-0.5879326403902976
972,1,0,431,Southwest Asia,-0.6519635664210491
973,1,1,1845,South Asia,0.6602064249917434
974,1,0,1204,Southwest Asia,0.06536840201041384
975,0,0,1980,North America,0.7854843237475616
976,0,0,1187,South Asia,0.049592666611533026
978,0,0,1500,Southeast Asia,0.3400517948379857
980,0,0,1175,East Asia,0.03845685338879363
983,0,0,600,South Asia,-0.49513419686746923
984,0,0,1520,Europe,0.35861148354255135
985,0,0,1108,Europe,-0.023718103771501346
986,0,0,150,Europe,-0.9127271927201966
987,0,0,1600,South Asia,0.432850238360814
988,0,0,1832,North America,0.6481426273337757
