entry_id,violent_external,dress,year_from,world_region,year_scaled
958,1,0,1540,Europe,0.3926638682400085
960,0,0,1000,South Asia,-0.1099243419400296
961,0,0,1885,Europe,0.7137618914105884
962,1,1,1400,East Asia,0.2623632211562949
963,1,1,1119,Europe,0.0008312080811269446
966,1,1,1318,Central Eurasia,0.1860442707215484
967,0,0,1825,Europe,0.6579187569461398
969,0,0,1891,South Asia,0.7193462048570333
971,1,0,500,South Asia,-0.5752837958104352
972,1,0,431,Southwest Asia,-0.6395034004445512
973,1,1,1845,South Asia,0.6765331351009559
974,1,0,1204,Southwest Asia,0.07994231523909591
975,0,0,1980,North America,0.8021801876459654
976,0,0,1187,South Asia,0.06412009380750211
978,0,0,1500,Southeast Asia,0.3554351119303761
980,0,0,1175,East Asia,0.05295146691461238
983,0,0,600,South Asia,-0.48221190503635414
984,0,0,1520,Europe,0.3740494900851923
985,0,0,1108,Europe,-0.00940669990402198
986,0,0,150,Europe,-0.9010354135197193
987,0,0,1600,South Asia,0.4485070027044572
988,0,0,1832,North America,0.6644337893003254
989,0,0,1928,Europe,0.7537828044434433
991,0,0,1944,North America,0.7686743069672963
993,1,0,-712,Europe,-1.7033151119922987
994,1,1,330,Africa,-0.7335060101263732
997,1,0,-2950,Africa,-3.7862640275162343
1004,1,0,-200,Europe,-1.2267870312290032
1006,1,0,-2670,Africa,-3.525662733348807
1013,1,1,1510,South Asia,0.36474230100778415
1028,1,0,1100,Europe,-0.01685245116594847
1037,1,1,-1100,Africa,-2.0644340481957335
1038,0,1,1644,East Asia,0.4894586346450529
1041,0,0,1600,East Asia,0.4485070027044572
1043,1,1,1500,Southeast Asia,0.3554351119303761
1044,0,0,-141,East Asia,-1.1718746156722952
1060,0,0,1500,East Asia,0.3554351119303761
1069,0,1,-1504,Africa,-2.4404444869230213
1071,0,0,2001,Africa,0.8217252847085226
1076,1,1,1560,South Asia,0.41127824639482474
1083,0,1,1625,South Asia,0.47177497539797747
1087,1,0,969,Europe,-0.13877662807999475
1127,0,0,1890,East Asia,0.7184154859492925
1129,1,0,-700,Europe,-1.6921464850994088
1134,0,1,538,East Asia,-0.5399164773162844
1140,0,0,220,East Asia,-0.8358850899778625
1154,0,0,1500,East Asia,0.3554351119303761
1162,0,0,400,East Asia,-0.6683556865845164
1172,0,1,500,East Asia,-0.5752837958104352
1178,0,0,1997,South America,0.8180024090775593
1180,1,1,1600,Southeast Asia,0.4485070027044572
1192,1,1,1945,Southeast Asia,0.7696050258750371
1199,1,1,1905,Africa,0.7323762695654047
1220,1,0,1227,Central Eurasia,0.10134885011713457
1229,0,0,1950,Central Eurasia,0.7742586204137412
1231,0,1,1100,East Asia,-0.01685245116594847
1241,0,0,1837,East Asia,0.6690873838390294
1247,0,0,1885,North America,0.7137618914105884
1248,0,0,-1972,Southwest Asia,-2.876020935745721
1249,0,0,-294,Europe,-1.3142746085566395
1250,0,1,850,Southwest Asia,-0.2495321781011513
1258,1,0,-1000,Southwest Asia,-1.9713621574216522
1259,0,0,1200,Central Eurasia,0.07621943960813266
1279,1,1,1593,Southeast Asia,0.4419919703502715
1289,1,0,1500,Southeast Asia,0.3554351119303761
1295,1,0,311,Africa,-0.7511896693734486
1300,1,0,1990,North America,0.8114873767233736
1303,0,0,-1400,Southwest Asia,-2.343649720517977
1304,0,0,1875,North America,0.7044547023331803
1307,0,0,1845,North America,0.6765331351009559
1311,0,1,1870,North America,0.6998011077944762
1333,0,0,150,Europe,-0.9010354135197193
1335,0,1,1575,Europe,0.4252390300109369
1340,0,1,1957,Europe,0.7807736527679269
1344,0,0,1840,East Asia,0.6718795405622519
1348,1,0,2012,Southwest Asia,0.8319631926936715
1349,1,0,1124,Central Eurasia,0.005484802619831001
1352,0,0,2,South Asia,-1.0387818118653593
1370,1,1,1935,Africa,0.760297836797629
1371,1,1,1979,Southwest Asia,0.8012494687382247
1374,1,0,1560,Europe,0.41127824639482474
1376,0,1,1900,Africa,0.7277226750267006
1386,0,0,1807,East Asia,0.6411658166068052
1390,1,1,1855,North America,0.685840324178364
1392,0,0,360,Southwest Asia,-0.7055844428941489
1396,0,0,-304,Africa,-1.3235817976340476
1397,1,0,400,North America,-0.6683556865845164
1400,1,1,300,East Asia,-0.7614275773585976
1412,0,0,1838,Central Eurasia,0.6700181027467703
1415,1,0,350,Europe,-0.7148916319715569
1419,1,1,-1550,Africa,-2.4832575566790984
1426,1,0,1580,East Asia,0.42989262454964094
1433,0,0,250,Europe,-0.8079635227456381
1434,1,1,1912,South America,0.7388913019195903
1436,0,0,320,Southwest Asia,-0.7428131992037813
1441,1,1,1325,North America,0.19255930307573407
1450,1,1,1855,South America,0.685840324178364
1454,0,0,1337,Europe,0.20372792996862382
1468,0,0,325,Europe,-0.7381596046650772
1492,1,1,1925,South America,0.7509906477202208
1495,0,0,1997,Europe,0.8180024090775593
1511,1,1,1804,Africa,0.6383736598835827
1517,0,0,1936,Africa,0.7612285557053697
1522,1,0,1781,Africa,0.6169671250055441
1544,1,0,1596,Europe,0.44478412707349396
1555,1,1,1970,Southwest Asia,0.7928729985685574
1570,0,1,1900,South Asia,0.7277226750267006
1574,0,0,-2000,Southwest Asia,-2.9020810651624633
1619,1,0,1200,Europe,0.07621943960813266
1621,1,0,1700,Europe,0.5415788934785383
1626,0,0,-800,Europe,-1.78521837587349
1627,0,0,1978,North America,0.8003187498304839
1636,0,0,814,Europe,-0.2830380587798205
1653,1,0,341,Europe,-0.7232681021412243
1654,1,0,1981,Africa,0.8031109065537063
1667,0,0,1850,Africa,0.68118672963966
1677,1,0,-1650,Southwest Asia,-2.5763294474531797
1689,0,0,1516,Southwest Asia,0.37032661445422904
1690,1,0,843,Europe,-0.25604721045533696
1694,1,0,1054,Europe,-0.05966552092202579
1697,1,0,450,Europe,-0.6218197411974759
1701,1,1,1120,Europe,0.001761926988867756
1708,1,0,708,Southwest Asia,-0.3816942630003465
1734,0,0,-1600,South America,-2.529793502066139
1737,1,0,661,Southwest Asia,-0.42543805166416465
1759,0,0,1195,Africa,0.0715658450694286
1776,0,0,1881,Africa,0.7100390157796251
1777,0,0,1881,Africa,0.7100390157796251
1780,0,0,1881,Africa,0.7100390157796251
1781,0,0,1969,Africa,0.7919422796608165
1791,1,0,1100,Southwest Asia,-0.01685245116594847
1820,0,0,1980,Africa,0.8021801876459654
1829,0,0,1986,Africa,0.8077645010924104
1835,0,1,1948,Africa,0.7723971825982595
1845,0,1,1018,Europe,-0.093171401600695
1869,0,1,1930,Africa,0.7556442422589249
1872,0,1,1947,Africa,0.7714664636905187
1897,0,1,1951,Africa,0.7751893393214819
1903,1,1,750,Southwest Asia,-0.3426040688752324
1904,1,0,1800,Africa,0.6346507842526194
1908,1,0,1100,East Asia,-0.01685245116594847
1938,0,0,1850,Southwest Asia,0.68118672963966
1940,0,0,1950,Africa,0.7742586204137412
1943,0,1,1990,South America,0.8114873767233736
1961,0,0,1990,Africa,0.8114873767233736
1966,0,0,1972,Africa,0.794734436384039
1972,0,0,1970,North America,0.7928729985685574
1974,0,0,1989,Africa,0.8105566578156328
1978,0,0,1965,East Asia,0.7882194040298534
1983,0,0,400,Southwest Asia,-0.6683556865845164
1985,0,0,34,Southwest Asia,-1.0089988068176534
1993,1,0,-600,Europe,-1.5990745943253277
1994,0,0,1968,Africa,0.7910115607530758
2000,0,0,1933,Africa,0.7584363989821473
2003,1,0,1914,Africa,0.7407527397350719
2006,0,0,1972,Africa,0.794734436384039
2009,1,0,-800,Europe,-1.78521837587349
2010,1,1,1240,Europe,0.11344819591776512
2016,1,0,909,Southwest Asia,-0.19461976254444344
2021,1,0,1905,Africa,0.7323762695654047
2023,1,0,971,Africa,-0.13691519026451313
2038,1,0,1000,Europe,-0.1099243419400296
2048,1,0,777,Africa,-0.3174746583662305
2052,0,0,1992,Africa,0.8133488145388552
2054,0,0,1918,Africa,0.7444756153660352
2061,0,1,1800,Africa,0.6346507842526194
2069,1,1,1969,Africa,0.7919422796608165
2070,0,0,2003,Africa,0.8235867225240041
2074,0,0,1905,Africa,0.7323762695654047
2084,0,1,1980,Africa,0.8021801876459654
2089,1,1,1974,Africa,0.7965958741995206
2104,0,0,1700,Africa,0.5415788934785383
2111,1,0,700,Africa,-0.389140014262273
2114,0,0,1837,Africa,0.6690873838390294
2116,0,0,1804,Africa,0.6383736598835827
2122,0,0,1978,Africa,0.8003187498304839
2126,0,0,1984,Africa,0.8059030632769287
2133,0,0,1923,Africa,0.7491292099047392
2138,1,0,1916,Africa,0.7426141775505536
2139,1,0,1980,Africa,0.8021801876459654
2141,1,0,2002,Africa,0.8226560036162633
2147,1,0,1229,Africa,0.10321028793261619
2160,1,1,250,Southwest Asia,-0.8079635227456381
2194,0,0,1952,Africa,0.7761200582292228
2203,0,0,-476,East Asia,-1.483665449765467
2210,0,0,1981,Africa,0.8031109065537063
2228,1,0,1972,Africa,0.794734436384039
2238,0,0,1700,Africa,0.5415788934785383
2244,1,1,1204,Europe,0.07994231523909591
2245,1,0,652,Europe,-0.43381452183383196
2246,1,0,-819,Africa,-1.8029020351205653
2247,1,0,647,Africa,-0.438468116372536
2248,0,0,1631,Africa,0.47735928884442236
2256,0,0,1700,Africa,0.5415788934785383
2266,0,0,-571,East Asia,-1.572083746000844
2273,0,0,1291,East Asia,0.1609148602125465
2274,0,0,1920,Africa,0.7463370531815168
2278,0,0,1700,Africa,0.5415788934785383
2290,0,0,1200,Africa,0.07621943960813266
2308,1,0,711,Europe,-0.37890210627712406
