entry_id,violent_external,tattoos_scarification,year_from,world_region,year_scaled
173,0,0,90,Southwest Asia,-0.9955232195291007
174,1,0,50,Southwest Asia,-1.033331725974938
212,0,0,-481,East Asia,-1.5352396490434284
217,0,0,-202,Europe,-1.271525316583713
230,1,0,-3300,Southwest Asia,-4.199794140813812
231,0,0,-600,Europe,-1.6477199557197943
257,0,1,250,North America,-0.8442891937457515
284,0,1,-3500,Oceania-Australia,-4.388836673042999
354,0,0,-330,Southwest Asia,-1.3925125372103924
381,0,0,1469,South Asia,0.30792504019114036
389,0,0,1840,Southeast Asia,0.6585989374762814
392,1,0,1606,South Asia,0.43741917476813313
400,0,0,1980,Southeast Asia,0.790928710036712
415,0,0,1970,South Asia,0.7814765834252526
419,0,0,1970,South Asia,0.7814765834252526
422,0,0,-1500,Europe,-2.4984113507511334
424,1,0,-550,Southwest Asia,-1.6004593226624977
441,0,0,1690,South Asia,0.5168170383043914
442,0,0,311,Africa,-0.7866312214158496
456,0,0,-165,Southwest Asia,-1.2365524481213135
469,0,0,1916,East Asia,0.7304350997233723
476,1,0,1000,Southeast Asia,-0.13537969788630205
483,0,0,2015,Europe,0.8240111531768196
484,0,0,2015,Europe,0.8240111531768196
485,1,0,500,Europe,-0.6079860284592684
486,0,0,1830,North America,0.6491468108648221
490,0,0,1260,Europe,0.11037559401164043
492,1,0,-800,Europe,-1.8367624879489808
520,1,1,1600,Southeast Asia,0.4317478988012575
525,0,0,1951,Africa,0.7635175428634798
526,0,0,1900,Southeast Asia,0.7153116971450373
534,1,0,-42,Europe,-1.120291290800364
562,1,0,1017,South Asia,-0.1193110826468212
563,0,0,1845,South Asia,0.6633250007820111
564,1,0,1950,South Asia,0.762572330202334
567,0,0,2001,Europe,0.8107781759207765
570,1,0,1986,Southeast Asia,0.7965999860035875
580,0,0,1700,South Asia,0.5262691649158507
581,0,1,1970,Southeast Asia,0.7814765834252526
590,0,0,670,East Asia,-0.4472998760644598
592,0,0,1200,South Asia,0.05366283434288447
602,1,1,1930,Africa,0.7436680769794153
623,0,0,1893,North America,0.7086952085170157
624,1,0,1550,South Asia,0.3844872657439609
629,0,0,1200,South Asia,0.05366283434288447
632,1,0,-650,Europe,-1.6949805887770908
633,0,0,1238,South Asia,0.0895809154664299
645,0,0,1100,South Asia,-0.040858431771708795
649,0,0,700,South Asia,-0.41894349623008187
654,1,0,1198,Europe,0.0517724090205926
661,0,0,1113,Europe,-0.028570667176811667
667,0,1,1855,East Asia,0.6727771273934703
676,0,0,1198,Europe,0.0517724090205926
680,0,0,1850,South Asia,0.6680510640877406
688,0,0,1866,South Asia,0.6831744666660756
690,0,0,1880,South Asia,0.6964074439221186
711,1,1,1912,Oceania-Australia,0.7266542490787885
714,0,0,550,South Asia,-0.5607253954019717
719,0,0,1845,North America,0.6633250007820111
726,0,0,-700,South Asia,-1.7422412218343875
727,1,0,1160,Southeast Asia,0.015854327897047167
732,1,1,1800,Oceania-Australia,0.6207904310304441
739,1,0,1885,Oceania-Australia,0.7011335072278483
745,1,1,1860,Oceania-Australia,0.6775031906992
749,0,0,1800,East Asia,0.6207904310304441
755,1,0,1850,Central Eurasia,0.6680510640877406
770,1,0,1920,Southeast Asia,0.734215950367956
788,0,0,-1500,Southwest Asia,-2.4984113507511334
834,0,0,1982,Southeast Asia,0.7928191353590038
841,0,0,1073,South Asia,-0.06637917362264897
842,0,0,1730,North America,0.5546255447502287
846,0,0,645,East Asia,-0.47093019259310814
848,0,0,-200,Southwest Asia,-1.2696348912614213
849,0,0,1750,North America,0.5735297979731474
851,1,0,1899,North America,0.7143664844838914
857,0,0,1738,Africa,0.5621872460393962
859,0,0,135,Europe,-0.9529886497775337
862,0,0,1907,South Asia,0.7219281857730588
867,0,0,1200,South Asia,0.05366283434288447
869,1,1,855,East Asia,-0.27243553375246227
870,0,0,1990,Central Eurasia,0.8003808366481713
871,0,0,1848,North America,0.6661606387654488
877,0,0,1989,Southeast Asia,0.7994356239870253
879,0,0,1860,Africa,0.6775031906992
880,1,0,1870,Southwest Asia,0.6869553173106593
882,0,0,-450,Europe,-1.5059380565479044
883,0,0,1949,Central Eurasia,0.7616271175411881
884,1,0,1907,Africa,0.7219281857730588
885,0,1,-1960,Africa,-2.9332091748782627
886,0,0,1990,Europe,0.8003808366481713
887,0,0,1990,Central Eurasia,0.8003808366481713
891,0,0,1956,South America,0.7682436061692095
892,0,0,1960,North America,0.7720244568137933
896,0,0,800,East Asia,-0.3244222301154886
