entry_id,violent_external,ornaments,year_from,world_region,year_scaled
173,0,0,90,Southwest Asia,-0.9608605190834378
174,1,0,50,Southwest Asia,-0.9975863972728956
212,0,0,-481,East Asia,-1.4851224302379473
217,0,0,-202,Europe,-1.2289594298664794
230,1,0,-3300,Southwest Asia,-4.073378695639982
231,0,0,-600,Europe,-1.5943819178515841
257,0,1,250,North America,-0.8139570063256067
284,0,1,-3500,Oceania-Australia,-4.257008086587271
354,0,0,-330,Southwest Asia,-1.3464822400727443
381,0,0,1469,South Asia,0.30526413149811826
389,0,0,1840,Southeast Asia,0.6458966517053389
392,1,1,1606,South Asia,0.43105026429701104
400,0,0,1980,Southeast Asia,0.7744372253684411
415,0,1,1970,South Asia,0.7652557558210766
419,0,0,1970,South Asia,0.7652557558210766
422,0,0,-1500,Europe,-2.4207141771143834
424,1,0,-550,Southwest Asia,-1.548474570114762
441,0,0,1690,South Asia,0.5081746084948724
442,0,0,311,Africa,-0.7579500420866837
469,0,0,1916,East Asia,0.7156758202653086
476,1,1,1000,Southeast Asia,-0.12534679027327392
483,0,0,2015,Europe,0.8065723687842166
484,0,0,2015,Europe,0.8065723687842166
485,1,1,500,Europe,-0.5844202676414958
486,0,0,1830,North America,0.6367151821579745
492,1,1,-800,Europe,-1.778011308798873
520,1,1,1600,Southeast Asia,0.4255413825685924
525,0,0,1951,Africa,0.7478109636810842
526,0,0,1900,Southeast Asia,0.7009854689895255
534,1,0,-42,Europe,-1.0820559171086483
562,1,0,1017,South Asia,-0.10973829204275437
563,0,0,1845,South Asia,0.6504873864790212
564,1,0,1950,South Asia,0.7468928167263478
567,0,0,2001,Europe,0.7937183114179064
570,1,0,1986,Southeast Asia,0.7799461070968597
580,0,1,1700,South Asia,0.5173560780422368
581,0,1,1970,Southeast Asia,0.7652557558210766
590,0,0,670,East Asia,-0.4283352853363004
592,0,0,1200,South Asia,0.058282600674014855
602,1,1,1930,Africa,0.7285298776316189
623,0,0,1893,North America,0.6945584403063705
624,1,0,1550,South Asia,0.3796340348317702
629,0,0,1200,South Asia,0.058282600674014855
