entry_id,violent_external,extra_ritual_group_markers,year_from,world_region,year_scaled
173,0,0,90,Southwest Asia,-0.9587149084187443
174,1,0,50,Southwest Asia,-0.9958113759765214
180,0,1,-350,East Asia,-1.366776051554292
212,0,0,-481,East Asia,-1.4882669828060118
217,0,0,-202,Europe,-1.2295191215905168
222,1,1,600,North America,-0.4857349470570868
230,1,0,-3300,Southwest Asia,-4.102640533940351
231,0,0,-600,Europe,-1.5986289737903987
257,0,1,250,North America,-0.810329038187636
284,0,1,-3500,Oceania-Australia,-4.288122871729236
354,0,0,-330,Southwest Asia,-1.3482278177754035
381,0,0,1469,South Asia,0.32018581063561985
389,0,0,1840,Southeast Asia,0.664255547234002
392,1,1,1606,South Asia,0.4472412120210063
400,0,0,1980,Southeast Asia,0.7940931836862218
415,0,1,1970,South Asia,0.7848190667967775
419,0,0,1970,South Asia,0.7848190667967775
422,0,1,-1500,Europe,-2.4332994938403827
424,1,0,-550,Southwest Asia,-1.5522583893431772
441,0,0,1690,South Asia,0.5251437938923381
442,0,0,311,Africa,-0.7537569251620261
456,0,1,-165,Southwest Asia,-1.195204889099573
469,0,0,1916,East Asia,0.7347388355937785
476,1,1,1000,Southeast Asia,-0.11477027147931618
483,0,1,2015,Europe,0.8265525927992767
484,0,0,2015,Europe,0.8265525927992767
485,1,1,500,Europe,-0.5784761159515295
486,0,0,1830,North America,0.6549814303445578
490,0,1,1260,Europe,0.1263567676462347
492,1,1,-800,Europe,-1.784111311579284
520,1,1,1600,Southeast Asia,0.44167674188733974
525,0,0,1951,Africa,0.7671982447068334
526,0,0,1900,Southeast Asia,0.7199002485706677
534,1,0,-42,Europe,-1.0811332513594085
562,1,0,1017,South Asia,-0.09900427276726093
563,0,0,1845,South Asia,0.6688926056787242
564,1,1,1950,South Asia,0.766270833017889
567,0,0,2001,Europe,0.8135688291540547
570,1,0,1986,Southeast Asia,0.7996576538198884
580,0,1,1700,South Asia,0.5344179107817824
581,0,1,1970,Southeast Asia,0.7848190667967775
590,0,0,670,East Asia,-0.4208161288309769
592,0,1,1200,South Asia,0.07071206630956912
602,1,1,1930,Africa,0.7477225992390005
604,0,1,1890,Africa,0.7106261316812235
608,1,1,1926,Southwest Asia,0.7440129524832227
623,0,1,1893,North America,0.7134083667480567
624,1,0,1550,South Asia,0.3953061574401184
629,0,0,1200,South Asia,0.07071206630956912
630,1,1,1886,Oceania-Australia,0.7069164849254457
632,1,0,-650,Europe,-1.64499955823762
633,0,0,1238,South Asia,0.10595371048945733
645,0,1,1100,South Asia,-0.022029102584873526
649,0,0,700,South Asia,-0.39299377816264414
654,1,1,1198,Europe,0.06885724293168027
661,0,1,1113,Europe,-0.009972750628595983
667,0,1,1855,East Asia,0.6781667225681685
676,0,1,1198,Europe,0.06885724293168027
680,0,0,1850,South Asia,0.6735296641234464
685,0,1,1940,Southeast Asia,0.7569967161284448
688,0,0,1866,South Asia,0.6883682511465572
690,0,0,1880,South Asia,0.7013520147917791
711,1,1,1912,Oceania-Australia,0.7310291888380008
714,0,1,550,South Asia,-0.5321055315043081
719,0,0,1845,North America,0.6688926056787242
726,0,1,-700,South Asia,-1.6913701426848413
727,1,1,1160,Southeast Asia,0.03361559875179206
729,1,1,1895,Africa,0.7152631901259455
732,1,1,1800,Oceania-Australia,0.6271590796762251
739,1,0,1885,Oceania-Australia,0.7059890732365013
745,1,1,1860,Oceania-Australia,0.6828037810128906
749,0,1,1800,East Asia,0.6271590796762251
755,1,1,1850,Central Eurasia,0.6735296641234464
770,1,0,1920,Southeast Asia,0.7384484823495562
788,0,0,-1500,Southwest Asia,-2.4332994938403827
794,1,1,1840,North America,0.664255547234002
834,0,0,1982,Southeast Asia,0.7959480070641106
841,0,1,1073,South Asia,-0.047069218186373045
842,0,0,1730,North America,0.5622402614501152
846,0,1,645,East Asia,-0.44400142105458756
848,0,1,-200,Southwest Asia,-1.227664298212628
849,0,0,1750,North America,0.5807884952290037
850,1,1,-600,Europe,-1.5986289737903987
851,1,1,1899,North America,0.7189728368817233
854,1,1,-400,Europe,-1.4131466360015132
857,0,0,1738,Africa,0.5696595549616705
858,1,1,165,Europe,-0.8891590317479123
859,0,0,135,Europe,-0.9169813824162452
862,0,0,1907,South Asia,0.7263921303932787
863,0,1,-550,Europe,-1.5522583893431772
867,0,1,1200,South Asia,0.07071206630956912
869,1,1,855,East Asia,-0.24924496637625804
870,0,1,1990,Central Eurasia,0.8033673005756661
871,0,0,1848,North America,0.6716748407455575
877,0,0,1989,Southeast Asia,0.8024398888867217
879,0,0,1860,Africa,0.6828037810128906
880,1,1,1870,Southwest Asia,0.6920778979023349
882,0,0,-450,Europe,-1.4595172204487346
883,0,0,1949,Central Eurasia,0.7653434213289446
884,1,0,1907,Africa,0.7263921303932787
885,0,1,-1960,Africa,-2.859908870754819
886,0,1,1990,Europe,0.8033673005756661
887,0,1,1990,Central Eurasia,0.8033673005756661
891,0,1,1956,South America,0.7718353031515556
892,0,0,1960,North America,0.7755449499073332
896,0,0,800,East Asia,-0.30025260926820146
897,0,1,1928,East Asia,0.7458677758611116
900,1,1,-150,Southwest Asia,-1.1812937137654067
906,0,0,1963,Europe,0.7783271849741665
910,0,0,1968,North America,0.7829642434188887
914,0,1,1258,Africa,0.12450194426834586
919,0,0,1995,Europe,0.8080043590203883
