entry_id,violent_external,circumcision,year_from,world_region,year_scaled
173,0,0,90,Southwest Asia,-0.9768321554995482
174,1,0,50,Southwest Asia,-1.0146506331302767
212,0,0,-481,East Asia,-1.5166909236781996
217,0,0,-202,Europe,-1.2529070422038673
230,1,0,-3300,Southwest Asia,-4.181948134703801
231,0,0,-600,Europe,-1.6292008946296173
257,0,0,250,North America,-0.8255582449766335
284,0,1,-3500,Oceania-Australia,-4.371040522857444
354,0,0,-330,Southwest Asia,-1.373926170622199
381,0,0,1469,South Asia,0.32695986081982203
389,0,0,1840,Southeast Asia,0.6777262408448302
392,1,0,1606,South Asia,0.45648814670506765
400,0,0,1980,Southeast Asia,0.8100909125523805
415,0,0,1970,South Asia,0.8006362931446983
419,0,0,1970,South Asia,0.8006362931446983
422,0,0,-1500,Europe,-2.480116641321012
424,1,0,-550,Southwest Asia,-1.5819277975912065
441,0,0,1690,South Asia,0.5359069497295977
442,0,0,311,Africa,-0.7678850665897723
456,0,1,-165,Southwest Asia,-1.2179249503954432
469,0,0,1916,East Asia,0.7495813483432147
476,1,1,1000,Southeast Asia,-0.11646178940047139
483,0,0,2015,Europe,0.843182080479268
484,0,0,2015,Europe,0.843182080479268
485,1,0,500,Europe,-0.5891927597845795
486,0,0,1830,North America,0.668271621437148
492,1,0,-800,Europe,-1.8182932827832605
520,1,0,1600,Southeast Asia,0.4508153750604583
525,0,0,1951,Africa,0.7826725162701023
526,0,0,1900,Southeast Asia,0.7344539572909232
534,1,0,-42,Europe,-1.1016331316809527
562,1,0,1017,South Asia,-0.10038893640741171
563,0,0,1845,South Asia,0.6824535505486713
564,1,0,1950,South Asia,0.781727054329334
567,0,0,2001,Europe,0.829945613308513
570,1,0,1986,Southeast Asia,0.8157636841969897
580,0,0,1700,South Asia,0.54536156913728
590,0,0,670,East Asia,-0.42846422985398275
592,0,0,1200,South Asia,0.07263059875317185
602,1,1,1930,Africa,0.7628178155139697
604,0,1,1890,Africa,0.724999337883241
608,1,1,1926,Southwest Asia,0.7590359677508968
623,0,0,1893,North America,0.7278357237055457
624,1,0,1550,South Asia,0.4035422780220475
629,0,0,1200,South Asia,0.07263059875317185
630,1,1,1886,Oceania-Australia,0.7212174901201681
632,1,0,-650,Europe,-1.676473991668028
633,0,0,1238,South Asia,0.10855815250236407
645,0,1,1100,South Asia,-0.021915595323649766
649,0,0,700,South Asia,-0.40010037163093626
654,1,0,1198,Europe,0.07073967487163542
661,0,0,1113,Europe,-0.009624590093662955
676,0,0,1198,Europe,0.07073967487163542
680,0,0,1850,South Asia,0.6871808602525123
688,0,0,1866,South Asia,0.7023082513048038
690,0,0,1880,South Asia,0.7155447184755589
714,0,0,550,South Asia,-0.5419196627461687
719,0,0,1845,North America,0.6824535505486713
726,0,0,-700,South Asia,-1.723747088706439
727,1,1,1160,Southeast Asia,0.0348121211224432
729,1,1,1895,Africa,0.7297266475870821
739,1,0,1885,Oceania-Australia,0.7202720281794
745,1,0,1860,Oceania-Australia,0.6966354796601946
749,0,0,1800,East Asia,0.6399077632141016
755,1,1,1850,Central Eurasia,0.6871808602525123
770,1,0,1920,Southeast Asia,0.7533631961062875
788,0,0,-1500,Southwest Asia,-2.480116641321012
794,1,0,1840,North America,0.6777262408448302
834,0,0,1982,Southeast Asia,0.811981836433917
841,0,0,1073,South Asia,-0.0474430677243916
842,0,0,1730,North America,0.5737254273603264
846,0,0,645,East Asia,-0.45210077837318813
848,0,1,-200,Southwest Asia,-1.2510161183223307
849,0,0,1750,North America,0.5926346661756907
850,1,0,-600,Europe,-1.6292008946296173
851,1,0,1899,North America,0.7335084953501549
854,1,0,-400,Europe,-1.440108506475974
857,0,0,1738,Africa,0.5812891228864722
858,1,0,165,Europe,-0.9059225099419319
859,0,0,135,Europe,-0.9342863681649783
862,0,0,1907,South Asia,0.7410721908763007
863,0,0,-550,Europe,-1.5819277975912065
867,0,0,1200,South Asia,0.07263059875317185
869,1,0,855,East Asia,-0.25355377081186276
870,0,0,1990,Central Eurasia,0.8195455319600626
871,0,0,1848,North America,0.6852899363709759
877,0,0,1989,Southeast Asia,0.8186000700192945
879,0,0,1860,Africa,0.6966354796601946
880,1,1,1870,Southwest Asia,0.7060900990678767
882,0,0,-450,Europe,-1.487381603514385
883,0,0,1949,Central Eurasia,0.7807815923885658
884,1,0,1907,Africa,0.7410721908763007
885,0,1,-1960,Africa,-2.9150291340743912
886,0,0,1990,Europe,0.8195455319600626
887,0,0,1990,Central Eurasia,0.8195455319600626
891,0,0,1956,South America,0.7873998259739433
892,0,0,1960,North America,0.7911816737370162
896,0,0,800,East Asia,-0.3055541775541146
897,0,0,1928,East Asia,0.7609268916324332
900,1,1,-150,Southwest Asia,-1.20374302128392
906,0,0,1963,Europe,0.7940180595593208
910,0,0,1968,North America,0.7987453692631619
914,0,0,1258,Africa,0.12746739131772838
919,0,0,1995,Europe,0.8242728416639037
921,0,0,1700,South Asia,0.54536156913728
924,1,1,1853,Africa,0.6900172460748171
927,1,1,0,Southwest Asia,-1.0619237301686877
928,0,0,1860,North America,0.6966354796601946
931,1,0,1580,Europe,0.431906136245094
933,0,0,144,Europe,-0.9257772106980644
934,1,0,1911,Central Eurasia,0.7448540386393736
935,1,0,1910,Africa,0.7439085766986053
938,1,0,-1600,Southwest Asia,-2.5746628353978336
940,1,0,-31,Europe,-1.0912330503325023
941,0,0,1600,East Asia,0.4508153750604583
942,0,0,1816,Africa,0.655035154266393
943,1,0,1752,North America,0.5945255900572272
944,1,0,1620,Europe,0.46972461387582265
946,1,0,700,South Asia,-0.40010037163093626
949,0,0,1963,North America,0.7940180595593208
950,0,0,1652,Africa,0.4999793959804056
952,0,1,1980,Southwest Asia,0.8100909125523805
953,0,0,1975,South Asia,0.8053636028485394
957,0,0,-800,Europe,-1.8182932827832605
958,1,0,1540,Europe,0.39408765861436534
