marker,parameter,median,lo95,hi95
circumcision,Intercept,-2.28,-3.58,-1.15
circumcision,violent_internal,0.44,-0.56,1.38
circumcision,year_scaled,0.04,-0.57,0.69
circumcision,world_regionCentralEurasia,-0.32,-2.08,1.38
circumcision,world_regionEastAsia,-0.76,-2.18,0.65
circumcision,world_regionEurope,-0.74,-2.2,0.56
circumcision,world_regionNorthAmerica,-0.68,-2.4,0.79
circumcision,world_regionOceaniaMAustralia,0.61,-1.3,2.46
circumcision,world_regionSouthAmerica,-0.29,-2.01,1.51
circumcision,world_regionSouthAsia,0.22,-1.32,1.8
circumcision,world_regionSoutheastAsia,-0.61,-2.27,1.08
circumcision,world_regionSouthwestAsia,0.36,-1.09,1.6
dress,Intercept,-1.3,-2.04,-0.66
dress,violent_internal,-0.27,-1.05,0.51
dress,year_scaled,-0.01,-0.43,0.38
dress,world_regionCentralEurasia,0.13,-1.25,1.56
dress,world_regionEastAsia,0.3,-0.7,1.2
dress,world_regionEurope,-0.03,-1,0.97
dress,world_regionNorthAmerica,-0.49,-1.77,0.71
dress,world_regionOceaniaMAustralia,-0.22,-2.02,1.69
dress,world_regionSouthAmerica,0.89,-0.67,2.27
dress,world_regionSouthAsia,0.63,-0.39,1.67
dress,world_regionSoutheastAsia,-0.5,-1.94,0.89
dress,world_regionSouthwestAsia,-0.29,-1.57,1.04
extra_ritual_group_markers,Intercept,-0.81,-1.46,-0.14
extra_ritual_group_markers,violent_internal,0.1,-0.55,0.77
extra_ritual_group_markers,year_scaled,-0.12,-0.49,0.24
extra_ritual_group_markers,world_regionCentralEurasia,-0.06,-1.43,1.32
extra_ritual_group_markers,world_regionEastAsia,0.2,-0.65,1.08
extra_ritual_group_markers,world_regionEurope,0.18,-0.72,1.05
extra_ritual_group_markers,world_regionNorthAmerica,-0.47,-1.61,0.66
extra_ritual_group_markers,world_regionOceaniaMAustralia,0.45,-1.38,2.3
extra_ritual_group_markers,world_regionSouthAmerica,0.82,-0.56,2.16
extra_ritual_group_markers,world_regionSouthAsia,0.47,-0.5,1.44
extra_ritual_group_markers,world_regionSoutheastAsia,-0.41,-1.73,0.82
extra_ritual_group_markers,world_regionSouthwestAsia,-0.22,-1.4,0.91
food_taboos,Intercept,-1.75,-2.48,-1.11
food_taboos,violent_internal,0.48,-0.24,1.2
food_taboos,year_scaled,-0.23,-0.62,0.18
food_taboos,world_regionCentralEurasia,-0.55,-2.19,1.05
food_taboos,world_regionEastAsia,0.35,-0.62,1.3
food_taboos,world_regionEurope,0.09,-0.85,1.07
food_taboos,world_regionNorthAmerica,-0.6,-1.91,0.69
food_taboos,world_regionOceaniaMAustralia,0.54,-1.28,2.33
food_taboos,world_regionSouthAmerica,0.13,-1.53,1.79
food_taboos,world_regionSouthAsia,0.4,-0.59,1.45
food_taboos,world_regionSoutheastAsia,-0.36,-1.82,1.02
food_taboos,world_regionSouthwestAsia,0.2,-1.01,1.38
hair,Intercept,-1.73,-2.46,-0.96
hair,violent_internal,-0.19,-1.06,0.65
hair,year_scaled,-0.33,-0.77,0.08
hair,world_regionCentralEurasia,-0.05,-1.61,1.44
hair,world_regionEastAsia,0.63,-0.34,1.6
hair,world_regionEurope,-0.25,-1.39,0.84
hair,world_regionNorthAmerica,-0.44,-1.89,0.88
hair,world_regionOceaniaMAustralia,0.48,-1.36,2.34
hair,world_regionSouthAmerica,0.49,-1.07,1.9
hair,world_regionSouthAsia,0.5,-0.63,1.64
hair,world_regionSoutheastAsia,-0.2,-1.63,1.28
hair,world_regionSouthwestAsia,-0.62,-2.01,0.72
ornaments,Intercept,-1.58,-2.24,-0.88
ornaments,violent_internal,-0.17,-1.03,0.59
ornaments,year_scaled,-0.29,-0.71,0.13
ornaments,world_regionCentralEurasia,-0.12,-1.63,1.34
ornaments,world_regionEastAsia,0.04,-0.94,1.08
ornaments,world_regionEurope,-1.11,-2.44,0.04
ornaments,world_regionNorthAmerica,-0.59,-1.94,0.7
ornaments,world_regionOceaniaMAustralia,0.46,-1.29,2.31
ornaments,world_regionSouthAmerica,1.03,-0.49,2.41
ornaments,world_regionSouthAsia,0.73,-0.31,1.71
ornaments,world_regionSoutheastAsia,0.17,-1.28,1.4
ornaments,world_regionSouthwestAsia,-0.3,-1.64,1.01
permanent_scarring,Intercept,-3.49,-4.45,-2.53
permanent_scarring,violent_internal,1.06,0.05,2.11
permanent_scarring,year_scaled,-0.71,-1.24,-0.16
permanent_scarring,world_regionCentralEurasia,-0.14,-2,1.63
permanent_scarring,world_regionEastAsia,0.22,-1.2,1.53
permanent_scarring,world_regionEurope,-0.49,-1.87,0.89
permanent_scarring,world_regionNorthAmerica,0.52,-0.89,1.94
permanent_scarring,world_regionOceaniaMAustralia,0.42,-1.29,2.31
permanent_scarring,world_regionSouthAmerica,0.49,-1.18,2.14
permanent_scarring,world_regionSouthAsia,0.25,-1.11,1.57
permanent_scarring,world_regionSoutheastAsia,0.34,-1.24,1.9
permanent_scarring,world_regionSouthwestAsia,-0.37,-1.91,1.04
tattoos_scarification,Intercept,-2.5,-3.34,-1.65
tattoos_scarification,violent_internal,-0.22,-1.34,0.91
tattoos_scarification,year_scaled,-0.46,-0.97,0.1
tattoos_scarification,world_regionCentralEurasia,-0.33,-2.09,1.35
tattoos_scarification,world_regionEastAsia,0.4,-0.8,1.46
tattoos_scarification,world_regionEurope,-1.08,-2.53,0.3
tattoos_scarification,world_regionNorthAmerica,-0.1,-1.65,1.3
tattoos_scarification,world_regionOceaniaMAustralia,0.5,-1.32,2.36
tattoos_scarification,world_regionSouthAmerica,0.45,-1.22,2.13
tattoos_scarification,world_regionSouthAsia,0.05,-1.26,1.34
tattoos_scarification,world_regionSoutheastAsia,0.24,-1.43,1.66
tattoos_scarification,world_regionSouthwestAsia,-0.85,-2.45,0.68
