marker,parameter,rhat,ess_bulk,ess_tail
circumcision,Intercept,1,7609.44,6060.37
circumcision,violent_internal,1,12395.86,6405.14
circumcision,year_scaled,1,10246.51,5683.75
circumcision,world_regionCentralEurasia,1,14493.36,5888.1
circumcision,world_regionEastAsia,1,12243.79,6376.5
circumcision,world_regionEurope,1,12896.05,6275.14
circumcision,world_regionNorthAmerica,1,14649.55,6100.42
circumcision,world_regionOceaniaMAustralia,1,14446.37,6256.93
circumcision,world_regionSouthAmerica,1,14290.06,5575.57
circumcision,world_regionSouthAsia,1,8721.86,6212.54
circumcision,world_regionSoutheastAsia,1,13775.42,6163.62
circumcision,world_regionSouthwestAsia,1,13677.26,6389
dress,Intercept,1,6972.11,5436.04
dress,violent_internal,1,12180.14,5901.51
dress,year_scaled,1,9313.7,6677.28
dress,world_regionCentralEurasia,1,12647.62,5757.66
dress,world_regionEastAsia,1,10803.75,6192.98
dress,world_regionEurope,1,9804.51,6029.36
dress,world_regionNorthAmerica,1,11865.43,5947.14
dress,world_regionOceaniaMAustralia,1,16556.2,5982.22
dress,world_regionSouthAmerica,1,11609.56,6110.31
dress,world_regionSouthAsia,1,8176.94,6177.19
dress,world_regionSoutheastAsia,1,12556.65,5878.04
dress,world_regionSouthwestAsia,1,13226.28,5883.92
extra_ritual_group_markers,Intercept,1,6999.98,4355.47
extra_ritual_group_markers,violent_internal,1,15578.83,5725.72
extra_ritual_group_markers,year_scaled,1,11179.22,6120.76
extra_ritual_group_markers,world_regionCentralEurasia,1,13654.8,6020.09
extra_ritual_group_markers,world_regionEastAsia,1,10119.29,6276.12
extra_ritual_group_markers,world_regionEurope,1,7990,6009.83
extra_ritual_group_markers,world_regionNorthAmerica,1,9041.22,5796.02
extra_ritual_group_markers,world_regionOceaniaMAustralia,1,14808.58,5633.47
extra_ritual_group_markers,world_regionSouthAmerica,1,14298.33,6076.83
extra_ritual_group_markers,world_regionSouthAsia,1,9714.23,5538.15
extra_ritual_group_markers,world_regionSoutheastAsia,1,13033.78,6052.65
extra_ritual_group_markers,world_regionSouthwestAsia,1,12955.06,6032.96
food_taboos,Intercept,1,5734.11,4604.2
food_taboos,violent_internal,1,11773.51,5622.34
food_taboos,year_scaled,1,8571.96,5952.2
food_taboos,world_regionCentralEurasia,1,11160.22,5536.19
food_taboos,world_regionEastAsia,1,8703.74,5535.16
food_taboos,world_regionEurope,1,9114.17,6049.37
food_taboos,world_regionNorthAmerica,1,10779.58,5500.69
food_taboos,world_regionOceaniaMAustralia,1,12151,6488.46
food_taboos,world_regionSouthAmerica,1,11633.95,5922.63
food_taboos,world_regionSouthAsia,1,8391.27,6035.09
food_taboos,world_regionSoutheastAsia,1,10761.22,5917.85
food_taboos,world_regionSouthwestAsia,1,9433.85,6512.6
hair,Intercept,1,5805.21,3870.06
hair,violent_internal,1,12624.12,6179.9
hair,year_scaled,1,7403.5,5516.71
hair,world_regionCentralEurasia,1,13350.39,6192.38
hair,world_regionEastAsia,1,8460.21,5094
hair,world_regionEurope,1,9234.28,5844.47
hair,world_regionNorthAmerica,1,10822.73,6077.41
hair,world_regionOceaniaMAustralia,1,12589.09,5580.45
hair,world_regionSouthAmerica,1,12666.37,6267.6
hair,world_regionSouthAsia,1,7777.54,5833.45
hair,world_regionSoutheastAsia,1,12831.78,5714.3
hair,world_regionSouthwestAsia,1,10829.89,6293.61
ornaments,Intercept,1,5970.87,4978.61
ornaments,violent_internal,1,10669.68,5656.55
ornaments,year_scaled,1,8147.16,5458.12
ornaments,world_regionCentralEurasia,1,11345.32,5887.61
ornaments,world_regionEastAsia,1,9767.63,6233.72
ornaments,world_regionEurope,1,9394.34,6022.31
ornaments,world_regionNorthAmerica,1,10819.9,6309.65
ornaments,world_regionOceaniaMAustralia,1,12526.37,5995.03
ornaments,world_regionSouthAmerica,1,10358.93,5865.42
ornaments,world_regionSouthAsia,1,8625.42,5846.38
ornaments,world_regionSoutheastAsia,1,9946.41,5537.25
ornaments,world_regionSouthwestAsia,1,10144.58,6396.62
permanent_scarring,Intercept,1,10329.51,5884.91
permanent_scarring,violent_internal,1,11865.95,5987.64
permanent_scarring,year_scaled,1,11123.63,6535.23
permanent_scarring,world_regionCentralEurasia,1,17672.12,5590.18
permanent_scarring,world_regionEastAsia,1,13542.18,6229.91
permanent_scarring,world_regionEurope,1,13871.03,5823.41
permanent_scarring,world_regionNorthAmerica,1,12406.84,6197.53
permanent_scarring,world_regionOceaniaMAustralia,1,15898.38,5940.1
permanent_scarring,world_regionSouthAmerica,1,14679.71,6103.56
permanent_scarring,world_regionSouthAsia,1,13774.34,6407.25
permanent_scarring,world_regionSoutheastAsia,1,14191.13,5532.04
permanent_scarring,world_regionSouthwestAsia,1,13192.85,6562.96
tattoos_scarification,Intercept,1,8096.88,5131.07
tattoos_scarification,violent_internal,1,14641.04,5525.29
tattoos_scarification,year_scaled,1,11429.16,6182.84
tattoos_scarification,world_regionCentralEurasia,1,14902.72,5720.19
tattoos_scarification,world_regionEastAsia,1,11474.11,6277.39
tattoos_scarification,world_regionEurope,1,11988.67,5745.85
tattoos_scarification,world_regionNorthAmerica,1,14289.37,5534.42
tattoos_scarification,world_regionOceaniaMAustralia,1,15320.76,6180.1
tattoos_scarification,world_regionSouthAmerica,1,14795.93,5271.14
tattoos_scarification,world_regionSouthAsia,1,11561.64,5486.44
tattoos_scarification,world_regionSoutheastAsia,1,13768.67,5328.73
tattoos_scarification,world_regionSouthwestAsia,1,11076.65,5761.98
