marker,model,parameter,median,lo95,hi95
circumcision,fit_base,Intercept,-1.98,-2.38,-1.58
circumcision,fit_base,violent_external,1,0.48,1.53
circumcision,fit_phylo,Intercept,-1.93,-2.89,-1.04
circumcision,fit_phylo,violent_external,0.95,0.26,1.57
circumcision,fit_phylo_repeat,Intercept,-1.98,-2.92,-1.07
circumcision,fit_phylo_repeat,violent_external,0.97,0.29,1.62
circumcision,fit_phylo_year,Intercept,-1.72,-2.81,-0.75
circumcision,fit_phylo_year,violent_external,0.91,0.21,1.59
circumcision,fit_phylo_year,year_scaled,0.27,-0.16,0.71
circumcision,fit_phylo_year,world_regionCentralEurasia,-0.14,-1.72,1.38
circumcision,fit_phylo_year,world_regionEastAsia,-0.8,-2.08,0.41
circumcision,fit_phylo_year,world_regionEurope,-1.2,-2.23,-0.14
circumcision,fit_phylo_year,world_regionNorthAmerica,-0.75,-2.13,0.58
circumcision,fit_phylo_year,world_regionOceaniaMAustralia,0.43,-1.21,2.08
circumcision,fit_phylo_year,world_regionSouthAmerica,-0.52,-2.27,1.07
circumcision,fit_phylo_year,world_regionSouthAsia,-0.41,-1.85,1.05
circumcision,fit_phylo_year,world_regionSoutheastAsia,0.11,-1.25,1.4
circumcision,fit_phylo_year,world_regionSouthwestAsia,0.77,-0.17,1.72
dress,fit_base,Intercept,-1.23,-1.54,-0.92
dress,fit_base,violent_external,0.68,0.2,1.13
dress,fit_phylo,Intercept,-1.14,-1.67,-0.62
dress,fit_phylo,violent_external,0.69,0.19,1.2
dress,fit_phylo_repeat,Intercept,-1.18,-1.64,-0.71
dress,fit_phylo_repeat,violent_external,0.67,0.17,1.16
dress,fit_phylo_year,Intercept,-1.36,-1.99,-0.74
dress,fit_phylo_year,violent_external,0.8,0.3,1.32
dress,fit_phylo_year,year_scaled,0.1,-0.19,0.39
dress,fit_phylo_year,world_regionCentralEurasia,0.38,-0.84,1.57
dress,fit_phylo_year,world_regionEastAsia,0.44,-0.42,1.31
dress,fit_phylo_year,world_regionEurope,-0.19,-0.94,0.54
dress,fit_phylo_year,world_regionNorthAmerica,0.13,-0.83,1.07
dress,fit_phylo_year,world_regionOceaniaMAustralia,-0.42,-2.23,1.26
dress,fit_phylo_year,world_regionSouthAmerica,1.37,0.16,2.73
dress,fit_phylo_year,world_regionSouthAsia,0.41,-0.51,1.31
dress,fit_phylo_year,world_regionSoutheastAsia,0.36,-0.62,1.4
dress,fit_phylo_year,world_regionSouthwestAsia,-0.16,-1.07,0.7
extra_ritual_group_markers,fit_base,Intercept,-0.74,-1,-0.46
extra_ritual_group_markers,fit_base,violent_external,0.94,0.52,1.33
extra_ritual_group_markers,fit_phylo,Intercept,-0.54,-0.99,0
extra_ritual_group_markers,fit_phylo,violent_external,0.95,0.54,1.42
extra_ritual_group_markers,fit_phylo_repeat,Intercept,-0.61,-1.03,-0.14
extra_ritual_group_markers,fit_phylo_repeat,violent_external,0.97,0.5,1.41
extra_ritual_group_markers,fit_phylo_year,Intercept,-0.79,-1.38,-0.17
extra_ritual_group_markers,fit_phylo_year,violent_external,1.02,0.55,1.49
extra_ritual_group_markers,fit_phylo_year,year_scaled,0.09,-0.2,0.34
extra_ritual_group_markers,fit_phylo_year,world_regionCentralEurasia,-0.01,-1.2,1.18
extra_ritual_group_markers,fit_phylo_year,world_regionEastAsia,0.38,-0.47,1.18
extra_ritual_group_markers,fit_phylo_year,world_regionEurope,-0.07,-0.75,0.62
extra_ritual_group_markers,fit_phylo_year,world_regionNorthAmerica,0.3,-0.56,1.15
extra_ritual_group_markers,fit_phylo_year,world_regionOceaniaMAustralia,0.85,-0.58,2.26
extra_ritual_group_markers,fit_phylo_year,world_regionSouthAmerica,1.32,0.15,2.51
extra_ritual_group_markers,fit_phylo_year,world_regionSouthAsia,0.36,-0.49,1.24
extra_ritual_group_markers,fit_phylo_year,world_regionSoutheastAsia,0.39,-0.6,1.39
extra_ritual_group_markers,fit_phylo_year,world_regionSouthwestAsia,0.07,-0.72,0.87
food_taboos,fit_base,Intercept,-1.42,-1.75,-1.1
food_taboos,fit_base,violent_external,1.01,0.56,1.48
food_taboos,fit_phylo,Intercept,-1.37,-1.98,-0.78
food_taboos,fit_phylo,violent_external,1,0.5,1.49
food_taboos,fit_phylo_repeat,Intercept,-1.41,-1.97,-0.79
food_taboos,fit_phylo_repeat,violent_external,1.01,0.5,1.55
food_taboos,fit_phylo_year,Intercept,-1.56,-2.34,-0.79
food_taboos,fit_phylo_year,violent_external,1.1,0.57,1.65
food_taboos,fit_phylo_year,year_scaled,0.03,-0.28,0.34
food_taboos,fit_phylo_year,world_regionCentralEurasia,-0.33,-1.69,1.02
food_taboos,fit_phylo_year,world_regionEastAsia,0.48,-0.51,1.41
food_taboos,fit_phylo_year,world_regionEurope,-0.45,-1.27,0.3
food_taboos,fit_phylo_year,world_regionNorthAmerica,0.39,-0.65,1.28
food_taboos,fit_phylo_year,world_regionOceaniaMAustralia,0.02,-1.65,1.6
food_taboos,fit_phylo_year,world_regionSouthAmerica,0.76,-0.56,2.12
food_taboos,fit_phylo_year,world_regionSouthAsia,0.3,-0.76,1.29
food_taboos,fit_phylo_year,world_regionSoutheastAsia,0.37,-0.7,1.46
food_taboos,fit_phylo_year,world_regionSouthwestAsia,0.14,-0.75,1
hair,fit_base,Intercept,-1.64,-2,-1.3
hair,fit_base,violent_external,0.71,0.21,1.2
hair,fit_phylo,Intercept,-1.6,-2.25,-0.97
hair,fit_phylo,violent_external,0.77,0.22,1.3
hair,fit_phylo_repeat,Intercept,-1.7,-2.29,-1.12
hair,fit_phylo_repeat,violent_external,0.76,0.2,1.32
hair,fit_phylo_year,Intercept,-1.8,-2.59,-1.07
hair,fit_phylo_year,violent_external,0.97,0.38,1.55
hair,fit_phylo_year,year_scaled,-0.04,-0.37,0.29
hair,fit_phylo_year,world_regionCentralEurasia,0.02,-1.32,1.29
hair,fit_phylo_year,world_regionEastAsia,0.72,-0.18,1.72
hair,fit_phylo_year,world_regionEurope,-0.48,-1.34,0.33
hair,fit_phylo_year,world_regionNorthAmerica,0.25,-0.81,1.22
hair,fit_phylo_year,world_regionOceaniaMAustralia,0.36,-1.32,2.1
hair,fit_phylo_year,world_regionSouthAmerica,1.24,0.04,2.61
hair,fit_phylo_year,world_regionSouthAsia,0.36,-0.62,1.38
hair,fit_phylo_year,world_regionSoutheastAsia,0.08,-1.06,1.17
hair,fit_phylo_year,world_regionSouthwestAsia,-0.76,-1.87,0.26
ornaments,fit_base,Intercept,-1.65,-2,-1.3
ornaments,fit_base,violent_external,0.59,0.1,1.09
ornaments,fit_phylo,Intercept,-1.51,-2.08,-0.94
ornaments,fit_phylo,violent_external,0.62,0.08,1.16
ornaments,fit_phylo_repeat,Intercept,-1.54,-2.12,-0.98
ornaments,fit_phylo_repeat,violent_external,0.62,0.08,1.17
ornaments,fit_phylo_year,Intercept,-1.67,-2.25,-1.08
ornaments,fit_phylo_year,violent_external,0.77,0.2,1.35
ornaments,fit_phylo_year,year_scaled,-0.09,-0.4,0.22
ornaments,fit_phylo_year,world_regionCentralEurasia,-0.64,-2.03,0.65
ornaments,fit_phylo_year,world_regionEastAsia,0.12,-0.81,0.96
ornaments,fit_phylo_year,world_regionEurope,-0.71,-1.55,0.13
ornaments,fit_phylo_year,world_regionNorthAmerica,-0.18,-1.21,0.89
ornaments,fit_phylo_year,world_regionOceaniaMAustralia,0.7,-0.82,2.23
ornaments,fit_phylo_year,world_regionSouthAmerica,1.63,0.39,2.97
ornaments,fit_phylo_year,world_regionSouthAsia,0.58,-0.28,1.48
ornaments,fit_phylo_year,world_regionSoutheastAsia,0.85,-0.09,1.85
ornaments,fit_phylo_year,world_regionSouthwestAsia,-0.91,-2,0.13
permanent_scarring,fit_base,Intercept,-2.87,-3.4,-2.37
permanent_scarring,fit_base,violent_external,1.19,0.55,1.81
permanent_scarring,fit_phylo,Intercept,-2.84,-3.52,-2.24
permanent_scarring,fit_phylo,violent_external,1.17,0.49,1.81
permanent_scarring,fit_phylo_repeat,Intercept,-2.92,-3.62,-2.29
permanent_scarring,fit_phylo_repeat,violent_external,1.2,0.53,1.86
permanent_scarring,fit_phylo_year,Intercept,-3.07,-3.88,-2.26
permanent_scarring,fit_phylo_year,violent_external,1.18,0.49,1.91
permanent_scarring,fit_phylo_year,year_scaled,-0.24,-0.6,0.12
permanent_scarring,fit_phylo_year,world_regionCentralEurasia,-0.68,-2.36,0.75
permanent_scarring,fit_phylo_year,world_regionEastAsia,-0.08,-1.42,1.08
permanent_scarring,fit_phylo_year,world_regionEurope,-0.33,-1.28,0.58
permanent_scarring,fit_phylo_year,world_regionNorthAmerica,0.34,-0.78,1.45
permanent_scarring,fit_phylo_year,world_regionOceaniaMAustralia,1.14,-0.21,2.58
permanent_scarring,fit_phylo_year,world_regionSouthAmerica,1.31,0.15,2.48
permanent_scarring,fit_phylo_year,world_regionSouthAsia,0.33,-0.81,1.4
permanent_scarring,fit_phylo_year,world_regionSoutheastAsia,0.12,-1.13,1.28
permanent_scarring,fit_phylo_year,world_regionSouthwestAsia,0.41,-0.53,1.39
tattoos_scarification,fit_base,Intercept,-2.55,-3.05,-2.08
tattoos_scarification,fit_base,violent_external,0.77,0.13,1.41
tattoos_scarification,fit_phylo,Intercept,-2.43,-3.13,-1.68
tattoos_scarification,fit_phylo,violent_external,0.76,0.09,1.47
tattoos_scarification,fit_phylo_repeat,Intercept,-2.57,-3.37,-1.79
tattoos_scarification,fit_phylo_repeat,violent_external,0.77,0.09,1.48
tattoos_scarification,fit_phylo_year,Intercept,-2.54,-3.29,-1.86
tattoos_scarification,fit_phylo_year,violent_external,0.92,0.2,1.64
tattoos_scarification,fit_phylo_year,year_scaled,-0.01,-0.42,0.39
tattoos_scarification,fit_phylo_year,world_regionCentralEurasia,-0.73,-2.44,0.7
tattoos_scarification,fit_phylo_year,world_regionEastAsia,0.37,-0.72,1.31
tattoos_scarification,fit_phylo_year,world_regionEurope,-1.69,-2.96,-0.48
tattoos_scarification,fit_phylo_year,world_regionNorthAmerica,0.07,-1.13,1.17
tattoos_scarification,fit_phylo_year,world_regionOceaniaMAustralia,1.65,0.27,3.07
tattoos_scarification,fit_phylo_year,world_regionSouthAmerica,1.51,0.18,2.82
tattoos_scarification,fit_phylo_year,world_regionSouthAsia,0.11,-1,1.14
tattoos_scarification,fit_phylo_year,world_regionSoutheastAsia,0.55,-0.54,1.63
tattoos_scarification,fit_phylo_year,world_regionSouthwestAsia,-1.06,-2.35,0.14
