model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic,marker
fit_phylo_year,0,0,-142.23,11.43,35.24,3.7,284.46,22.86,circumcision
fit_phylo,-3.69,3.39,-145.92,11.13,32.55,3.15,291.85,22.25,circumcision
fit_phylo_repeat,-4.18,3.5,-146.41,11.18,35.97,3.38,292.82,22.36,circumcision
fit_base,-26.65,7.5,-168.88,11.19,1.98,0.17,337.76,22.38,circumcision
fit_phylo_repeat,0,0,-209.23,8.72,22.53,1.24,418.46,17.44,dress
fit_phylo,-0.09,0.84,-209.32,8.68,17.37,0.96,418.64,17.37,dress
fit_phylo_year,-1.41,2.53,-210.64,9.17,22.52,1.27,421.29,18.34,dress
fit_base,-2.6,2.84,-211.83,8.43,1.98,0.1,423.66,16.86,dress
fit_phylo_repeat,0,0,-251.21,6.29,27.14,0.94,502.43,12.58,extra_ritual_group_markers
fit_phylo,-0.34,1.16,-251.55,6.15,20.27,0.74,503.1,12.29,extra_ritual_group_markers
fit_phylo_year,-2.29,2.59,-253.51,6.75,27.66,1.11,507.01,13.5,extra_ritual_group_markers
fit_base,-4.49,3.43,-255.71,5.48,1.94,0.05,511.42,10.95,extra_ritual_group_markers
fit_phylo,0,0,-202.54,9.38,21.88,1.34,405.07,18.76,food_taboos
fit_phylo_repeat,-0.7,0.68,-203.24,9.46,26,1.56,406.47,18.92,food_taboos
fit_phylo_year,-2.38,2.31,-204.91,10,31.14,2.05,409.83,19.99,food_taboos
fit_base,-5.12,3.39,-207.65,8.9,1.95,0.11,415.31,17.81,food_taboos
fit_phylo_repeat,0,0,-177.9,10.47,29,2.23,355.8,20.93,hair
fit_phylo_year,-0.76,3.11,-178.66,10.76,26.69,2.16,357.33,21.52,hair
fit_phylo,-1.18,1.16,-179.08,10.44,20.25,1.59,358.16,20.89,hair
fit_base,-3.88,3.04,-181.78,10.39,1.94,0.15,363.56,20.78,hair
fit_phylo_year,0,0,-169.72,11.14,17.37,1.54,339.45,22.28,ornaments
fit_phylo,-5.72,3.86,-175.44,10.84,16.78,1.35,350.89,21.67,ornaments
fit_phylo_repeat,-6.35,3.88,-176.07,10.89,20.21,1.61,352.15,21.78,ornaments
fit_base,-8.34,4.63,-178.06,10.72,1.92,0.15,356.12,21.44,ornaments
fit_phylo_year,0,0,-128.23,13.39,16.43,2.2,256.46,26.78,permanent_scarring
fit_phylo_repeat,-0.77,2.78,-129,13.25,16.09,2.08,258,26.49,permanent_scarring
fit_phylo,-0.95,2.82,-129.18,13.23,9.15,1.22,258.36,26.45,permanent_scarring
fit_base,-0.98,2.94,-129.21,13.18,1.81,0.26,258.42,26.36,permanent_scarring
fit_phylo_year,0,0,-103.81,11.42,10.98,1.6,207.62,22.84,tattoos_scarification
fit_phylo_repeat,-11.89,3.24,-115.69,12.58,22.46,3.08,231.39,25.17,tattoos_scarification
fit_phylo,-12.36,3.26,-116.17,12.58,14.24,1.99,232.33,25.16,tattoos_scarification
fit_base,-12.41,3.64,-116.22,12.43,1.83,0.26,232.43,24.85,tattoos_scarification
