Marker,N,beta,ci_lo,ci_hi,post_prob,AME
Permanent Scarring,431,1.22,0.57,1.9,1,0.12
Extra-Ritual In-Group Markers,392,1,0.59,1.43,1,0.24
Circumcision,370,0.96,0.4,1.54,1,0.13
Dress,364,0.77,0.29,1.25,1,0.16
Food Taboos,369,1.07,0.6,1.53,1,0.22
Hair,361,0.89,0.34,1.43,1,0.16
Ornaments,363,0.79,0.25,1.34,1,0.15
Tattoos/Scarification,366,0.93,0.21,1.67,0.99,0.12
