Marker,N,n_tips,divergences,max_rhat,min_bulk_ess,min_tail_ess
Permanent Scarring,431,137,0,1.006,2532,3997
Extra-Ritual In-Group Markers,388,115,0,1.008,1746,3674
Circumcision,369,101,0,1.004,5048,5832
Dress,362,97,0,1.003,3457,4879
Food Taboos,368,102,0,1.005,1975,2667
Hair,359,100,0,1.003,2968,4885
Ornaments,361,100,0,1.004,4669,4718
Tattoos/Scarification,365,102,0,1.004,4092,4445
