family,total_n,n_tips,mean_raw_rate,mean_estimate
IE,150,26,0.02,0.047
AA,80,18,0.063,0.102
ST,42,10,0.094,0.094
NC,27,7,0.152,0.237
An,16,14,0.437,0.405
Jap,8,1,0,0.05
Alt,6,3,0,0.093
Dra,6,2,0.167,0.13
AuA,5,2,0.2,0.35
Kor,5,1,0,0.05
OM,2,1,0.5,0.44
TK,2,1,0,0.14
Ain,1,1,1,0.67
Aus,1,1,1,0.67
Chi,1,1,1,0.56
Chn,1,1,1,0.53
HM,1,1,0,0.13
Iro,1,1,0,0.19
KT,1,1,0,0.11
Krd,1,1,1,0.49
May,1,1,1,0.63
NDe,1,1,1,0.62
Pan,1,1,1,0.56
Sah,1,1,1,0.63
Sep,1,1,1,0.58
Sio,1,1,0,0.18
UA,1,1,0,0.17
Ura,1,1,0,0.12
