marker,model,or_median,or_lo95,or_hi95,ame_median,ame_lo95,ame_hi95
circumcision,fit_base,2.72,1.45,4.36,0.15,0.07,0.23
circumcision,fit_phylo,2.59,1.18,4.57,0.11,0.03,0.19
circumcision,fit_phylo_repeat,2.63,1.23,4.83,0.11,0.03,0.19
circumcision,fit_phylo_year,2.48,1.03,4.5,0.1,0.02,0.17
dress,fit_base,1.97,1.14,2.98,0.14,0.04,0.23
dress,fit_phylo,1.99,1.11,3.14,0.13,0.04,0.23
dress,fit_phylo_repeat,1.96,1.11,3.07,0.13,0.03,0.22
dress,fit_phylo_year,2.24,1.28,3.61,0.15,0.05,0.25
extra_ritual_group_markers,fit_base,2.57,1.66,3.75,0.23,0.13,0.32
extra_ritual_group_markers,fit_phylo,2.59,1.56,3.87,0.21,0.12,0.31
extra_ritual_group_markers,fit_phylo_repeat,2.65,1.61,4.04,0.21,0.11,0.31
extra_ritual_group_markers,fit_phylo_year,2.77,1.64,4.27,0.22,0.12,0.32
food_taboos,fit_base,2.75,1.67,4.22,0.2,0.11,0.3
food_taboos,fit_phylo,2.71,1.53,4.28,0.18,0.09,0.28
food_taboos,fit_phylo_repeat,2.76,1.49,4.39,0.18,0.09,0.28
food_taboos,fit_phylo_year,3.01,1.61,4.94,0.19,0.1,0.29
hair,fit_base,2.04,1.14,3.16,0.12,0.04,0.21
hair,fit_phylo,2.16,1.15,3.52,0.12,0.03,0.21
hair,fit_phylo_repeat,2.14,1.12,3.6,0.11,0.03,0.2
hair,fit_phylo_year,2.63,1.29,4.41,0.15,0.06,0.24
ornaments,fit_base,1.8,0.99,2.81,0.1,0.01,0.18
ornaments,fit_phylo,1.86,1.01,3.05,0.09,0.01,0.18
ornaments,fit_phylo_repeat,1.86,1,3.07,0.09,0.01,0.18
ornaments,fit_phylo_year,2.16,1.14,3.67,0.11,0.03,0.2
permanent_scarring,fit_base,3.27,1.58,5.85,0.1,0.05,0.16
permanent_scarring,fit_phylo,3.22,1.55,5.95,0.1,0.04,0.16
permanent_scarring,fit_phylo_repeat,3.31,1.47,6.01,0.1,0.04,0.16
permanent_scarring,fit_phylo_year,3.25,1.39,6.21,0.09,0.04,0.16
tattoos_scarification,fit_base,2.17,1,3.81,0.07,0.01,0.14
tattoos_scarification,fit_phylo,2.13,0.89,3.92,0.07,0,0.13
tattoos_scarification,fit_phylo_repeat,2.15,0.98,4.1,0.06,0.01,0.13
tattoos_scarification,fit_phylo_year,2.51,0.94,4.61,0.08,0.02,0.15
