Marker,N,beta,ci_lo,ci_hi,post_prob,AME
Circumcision,359,0.92,0.21,1.63,1,0.15
Dress,352,0.82,0.29,1.37,1,0.18
Extra-Ritual In-Group Markers,378,1.02,0.55,1.51,1,0.24
Food Taboos,358,1.06,0.49,1.62,1,0.24
Hair,349,0.95,0.34,1.56,1,0.19
Ornaments,351,0.75,0.16,1.35,0.99,0.15
Permanent Scarring,415,1.29,0.6,2.02,1,0.12
Tattoos/Scarification,356,0.83,-0.04,1.69,0.97,0.12
