Marker,world_region,n,raw_rate,model_estimate,ci_lo,ci_hi
Permanent Scarring,Africa,113,0.05,0.04,0.01,0.07
Permanent Scarring,Central Eurasia,14,0,0.05,0.01,0.11
Permanent Scarring,East Asia,39,0.05,0.05,0.02,0.11
Permanent Scarring,Europe,86,0.07,0.04,0.02,0.08
Permanent Scarring,North America,40,0.1,0.06,0.02,0.13
Permanent Scarring,Oceania-Australia,7,0.43,0.11,0.03,0.32
Permanent Scarring,South America,17,0.29,0.12,0.04,0.29
Permanent Scarring,South Asia,42,0.12,0.07,0.03,0.15
Permanent Scarring,Southeast Asia,26,0.12,0.06,0.02,0.14
Permanent Scarring,Southwest Asia,47,0.17,0.07,0.03,0.13
Extra-Ritual In-Group Markers,Africa,109,0.35,0.29,0.21,0.37
Extra-Ritual In-Group Markers,Central Eurasia,12,0.42,0.33,0.2,0.49
Extra-Ritual In-Group Markers,East Asia,40,0.4,0.35,0.25,0.48
Extra-Ritual In-Group Markers,Europe,75,0.36,0.29,0.2,0.38
Extra-Ritual In-Group Markers,North America,31,0.39,0.32,0.21,0.44
Extra-Ritual In-Group Markers,Oceania-Australia,6,0.83,0.38,0.25,0.65
Extra-Ritual In-Group Markers,South America,11,0.82,0.42,0.27,0.69
Extra-Ritual In-Group Markers,South Asia,40,0.45,0.36,0.26,0.49
Extra-Ritual In-Group Markers,Southeast Asia,23,0.57,0.36,0.25,0.53
Extra-Ritual In-Group Markers,Southwest Asia,45,0.47,0.33,0.23,0.46
Circumcision,Africa,105,0.27,0.19,0.12,0.27
Circumcision,Central Eurasia,12,0.17,0.11,0.03,0.27
Circumcision,East Asia,38,0.05,0.06,0.01,0.14
Circumcision,Europe,74,0.05,0.04,0.01,0.09
Circumcision,North America,28,0.04,0.05,0.01,0.13
Circumcision,Oceania-Australia,4,0.5,0.21,0.04,0.56
Circumcision,South America,5,0,0.08,0.01,0.26
Circumcision,South Asia,39,0.08,0.07,0.02,0.14
Circumcision,Southeast Asia,21,0.33,0.18,0.07,0.35
Circumcision,Southwest Asia,44,0.45,0.31,0.16,0.47
Dress,Africa,102,0.24,0.2,0.13,0.27
Dress,Central Eurasia,12,0.42,0.26,0.15,0.43
Dress,East Asia,38,0.32,0.26,0.17,0.38
Dress,Europe,72,0.24,0.2,0.12,0.28
Dress,North America,28,0.25,0.22,0.12,0.33
Dress,Oceania-Australia,2,0,0.23,0.09,0.4
Dress,South America,8,0.75,0.31,0.17,0.62
Dress,South Asia,39,0.33,0.25,0.17,0.37
Dress,Southeast Asia,22,0.41,0.25,0.15,0.4
Dress,Southwest Asia,41,0.22,0.2,0.11,0.3
Food Taboos,Africa,102,0.23,0.18,0.12,0.25
Food Taboos,Central Eurasia,11,0.18,0.19,0.09,0.3
Food Taboos,East Asia,37,0.27,0.22,0.14,0.32
Food Taboos,Europe,74,0.2,0.16,0.09,0.23
Food Taboos,North America,29,0.28,0.2,0.12,0.31
Food Taboos,Oceania-Australia,3,0.33,0.21,0.1,0.37
Food Taboos,South America,7,0.57,0.24,0.14,0.44
Food Taboos,South Asia,39,0.31,0.22,0.14,0.33
Food Taboos,Southeast Asia,23,0.43,0.23,0.14,0.38
Food Taboos,Southwest Asia,44,0.41,0.22,0.15,0.34
Hair,Africa,104,0.19,0.15,0.09,0.22
Hair,Central Eurasia,12,0.25,0.18,0.07,0.34
Hair,East Asia,37,0.3,0.23,0.13,0.37
Hair,Europe,70,0.16,0.12,0.06,0.2
Hair,North America,29,0.21,0.16,0.08,0.28
Hair,Oceania-Australia,2,0.5,0.2,0.07,0.49
Hair,South America,8,0.62,0.28,0.12,0.58
Hair,South Asia,39,0.26,0.19,0.11,0.31
Hair,Southeast Asia,21,0.24,0.17,0.07,0.29
Hair,Southwest Asia,39,0.1,0.1,0.03,0.19
Ornaments,Africa,104,0.18,0.14,0.08,0.22
Ornaments,Central Eurasia,12,0.08,0.11,0.02,0.27
Ornaments,East Asia,39,0.21,0.18,0.09,0.31
Ornaments,Europe,71,0.11,0.08,0.04,0.15
Ornaments,North America,28,0.14,0.13,0.05,0.26
Ornaments,Oceania-Australia,3,0.67,0.32,0.08,0.73
Ornaments,South America,8,0.75,0.48,0.19,0.81
Ornaments,South Asia,39,0.31,0.25,0.14,0.39
Ornaments,Southeast Asia,21,0.43,0.3,0.15,0.5
Ornaments,Southwest Asia,38,0.08,0.07,0.02,0.15
Tattoos/Scarification,Africa,101,0.1,0.07,0.03,0.13
Tattoos/Scarification,Central Eurasia,12,0,0.03,0,0.13
Tattoos/Scarification,East Asia,39,0.13,0.11,0.04,0.22
Tattoos/Scarification,Europe,71,0,0.01,0,0.03
Tattoos/Scarification,North America,28,0.11,0.08,0.02,0.2
Tattoos/Scarification,Oceania-Australia,5,0.8,0.48,0.12,0.89
Tattoos/Scarification,South America,7,0.57,0.39,0.11,0.74
Tattoos/Scarification,South Asia,39,0.1,0.08,0.02,0.17
Tattoos/Scarification,Southeast Asia,22,0.23,0.14,0.04,0.3
Tattoos/Scarification,Southwest Asia,42,0.02,0.02,0,0.07
