Marker,N,beta,ci_lo,ci_hi,post_prob,AME
Circumcision,370,0.96,0.42,1.53,1,0.13
Dress,364,0.78,0.3,1.25,1,0.16
Extra-Ritual In-Group Markers,392,1.01,0.59,1.44,1,0.24
Food Taboos,369,1.08,0.62,1.56,1,0.22
Hair,361,0.89,0.36,1.44,1,0.16
Ornaments,363,0.79,0.24,1.34,1,0.15
Permanent Scarring,431,1.22,0.58,1.91,1,0.12
Tattoos/Scarification,366,0.94,0.2,1.69,0.99,0.12
