Marker,N,divergences,max_rhat,min_bulk_ess,min_tail_ess
Permanent Scarring,431,0,1.003,4246,4134
Extra-Ritual In-Group Markers,392,0,1.003,3458,3133
Circumcision,370,0,1.001,2843,3391
Dress,364,0,1.002,4076,4291
Food Taboos,369,0,1.002,4866,4395
Hair,361,0,1.004,3144,3302
Ornaments,363,0,1.002,2237,3145
Tattoos/Scarification,366,0,1.001,2009,3053
