marker,model,parameter,rhat,ess_bulk,ess_tail
hair,fit_phylo_year,violent_external,1,13984.42,6474.85
hair,fit_phylo_year,year_scaled,1,10789.79,5792.19
hair,fit_phylo_year,world_regionCentralEurasia,1,9729.16,6213.43
hair,fit_phylo_year,world_regionEastAsia,1,10360.94,6327.76
hair,fit_phylo_year,world_regionEurope,1,10853.66,5783.41
hair,fit_phylo_year,world_regionNorthAmerica,1,7706.38,6064.72
hair,fit_phylo_year,world_regionOceaniaMAustralia,1,13781.23,5661.97
hair,fit_phylo_year,world_regionSouthAmerica,1,13958.91,6186.79
hair,fit_phylo_year,world_regionSouthAsia,1,9080.72,5987.99
hair,fit_phylo_year,world_regionSoutheastAsia,1,11931.42,5943.81
hair,fit_phylo_year,world_regionSouthwestAsia,1,10029.78,5983.12
ornaments,fit_base,Intercept,1,5106.84,4447.34
ornaments,fit_base,violent_external,1,5177.94,4669.57
ornaments,fit_phylo,Intercept,1,6646.92,4400.99
ornaments,fit_phylo,violent_external,1,11131.2,6200.29
ornaments,fit_phylo_repeat,Intercept,1,7136.94,5144.76
ornaments,fit_phylo_repeat,violent_external,1,15352.84,5770.29
ornaments,fit_phylo_year,Intercept,1,9327.11,5828.07
ornaments,fit_phylo_year,violent_external,1,15814.63,5893.56
ornaments,fit_phylo_year,year_scaled,1,14832.57,5866.91
ornaments,fit_phylo_year,world_regionCentralEurasia,1,15912.5,5762.58
ornaments,fit_phylo_year,world_regionEastAsia,1,13375.05,7234.11
ornaments,fit_phylo_year,world_regionEurope,1,11938.28,6378.66
ornaments,fit_phylo_year,world_regionNorthAmerica,1,13905.47,6347.39
ornaments,fit_phylo_year,world_regionOceaniaMAustralia,1,17386.92,5873.46
ornaments,fit_phylo_year,world_regionSouthAmerica,1,16371.29,4666.46
ornaments,fit_phylo_year,world_regionSouthAsia,1,11385.79,6603.59
ornaments,fit_phylo_year,world_regionSoutheastAsia,1,13261.59,6204.96
ornaments,fit_phylo_year,world_regionSouthwestAsia,1,12910.49,6815.33
permanent_scarring,fit_base,Intercept,1,3361.43,3398.01
permanent_scarring,fit_base,violent_external,1,3583.56,3972.13
permanent_scarring,fit_phylo,Intercept,1,7974.97,5012.95
permanent_scarring,fit_phylo,violent_external,1,13239.68,6043.64
permanent_scarring,fit_phylo_repeat,Intercept,1,5114.1,5001.79
permanent_scarring,fit_phylo_repeat,violent_external,1,10421.11,5552.07
permanent_scarring,fit_phylo_year,Intercept,1,8067.48,4837.99
permanent_scarring,fit_phylo_year,violent_external,1,13520.48,5976.73
permanent_scarring,fit_phylo_year,year_scaled,1,10439.62,5480.01
permanent_scarring,fit_phylo_year,world_regionCentralEurasia,1,14727.99,5303.15
permanent_scarring,fit_phylo_year,world_regionEastAsia,1,12271.13,6050.98
permanent_scarring,fit_phylo_year,world_regionEurope,1,11319.48,6667.63
permanent_scarring,fit_phylo_year,world_regionNorthAmerica,1,12195.37,6299.48
permanent_scarring,fit_phylo_year,world_regionOceaniaMAustralia,1,12874.53,5197.66
permanent_scarring,fit_phylo_year,world_regionSouthAmerica,1,13326.29,5948.95
permanent_scarring,fit_phylo_year,world_regionSouthAsia,1,11522.32,5895.73
permanent_scarring,fit_phylo_year,world_regionSoutheastAsia,1,11553.17,5766.92
permanent_scarring,fit_phylo_year,world_regionSouthwestAsia,1,10789.91,6149.69
tattoos_scarification,fit_base,Intercept,1,4297.87,4472.79
tattoos_scarification,fit_base,violent_external,1,4686.08,4513.44
tattoos_scarification,fit_phylo,Intercept,1,5733.44,4542.66
tattoos_scarification,fit_phylo,violent_external,1,13052.98,6050.55
tattoos_scarification,fit_phylo_repeat,Intercept,1,2867.09,4112.47
tattoos_scarification,fit_phylo_repeat,violent_external,1,11310.04,6186.19
tattoos_scarification,fit_phylo_year,Intercept,1,8168.59,5749.17
tattoos_scarification,fit_phylo_year,violent_external,1,11204.75,5807.47
tattoos_scarification,fit_phylo_year,year_scaled,1,11631.32,6191.14
tattoos_scarification,fit_phylo_year,world_regionCentralEurasia,1,13188.26,5437.74
tattoos_scarification,fit_phylo_year,world_regionEastAsia,1,9787.95,6150.92
tattoos_scarification,fit_phylo_year,world_regionEurope,1,10526.82,6245.35
tattoos_scarification,fit_phylo_year,world_regionNorthAmerica,1,12361.71,5705.47
tattoos_scarification,fit_phylo_year,world_regionOceaniaMAustralia,1,13042.22,5883.51
tattoos_scarification,fit_phylo_year,world_regionSouthAmerica,1,12874.12,5934.25
tattoos_scarification,fit_phylo_year,world_regionSouthAsia,1,10128.37,5692.93
tattoos_scarification,fit_phylo_year,world_regionSoutheastAsia,1,11360.34,5867.44
tattoos_scarification,fit_phylo_year,world_regionSouthwestAsia,1,10717.92,5965.91
