entry_id,violent_external,permanent_scarring,year_scaled,world_region,tip_name
526,0,0,0.7263018629664479,Southeast Asia,HM.HMONG_MIEN.HMONG_DAW
534,1,0,-1.0819387330821952,Europe,IE.ROMANCE.LATIN
562,1,1,-0.0958796232904788,South Asia,Dra.SOUTHERN_DRAVIDIAN.TAMIL
563,0,0,0.6750901056118263,South Asia,IE.INDIC.PAHARI_MAHASU
564,1,0,0.7728580060161041,South Asia,IE.INDIC.NEPALI
565,0,1,0.749579934491276,Africa,AA.SEMITIC.CAIRO_ARABIC
567,0,0,0.8203452719267533,Europe,IE.GERMANIC.ENGLISH
570,1,0,0.8063784290118564,Southeast Asia,IE.GERMANIC.ENGLISH
577,1,0,0.6890569485267231,Africa,NC.BANTOID.J15_GANDA
580,0,1,0.5400772907678235,South Asia,IE.INDIC.HINDI
581,0,1,0.7914804632359665,Southeast Asia,An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.MENTAWAI
590,0,0,-0.4189792560550923,East Asia,ST.CHINESE.MIDDLE_CHINESE
592,0,0,0.0745158602712624,South Asia,Dra.SOUTHERN_DRAVIDIAN.KANNADA
598,1,1,0.7030237914416199,Africa,ESu.NILOTIC.MAASAI
607,0,0,-1.4152807173177329,East Asia,ST.CHINESE.MIDDLE_CHINESE
623,0,0,0.7197840029394961,North America,IE.GERMANIC.ENGLISH
624,1,0,0.4004088616188552,South Asia,IE.IRANIAN.PERSIAN
626,0,0,0.7328197229933998,South America,Car.CARIBAN.TIRIYO
629,0,0,0.0745158602712624,South Asia,IE.INDIC.NEPALI
630,1,0,0.7132661429125442,Oceania-Australia,Aus.PAMA_NYUNGAN.ARRERNTE_CENTRAL
632,1,0,-1.6480614325660137,Europe,IE.GREEK.GREEK_ANCIENT
633,0,0,0.1098985289890011,South Asia,IE.INDIC.SANSKRIT
645,0,0,-0.0185964258280497,South Asia,IE.INDIC.HINDI
649,0,0,-0.3910455702252986,South Asia,Dra.SOUTHERN_DRAVIDIAN.TAMIL
654,1,0,0.0726536145492762,Europe,IE.ROMANCE.LATIN
