entry_id,entry_name,entrytag_name,Glottocode,n_candidates,candidates
1250,Hanbalism,Arabic,arab1395,28,ARABIC_CYPRIOT_SPOKEN (ARABIC_CYPRIOT_SPOKEN); ARABIC_GULF_SPOKEN (ARABIC_GULF_SPOKEN); ARABIC_LIBYAN_SPOKEN (ARABIC_LIBYAN_SPOKEN); ARABIC_NORTH_LEVANTINE_SPOKEN (ARABIC_NORTH_LEVANTINE_SPOKEN); ARABIC_QURANIC (ARABIC_QURANIC); ARABIC_SUDANESE_SPOKEN (ARABIC_SUDANESE_SPOKEN); CAIRO_ARABIC (CAIRO_ARABIC); CLASSICAL_ARABIC (CLASSICAL_ARABIC); DAMASCUS_ARABIC (DAMASCUS_ARABIC); DELLYS (DELLYS); IRAQ_MUSLIM_BAGHDAD_ARABIC (IRAQ_MUSLIM_BAGHDAD_ARABIC); KUWAITI_ARABIC (KUWAITI_ARABIC); MALTESE (MALTESE); MALTESE_ARABIC (MALTESE_ARABIC); MOROCCAN_ARABIC (MOROCCAN_ARABIC); MOROCCAN_ARABIC_2 (MOROCCAN_ARABIC_2); NIGERIAN_ARABIC (NIGERIAN_ARABIC); PALESTINIAN_ARABIC (PALESTINIAN_ARABIC); SAN_ANDRES_ARABIC_1 (SAN_ANDRES_ARABIC_1); SAN_ANDRES_ARABIC_2 (SAN_ANDRES_ARABIC_2); SAN_ANDRES_ARABIC_3 (SAN_ANDRES_ARABIC_3); SOUKHNE_SYRIAN_ARABIC (SOUKHNE_SYRIAN_ARABIC); STANDARD_ARABIC (STANDARD_ARABIC); SUDANESE_ARABIC (SUDANESE_ARABIC); SYRIAN_ARABIC (SYRIAN_ARABIC); TRIPOLI_JEWISH_ARABIC (TRIPOLI_JEWISH_ARABIC); TUNISIAN_ARABIC_MAGHRIB (TUNISIAN_ARABIC_MAGHRIB); YEMEN_SANAANI_ARABIC (YEMEN_SANAANI_ARABIC)
1689,The Isma'ilis in the Ottoman Empire,Arabic,arab1395,28,ARABIC_CYPRIOT_SPOKEN (ARABIC_CYPRIOT_SPOKEN); ARABIC_GULF_SPOKEN (ARABIC_GULF_SPOKEN); ARABIC_LIBYAN_SPOKEN (ARABIC_LIBYAN_SPOKEN); ARABIC_NORTH_LEVANTINE_SPOKEN (ARABIC_NORTH_LEVANTINE_SPOKEN); ARABIC_QURANIC (ARABIC_QURANIC); ARABIC_SUDANESE_SPOKEN (ARABIC_SUDANESE_SPOKEN); CAIRO_ARABIC (CAIRO_ARABIC); CLASSICAL_ARABIC (CLASSICAL_ARABIC); DAMASCUS_ARABIC (DAMASCUS_ARABIC); DELLYS (DELLYS); IRAQ_MUSLIM_BAGHDAD_ARABIC (IRAQ_MUSLIM_BAGHDAD_ARABIC); KUWAITI_ARABIC (KUWAITI_ARABIC); MALTESE (MALTESE); MALTESE_ARABIC (MALTESE_ARABIC); MOROCCAN_ARABIC (MOROCCAN_ARABIC); MOROCCAN_ARABIC_2 (MOROCCAN_ARABIC_2); NIGERIAN_ARABIC (NIGERIAN_ARABIC); PALESTINIAN_ARABIC (PALESTINIAN_ARABIC); SAN_ANDRES_ARABIC_1 (SAN_ANDRES_ARABIC_1); SAN_ANDRES_ARABIC_2 (SAN_ANDRES_ARABIC_2); SAN_ANDRES_ARABIC_3 (SAN_ANDRES_ARABIC_3); SOUKHNE_SYRIAN_ARABIC (SOUKHNE_SYRIAN_ARABIC); STANDARD_ARABIC (STANDARD_ARABIC); SUDANESE_ARABIC (SUDANESE_ARABIC); SYRIAN_ARABIC (SYRIAN_ARABIC); TRIPOLI_JEWISH_ARABIC (TRIPOLI_JEWISH_ARABIC); TUNISIAN_ARABIC_MAGHRIB (TUNISIAN_ARABIC_MAGHRIB); YEMEN_SANAANI_ARABIC (YEMEN_SANAANI_ARABIC)
1708,الإباضية  Al-Ibadia,Arabic,arab1395,28,ARABIC_CYPRIOT_SPOKEN (ARABIC_CYPRIOT_SPOKEN); ARABIC_GULF_SPOKEN (ARABIC_GULF_SPOKEN); ARABIC_LIBYAN_SPOKEN (ARABIC_LIBYAN_SPOKEN); ARABIC_NORTH_LEVANTINE_SPOKEN (ARABIC_NORTH_LEVANTINE_SPOKEN); ARABIC_QURANIC (ARABIC_QURANIC); ARABIC_SUDANESE_SPOKEN (ARABIC_SUDANESE_SPOKEN); CAIRO_ARABIC (CAIRO_ARABIC); CLASSICAL_ARABIC (CLASSICAL_ARABIC); DAMASCUS_ARABIC (DAMASCUS_ARABIC); DELLYS (DELLYS); IRAQ_MUSLIM_BAGHDAD_ARABIC (IRAQ_MUSLIM_BAGHDAD_ARABIC); KUWAITI_ARABIC (KUWAITI_ARABIC); MALTESE (MALTESE); MALTESE_ARABIC (MALTESE_ARABIC); MOROCCAN_ARABIC (MOROCCAN_ARABIC); MOROCCAN_ARABIC_2 (MOROCCAN_ARABIC_2); NIGERIAN_ARABIC (NIGERIAN_ARABIC); PALESTINIAN_ARABIC (PALESTINIAN_ARABIC); SAN_ANDRES_ARABIC_1 (SAN_ANDRES_ARABIC_1); SAN_ANDRES_ARABIC_2 (SAN_ANDRES_ARABIC_2); SAN_ANDRES_ARABIC_3 (SAN_ANDRES_ARABIC_3); SOUKHNE_SYRIAN_ARABIC (SOUKHNE_SYRIAN_ARABIC); STANDARD_ARABIC (STANDARD_ARABIC); SUDANESE_ARABIC (SUDANESE_ARABIC); SYRIAN_ARABIC (SYRIAN_ARABIC); TRIPOLI_JEWISH_ARABIC (TRIPOLI_JEWISH_ARABIC); TUNISIAN_ARABIC_MAGHRIB (TUNISIAN_ARABIC_MAGHRIB); YEMEN_SANAANI_ARABIC (YEMEN_SANAANI_ARABIC)
1759,الطريقة الشاذلية = Attarika Achadoulia,Arabic,arab1395,28,ARABIC_CYPRIOT_SPOKEN (ARABIC_CYPRIOT_SPOKEN); ARABIC_GULF_SPOKEN (ARABIC_GULF_SPOKEN); ARABIC_LIBYAN_SPOKEN (ARABIC_LIBYAN_SPOKEN); ARABIC_NORTH_LEVANTINE_SPOKEN (ARABIC_NORTH_LEVANTINE_SPOKEN); ARABIC_QURANIC (ARABIC_QURANIC); ARABIC_SUDANESE_SPOKEN (ARABIC_SUDANESE_SPOKEN); CAIRO_ARABIC (CAIRO_ARABIC); CLASSICAL_ARABIC (CLASSICAL_ARABIC); DAMASCUS_ARABIC (DAMASCUS_ARABIC); DELLYS (DELLYS); IRAQ_MUSLIM_BAGHDAD_ARABIC (IRAQ_MUSLIM_BAGHDAD_ARABIC); KUWAITI_ARABIC (KUWAITI_ARABIC); MALTESE (MALTESE); MALTESE_ARABIC (MALTESE_ARABIC); MOROCCAN_ARABIC (MOROCCAN_ARABIC); MOROCCAN_ARABIC_2 (MOROCCAN_ARABIC_2); NIGERIAN_ARABIC (NIGERIAN_ARABIC); PALESTINIAN_ARABIC (PALESTINIAN_ARABIC); SAN_ANDRES_ARABIC_1 (SAN_ANDRES_ARABIC_1); SAN_ANDRES_ARABIC_2 (SAN_ANDRES_ARABIC_2); SAN_ANDRES_ARABIC_3 (SAN_ANDRES_ARABIC_3); SOUKHNE_SYRIAN_ARABIC (SOUKHNE_SYRIAN_ARABIC); STANDARD_ARABIC (STANDARD_ARABIC); SUDANESE_ARABIC (SUDANESE_ARABIC); SYRIAN_ARABIC (SYRIAN_ARABIC); TRIPOLI_JEWISH_ARABIC (TRIPOLI_JEWISH_ARABIC); TUNISIAN_ARABIC_MAGHRIB (TUNISIAN_ARABIC_MAGHRIB); YEMEN_SANAANI_ARABIC (YEMEN_SANAANI_ARABIC)
1776,الطريقة القادرية في البلاد التونسية The Qadiriyya Order in Tunisia,Arabic,arab1395,28,ARABIC_CYPRIOT_SPOKEN (ARABIC_CYPRIOT_SPOKEN); ARABIC_GULF_SPOKEN (ARABIC_GULF_SPOKEN); ARABIC_LIBYAN_SPOKEN (ARABIC_LIBYAN_SPOKEN); ARABIC_NORTH_LEVANTINE_SPOKEN (ARABIC_NORTH_LEVANTINE_SPOKEN); ARABIC_QURANIC (ARABIC_QURANIC); ARABIC_SUDANESE_SPOKEN (ARABIC_SUDANESE_SPOKEN); CAIRO_ARABIC (CAIRO_ARABIC); CLASSICAL_ARABIC (CLASSICAL_ARABIC); DAMASCUS_ARABIC (DAMASCUS_ARABIC); DELLYS (DELLYS); IRAQ_MUSLIM_BAGHDAD_ARABIC (IRAQ_MUSLIM_BAGHDAD_ARABIC); KUWAITI_ARABIC (KUWAITI_ARABIC); MALTESE (MALTESE); MALTESE_ARABIC (MALTESE_ARABIC); MOROCCAN_ARABIC (MOROCCAN_ARABIC); MOROCCAN_ARABIC_2 (MOROCCAN_ARABIC_2); NIGERIAN_ARABIC (NIGERIAN_ARABIC); PALESTINIAN_ARABIC (PALESTINIAN_ARABIC); SAN_ANDRES_ARABIC_1 (SAN_ANDRES_ARABIC_1); SAN_ANDRES_ARABIC_2 (SAN_ANDRES_ARABIC_2); SAN_ANDRES_ARABIC_3 (SAN_ANDRES_ARABIC_3); SOUKHNE_SYRIAN_ARABIC (SOUKHNE_SYRIAN_ARABIC); STANDARD_ARABIC (STANDARD_ARABIC); SUDANESE_ARABIC (SUDANESE_ARABIC); SYRIAN_ARABIC (SYRIAN_ARABIC); TRIPOLI_JEWISH_ARABIC (TRIPOLI_JEWISH_ARABIC); TUNISIAN_ARABIC_MAGHRIB (TUNISIAN_ARABIC_MAGHRIB); YEMEN_SANAANI_ARABIC (YEMEN_SANAANI_ARABIC)
1777,الطريقة التّيجانية بالبلاد التونسية The Tijaniyya Order in Tunisia,Arabic,arab1395,28,ARABIC_CYPRIOT_SPOKEN (ARABIC_CYPRIOT_SPOKEN); ARABIC_GULF_SPOKEN (ARABIC_GULF_SPOKEN); ARABIC_LIBYAN_SPOKEN (ARABIC_LIBYAN_SPOKEN); ARABIC_NORTH_LEVANTINE_SPOKEN (ARABIC_NORTH_LEVANTINE_SPOKEN); ARABIC_QURANIC (ARABIC_QURANIC); ARABIC_SUDANESE_SPOKEN (ARABIC_SUDANESE_SPOKEN); CAIRO_ARABIC (CAIRO_ARABIC); CLASSICAL_ARABIC (CLASSICAL_ARABIC); DAMASCUS_ARABIC (DAMASCUS_ARABIC); DELLYS (DELLYS); IRAQ_MUSLIM_BAGHDAD_ARABIC (IRAQ_MUSLIM_BAGHDAD_ARABIC); KUWAITI_ARABIC (KUWAITI_ARABIC); MALTESE (MALTESE); MALTESE_ARABIC (MALTESE_ARABIC); MOROCCAN_ARABIC (MOROCCAN_ARABIC); MOROCCAN_ARABIC_2 (MOROCCAN_ARABIC_2); NIGERIAN_ARABIC (NIGERIAN_ARABIC); PALESTINIAN_ARABIC (PALESTINIAN_ARABIC); SAN_ANDRES_ARABIC_1 (SAN_ANDRES_ARABIC_1); SAN_ANDRES_ARABIC_2 (SAN_ANDRES_ARABIC_2); SAN_ANDRES_ARABIC_3 (SAN_ANDRES_ARABIC_3); SOUKHNE_SYRIAN_ARABIC (SOUKHNE_SYRIAN_ARABIC); STANDARD_ARABIC (STANDARD_ARABIC); SUDANESE_ARABIC (SUDANESE_ARABIC); SYRIAN_ARABIC (SYRIAN_ARABIC); TRIPOLI_JEWISH_ARABIC (TRIPOLI_JEWISH_ARABIC); TUNISIAN_ARABIC_MAGHRIB (TUNISIAN_ARABIC_MAGHRIB); YEMEN_SANAANI_ARABIC (YEMEN_SANAANI_ARABIC)
1780,الطريقة الشاذلية في تونس The Shadhiliyya Order in Tunisia,Arabic,arab1395,28,ARABIC_CYPRIOT_SPOKEN (ARABIC_CYPRIOT_SPOKEN); ARABIC_GULF_SPOKEN (ARABIC_GULF_SPOKEN); ARABIC_LIBYAN_SPOKEN (ARABIC_LIBYAN_SPOKEN); ARABIC_NORTH_LEVANTINE_SPOKEN (ARABIC_NORTH_LEVANTINE_SPOKEN); ARABIC_QURANIC (ARABIC_QURANIC); ARABIC_SUDANESE_SPOKEN (ARABIC_SUDANESE_SPOKEN); CAIRO_ARABIC (CAIRO_ARABIC); CLASSICAL_ARABIC (CLASSICAL_ARABIC); DAMASCUS_ARABIC (DAMASCUS_ARABIC); DELLYS (DELLYS); IRAQ_MUSLIM_BAGHDAD_ARABIC (IRAQ_MUSLIM_BAGHDAD_ARABIC); KUWAITI_ARABIC (KUWAITI_ARABIC); MALTESE (MALTESE); MALTESE_ARABIC (MALTESE_ARABIC); MOROCCAN_ARABIC (MOROCCAN_ARABIC); MOROCCAN_ARABIC_2 (MOROCCAN_ARABIC_2); NIGERIAN_ARABIC (NIGERIAN_ARABIC); PALESTINIAN_ARABIC (PALESTINIAN_ARABIC); SAN_ANDRES_ARABIC_1 (SAN_ANDRES_ARABIC_1); SAN_ANDRES_ARABIC_2 (SAN_ANDRES_ARABIC_2); SAN_ANDRES_ARABIC_3 (SAN_ANDRES_ARABIC_3); SOUKHNE_SYRIAN_ARABIC (SOUKHNE_SYRIAN_ARABIC); STANDARD_ARABIC (STANDARD_ARABIC); SUDANESE_ARABIC (SUDANESE_ARABIC); SYRIAN_ARABIC (SYRIAN_ARABIC); TRIPOLI_JEWISH_ARABIC (TRIPOLI_JEWISH_ARABIC); TUNISIAN_ARABIC_MAGHRIB (TUNISIAN_ARABIC_MAGHRIB); YEMEN_SANAANI_ARABIC (YEMEN_SANAANI_ARABIC)
1781,المذهب الشيعي في تونس The Shiʿi madhhab in Tunisia,Arabic,arab1395,28,ARABIC_CYPRIOT_SPOKEN (ARABIC_CYPRIOT_SPOKEN); ARABIC_GULF_SPOKEN (ARABIC_GULF_SPOKEN); ARABIC_LIBYAN_SPOKEN (ARABIC_LIBYAN_SPOKEN); ARABIC_NORTH_LEVANTINE_SPOKEN (ARABIC_NORTH_LEVANTINE_SPOKEN); ARABIC_QURANIC (ARABIC_QURANIC); ARABIC_SUDANESE_SPOKEN (ARABIC_SUDANESE_SPOKEN); CAIRO_ARABIC (CAIRO_ARABIC); CLASSICAL_ARABIC (CLASSICAL_ARABIC); DAMASCUS_ARABIC (DAMASCUS_ARABIC); DELLYS (DELLYS); IRAQ_MUSLIM_BAGHDAD_ARABIC (IRAQ_MUSLIM_BAGHDAD_ARABIC); KUWAITI_ARABIC (KUWAITI_ARABIC); MALTESE (MALTESE); MALTESE_ARABIC (MALTESE_ARABIC); MOROCCAN_ARABIC (MOROCCAN_ARABIC); MOROCCAN_ARABIC_2 (MOROCCAN_ARABIC_2); NIGERIAN_ARABIC (NIGERIAN_ARABIC); PALESTINIAN_ARABIC (PALESTINIAN_ARABIC); SAN_ANDRES_ARABIC_1 (SAN_ANDRES_ARABIC_1); SAN_ANDRES_ARABIC_2 (SAN_ANDRES_ARABIC_2); SAN_ANDRES_ARABIC_3 (SAN_ANDRES_ARABIC_3); SOUKHNE_SYRIAN_ARABIC (SOUKHNE_SYRIAN_ARABIC); STANDARD_ARABIC (STANDARD_ARABIC); SUDANESE_ARABIC (SUDANESE_ARABIC); SYRIAN_ARABIC (SYRIAN_ARABIC); TRIPOLI_JEWISH_ARABIC (TRIPOLI_JEWISH_ARABIC); TUNISIAN_ARABIC_MAGHRIB (TUNISIAN_ARABIC_MAGHRIB); YEMEN_SANAANI_ARABIC (YEMEN_SANAANI_ARABIC)
1791,"الطريقة القادرية في بغداد: فترة التأسيس ق12 Attarika Al Qadiria à Bagdad: la période fondatrice, le XIIe siècle",Arabic,arab1395,28,ARABIC_CYPRIOT_SPOKEN (ARABIC_CYPRIOT_SPOKEN); ARABIC_GULF_SPOKEN (ARABIC_GULF_SPOKEN); ARABIC_LIBYAN_SPOKEN (ARABIC_LIBYAN_SPOKEN); ARABIC_NORTH_LEVANTINE_SPOKEN (ARABIC_NORTH_LEVANTINE_SPOKEN); ARABIC_QURANIC (ARABIC_QURANIC); ARABIC_SUDANESE_SPOKEN (ARABIC_SUDANESE_SPOKEN); CAIRO_ARABIC (CAIRO_ARABIC); CLASSICAL_ARABIC (CLASSICAL_ARABIC); DAMASCUS_ARABIC (DAMASCUS_ARABIC); DELLYS (DELLYS); IRAQ_MUSLIM_BAGHDAD_ARABIC (IRAQ_MUSLIM_BAGHDAD_ARABIC); KUWAITI_ARABIC (KUWAITI_ARABIC); MALTESE (MALTESE); MALTESE_ARABIC (MALTESE_ARABIC); MOROCCAN_ARABIC (MOROCCAN_ARABIC); MOROCCAN_ARABIC_2 (MOROCCAN_ARABIC_2); NIGERIAN_ARABIC (NIGERIAN_ARABIC); PALESTINIAN_ARABIC (PALESTINIAN_ARABIC); SAN_ANDRES_ARABIC_1 (SAN_ANDRES_ARABIC_1); SAN_ANDRES_ARABIC_2 (SAN_ANDRES_ARABIC_2); SAN_ANDRES_ARABIC_3 (SAN_ANDRES_ARABIC_3); SOUKHNE_SYRIAN_ARABIC (SOUKHNE_SYRIAN_ARABIC); STANDARD_ARABIC (STANDARD_ARABIC); SUDANESE_ARABIC (SUDANESE_ARABIC); SYRIAN_ARABIC (SYRIAN_ARABIC); TRIPOLI_JEWISH_ARABIC (TRIPOLI_JEWISH_ARABIC); TUNISIAN_ARABIC_MAGHRIB (TUNISIAN_ARABIC_MAGHRIB); YEMEN_SANAANI_ARABIC (YEMEN_SANAANI_ARABIC)
1903,The 'Abbāsids,Arabic,arab1395,28,ARABIC_CYPRIOT_SPOKEN (ARABIC_CYPRIOT_SPOKEN); ARABIC_GULF_SPOKEN (ARABIC_GULF_SPOKEN); ARABIC_LIBYAN_SPOKEN (ARABIC_LIBYAN_SPOKEN); ARABIC_NORTH_LEVANTINE_SPOKEN (ARABIC_NORTH_LEVANTINE_SPOKEN); ARABIC_QURANIC (ARABIC_QURANIC); ARABIC_SUDANESE_SPOKEN (ARABIC_SUDANESE_SPOKEN); CAIRO_ARABIC (CAIRO_ARABIC); CLASSICAL_ARABIC (CLASSICAL_ARABIC); DAMASCUS_ARABIC (DAMASCUS_ARABIC); DELLYS (DELLYS); IRAQ_MUSLIM_BAGHDAD_ARABIC (IRAQ_MUSLIM_BAGHDAD_ARABIC); KUWAITI_ARABIC (KUWAITI_ARABIC); MALTESE (MALTESE); MALTESE_ARABIC (MALTESE_ARABIC); MOROCCAN_ARABIC (MOROCCAN_ARABIC); MOROCCAN_ARABIC_2 (MOROCCAN_ARABIC_2); NIGERIAN_ARABIC (NIGERIAN_ARABIC); PALESTINIAN_ARABIC (PALESTINIAN_ARABIC); SAN_ANDRES_ARABIC_1 (SAN_ANDRES_ARABIC_1); SAN_ANDRES_ARABIC_2 (SAN_ANDRES_ARABIC_2); SAN_ANDRES_ARABIC_3 (SAN_ANDRES_ARABIC_3); SOUKHNE_SYRIAN_ARABIC (SOUKHNE_SYRIAN_ARABIC); STANDARD_ARABIC (STANDARD_ARABIC); SUDANESE_ARABIC (SUDANESE_ARABIC); SYRIAN_ARABIC (SYRIAN_ARABIC); TRIPOLI_JEWISH_ARABIC (TRIPOLI_JEWISH_ARABIC); TUNISIAN_ARABIC_MAGHRIB (TUNISIAN_ARABIC_MAGHRIB); YEMEN_SANAANI_ARABIC (YEMEN_SANAANI_ARABIC)
