ID,Name,Glottocode,Glottolog_Name,Family,classification_wals,classification_ethnologue,classification_glottolog
ABKHAZ,ABKHAZ,abkh1244,Abkhaz,Abkhaz-Adyge,NWC.NORTHWEST_CAUCASIAN,"Abkhaz-Adyghe,Abkhaz-Abazin","Abkhaz-Adyge,Abkhaz-Abaza"
ABKHAZ_2,ABKHAZ_2,abkh1244,Abkhaz,Abkhaz-Adyge,NWC.NORTHWEST_CAUCASIAN,"Abkhaz-Adyghe,Abkhaz-Abazin","Abkhaz-Adyge,Abkhaz-Abaza"
ABNAKI_EASTERN,ABNAKI_EASTERN,east2544,Eastern Abenaki,Algic,Alg.ALGONQUIAN,"Algic,Algonquian,EasternAlgonquian,Abenaki","Algic,Algonquian-Blackfoot,Algonquian,EasternAlgonquian,Maritimes-SouthernNewEnglandAlgonquian,NorthernEasternAlgonquian,Abenaki"
ABNAKI_WESTERN,ABNAKI_WESTERN,west2630,Western Abenaki,Algic,Alg.ALGONQUIAN,"Algic,Algonquian,EasternAlgonquian,Abenaki","Algic,Algonquian-Blackfoot,Algonquian,EasternAlgonquian,Maritimes-SouthernNewEnglandAlgonquian,NorthernEasternAlgonquian,Abenaki"
ABOM,ABOM,abom1238,Abom,Anim,Ani.ABOM,"Trans-NewGuinea,Tirio","Anim,Tirio"
ABON,ABON,abon1238,Abon,Atlantic-Congo,NC.TIVOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,Tivoid","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,Tivoid,NorthTivoid"
ABRON,ABRON,abro1238,Abron,Atlantic-Congo,NC.TANO,"Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Potou-Tano,Tano,Central,Akan","Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,CentralTano,Akanic"
ABRON_2,ABRON_2,abro1238,Abron,Atlantic-Congo,NC.TANO,"Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Potou-Tano,Tano,Central,Akan","Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,CentralTano,Akanic"
ABU,ABU,abuu1241,Abu,Ramu,RLS.AGOAN,"Ramu-LowerSepik,Ramu,Grass","Ramu,Agoan"
ABUA,ABUA,abua1244,Abua,Atlantic-Congo,NC.CENTRAL_DELTA,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,CentralDelta,Abua-Odual","Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,CentralDelta,Abua-Odual"
ABUI,ABUI,abui1241,Abui,Timor-Alor-Pantar,GWB.ALOR-PANTAR,"Trans-NewGuinea,West,Timor-Alor-Pantar,Alor-Pantar,Alor","Timor-Alor-Pantar,Alor-Pantar,NuclearAlor-Pantar,CentralAlor,Abuic"
ABUI_2,ABUI_2,abui1241,Abui,Timor-Alor-Pantar,GWB.ALOR-PANTAR,"Trans-NewGuinea,West,Timor-Alor-Pantar,Alor-Pantar,Alor","Timor-Alor-Pantar,Alor-Pantar,NuclearAlor-Pantar,CentralAlor,Abuic"
ABUI_ATIMELANG,ABUI_ATIMELANG,abui1241,Abui,Timor-Alor-Pantar,GWB.ALOR-PANTAR,"Trans-NewGuinea,West,Timor-Alor-Pantar,Alor-Pantar,Alor","Timor-Alor-Pantar,Alor-Pantar,NuclearAlor-Pantar,CentralAlor,Abuic"
ABUI_MAKADAI,ABUI_MAKADAI,abui1241,Abui,Timor-Alor-Pantar,GWB.ALOR-PANTAR,"Trans-NewGuinea,West,Timor-Alor-Pantar,Alor-Pantar,Alor","Timor-Alor-Pantar,Alor-Pantar,NuclearAlor-Pantar,CentralAlor,Abuic"
ABUI_TAKALELANG,ABUI_TAKALELANG,abui1241,Abui,Timor-Alor-Pantar,GWB.ALOR-PANTAR,"Trans-NewGuinea,West,Timor-Alor-Pantar,Alor-Pantar,Alor","Timor-Alor-Pantar,Alor-Pantar,NuclearAlor-Pantar,CentralAlor,Abuic"
ABUJHMARIA,ABUJHMARIA,mari1414,Maria (India),Dravidian,Dra.DRAVIDIAN,"Dravidian,South-Central,Gondi-Kui,Gondi","Dravidian,SouthDravidian,SouthDravidianII,Gondi,SoutheastGondi"
ABUL,ABUL,heib1243,Ebang,Heibanic,Krd.HEIBAN,"Niger-Congo,Kordofanian,Heiban,West-Central,Central,Ebang-Logol,Ebang-Laru","Heibanic,West-CentralHeibanic,CentralHeibanic,Ebang-Logol,Ebang-Laru"
