entry_id,entrytag_name,entrytag_level,ID,Glottocode,tip_name
430,Spanish,15,SPANISH,stan1288,IE.ROMANCE.SPANISH
432,Spanish,15,SPANISH,stan1288,IE.ROMANCE.SPANISH
435,Western Farsi,11,PERSIAN,west2369,IE.IRANIAN.PERSIAN
436,Spanish,15,SPANISH,stan1288,IE.ROMANCE.SPANISH
437,Spanish,15,SPANISH,stan1288,IE.ROMANCE.SPANISH
438,Portuguese,17,PORTUGUESE,port1283,IE.ROMANCE.PORTUGUESE
439,Hindi,13,HINDI,hind1269,IE.INDIC.HINDI
440,Kannada,9,KANNADA,nucl1305,Dra.SOUTHERN_DRAVIDIAN.KANNADA
441,Hindi,13,HINDI,hind1269,IE.INDIC.HINDI
448,Portuguese,17,PORTUGUESE,port1283,IE.ROMANCE.PORTUGUESE
451,Spanish,15,SPANISH,stan1288,IE.ROMANCE.SPANISH
455,Shan,13,SHAN_4,shan1277,TK.KAM_TAI.SHAN_4
456,Ancient Hebrew,9,BIBLICAL_HEBREW,anci1244,AA.SEMITIC.BIBLICAL_HEBREW
460,Spanish,15,SPANISH,stan1288,IE.ROMANCE.SPANISH
469,Korean,3,KOREAN,kore1280,Kor.KOREAN.KOREAN
472,Hindi,13,HINDI,hind1269,IE.INDIC.HINDI
476,Eastern Cham,10,CHAM_EASTERN,east2563,An.MALAYO_SUMBAWAN.CHAM_EASTERN
477,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
478,Sanskrit,6,SANSKRIT,sans1269,IE.INDIC.SANSKRIT
479,Akkadian,5,AKKADIAN_2,akka1240,AA.SEMITIC.AKKADIAN_2
481,Spanish,15,SPANISH,stan1288,IE.ROMANCE.SPANISH
482,Spanish,15,SPANISH,stan1288,IE.ROMANCE.SPANISH
483,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
484,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
485,Lule Saami,7,LULE_SAAMI,lule1254,Ura.SAAMI.LULE_SAAMI
486,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
487,Spanish,15,SPANISH,stan1288,IE.ROMANCE.SPANISH
490,Latin,8,LATIN,lati1261,IE.ROMANCE.LATIN
491,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
492,Latin,8,LATIN,lati1261,IE.ROMANCE.LATIN
493,Hindi,13,HINDI,hind1269,IE.INDIC.HINDI
494,San Blas Kuna,7,KUNA_YALA_SAN_BLAS,sanb1242,Chi.KUNA.KUNA_YALA_SAN_BLAS
495,Spanish,15,SPANISH,stan1288,IE.ROMANCE.SPANISH
498,Spanish,15,SPANISH,stan1288,IE.ROMANCE.SPANISH
499,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
501,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
502,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
510,Northern Paiute,6,NORTHERN_PAIUTE_BANNOCK,nort2954,UA.NUMIC.NORTHERN_PAIUTE_BANNOCK
511,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
512,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
513,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
515,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
516,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
519,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
525,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
532,Amur Nivkh,3,GILYAK_WEST_SAKHALIN,gily1242,Niv.NIVKH.GILYAK_WEST_SAKHALIN
533,Russian,7,RUSSIAN,russ1263,IE.SLAVIC.RUSSIAN
534,Latin,8,LATIN,lati1261,IE.ROMANCE.LATIN
535,Sanskrit,6,SANSKRIT,sans1269,IE.INDIC.SANSKRIT
