glottolog_name,Glottocode,asjp_id,tip_name
Manda (Australia),mand1416,MANDA,Aus.WESTERN_DALY.MANDA
Marimanindji,mari1417,MARAMANADJI,Aus.WESTERN_DALY.MARAMANADJI
Maringarr,mari1419,MARENGAR,Aus.WESTERN_DALY.MARENGAR
Maridan,mari1422,MARIDAN,Aus.WESTERN_DALY.MARIDAN
Marithiel,mari1424,MARITHIEL,Aus.WESTERN_DALY.MARITHIEL
Maridjabin,mari1421,MARITYABEN,Aus.WESTERN_DALY.MARITYABEN
Marriammu,marr1256,MARRIAMMU,Aus.WESTERN_DALY.MARRIAMMU
Mangerr,mang1382,MANGERR,Aus.GIIMBIYU.MANGERR
Erre,erre1238,ERRE,Aus.GIIMBIYU.ERRE
Urningangg,urni1239,URNINGANGG,Aus.GIIMBIYU.URNINGANGG
Margu,marg1251,MARGU,Aus.IWAIDJAN.MARGU
Mawng,maun1240,MAWNG,Aus.IWAIDJAN.MAWNG
Amurdak,amar1271,AMURDAK,Aus.IWAIDJAN.AMURDAK
Iwaidja,iwai1244,IWAIDJA,Aus.IWAIDJAN.IWAIDJA
Gaagudju,gaga1251,GAAGUDJU,Aus.GAAGUDJU.GAAGUDJU
Ganggalida,gang1267,GANGULIDA,Aus.TANGKIC.GANGULIDA
Ganggalida,gang1267,GANGGALIDA,Aus.TANGKIC.GANGGALIDA
Kayardild,kaya1319,KAYARDILD,Aus.TANGKIC.KAYARDILD
Kwini,kwin1241,GUNIN_KWINI,Aus.WORORAN.GUNIN_KWINI
Wunambal,wuna1249,WUNAMBAL,Aus.WORORAN.WUNAMBAL
Ngarinyin,ngar1284,NGARINYIN,Aus.WORORAN.NGARINYIN
Unggumi,ungg1243,UNGGUMI,Aus.WORORAN.UNGGUMI
Bunaba,buna1275,BUNABA,Aus.BUNUBAN.BUNABA
Gooniyandi,goon1238,GOONIYANDI,Aus.BUNUBAN.GOONIYANDI
Kitja,kitj1240,KITJA,Aus.DJERAGAN.KITJA
Miriwung,miri1266,MIRIWUNG,Aus.DJERAGAN.MIRIWUNG
Mangarrayi,mang1381,MANGARAYI,Aus.MANGARRAYI.MANGARAYI
Marra,mara1385,MARA,Aus.MARAN.MARA
Alawa,alaw1244,ALAWA,Aus.MARAN.ALAWA
Wandarang,wand1263,WANDARANG,Aus.MARAN.WANDARANG
Bardi,bard1255,BARDI,Aus.NYULNYULAN.BARDI
Yawuru,yawu1244,YAWURU,Aus.NYULNYULAN.YAWURU
Umbugarla,umbu1235,UMBUGARLA,Aus.UMBUGARLA_NGUMBUR.UMBUGARLA
Laragia,lara1258,LARRAKIA,Aus.LARAGIYAN.LARRAKIA
Limilngan,nucl1327,LIMILNGAN,Aus.LIMILNGAN.LIMILNGAN
