glottolog_name,Glottocode,asjp_id,tip_name
Lao,laoo1244,LAO,TK.KAM_TAI.LAO
Thai,thai1261,THAI_3,TK.KAM_TAI.THAI_3
Thai,thai1261,SIAMESE_2,TK.KAM_TAI.SIAMESE_2
Thai,thai1261,THAI_2,TK.KAM_TAI.THAI_2
Southern Thai,sout2746,SONGKHLA_THAI,TK.KAM_TAI.SONGKHLA_THAI
Thai,thai1261,THAI,TK.KAM_TAI.THAI
Thai,thai1261,KHORAT_THAI,TK.KAM_TAI.KHORAT_THAI
Touo,touo1238,MBANIATA,Tou.TOUO.MBANIATA
Mer,merr1239,MER,TNG.MAIRASI_TANAHMERAH.MER
,,MAIRASI,TNG.MAIRASI_TANAHMERAH.MAIRASI
,,SEMIMI,TNG.MAIRASI_TANAHMERAH.SEMIMI
Tsou,tsou1248,DUHTU_TSOU,An.TSOU.DUHTU_TSOU
Tsou,tsou1248,TSOU,An.TSOU.TSOU
Puyuma,puyu1239,LOWER_PINLANG_PUYUMA,An.PUYUMA.LOWER_PINLANG_PUYUMA
Puyuma,puyu1239,NANWANG_PUYUMA,An.PUYUMA.NANWANG_PUYUMA
Puyuma,puyu1239,PILAM_PUYUMA,An.PUYUMA.PILAM_PUYUMA
Rukai,ruka1240,RUKAI,An.RUKAI.RUKAI
Rukai,ruka1240,MANTAURAN,An.RUKAI.MANTAURAN
Rukai,ruka1240,MANTAURAN_RUKAI,An.RUKAI.MANTAURAN_RUKAI
Rukai,ruka1240,BUDAI_RUKAI,An.RUKAI.BUDAI_RUKAI
Rukai,ruka1240,TANAN_RUKAI,An.RUKAI.TANAN_RUKAI
Rukai,ruka1240,MAGA_RUKAI,An.RUKAI.MAGA_RUKAI
Rukai,ruka1240,TONA_RUKAI,An.RUKAI.TONA_RUKAI
Thao,thao1240,THAO,An.WESTERN_PLAINS_AUSTRONESIAN.THAO
Babuza,babu1240,FAVORLANG,An.WESTERN_PLAINS_AUSTRONESIAN.FAVORLANG
Papora-Hoanya,papo1239,PAPORA,An.WESTERN_PLAINS_AUSTRONESIAN.PAPORA
Papora-Hoanya,papo1239,PAPORA_2,An.WESTERN_PLAINS_AUSTRONESIAN.PAPORA_2
,,AURAN_KULON_PAZEH,An.NORTHWEST_FORMOSAN.AURAN_KULON_PAZEH
,,PAZEH,An.NORTHWEST_FORMOSAN.PAZEH
Saisiyat,sais1237,SAISIYAT,An.NORTHWEST_FORMOSAN.SAISIYAT
Saisiyat,sais1237,TAAI_SAISIYAT,An.NORTHWEST_FORMOSAN.TAAI_SAISIYAT
Saisiyat,sais1237,TUNGHO_SAISIYAT,An.NORTHWEST_FORMOSAN.TUNGHO_SAISIYAT
Atayal,atay1247,CIULI_ATAYAL,An.ATAYALIC.CIULI_ATAYAL
Atayal,atay1247,SQULIQ_ATAYAL,An.ATAYALIC.SQULIQ_ATAYAL
Atayal,atay1247,SKIKUN_ATAYAL,An.ATAYALIC.SKIKUN_ATAYAL
Atayal,atay1247,ATAYAL,An.ATAYALIC.ATAYAL
Atayal,atay1247,MAYRINAX_ATAYAL,An.ATAYALIC.MAYRINAX_ATAYAL
Seediq,taro1264,SEDIQ,An.ATAYALIC.SEDIQ
Seediq,taro1264,HECUO_TAROKO,An.ATAYALIC.HECUO_TAROKO
Seediq,taro1264,TRUKU_TAROKO,An.ATAYALIC.TRUKU_TAROKO
Seediq,taro1264,PARAN_TAROKO,An.ATAYALIC.PARAN_TAROKO
Seediq,taro1264,TODA_TAROKO,An.ATAYALIC.TODA_TAROKO
Kanakanavu,kana1286,KANAKANABU,An.TSOU.KANAKANABU
Saaroa,saar1237,SAAROA,An.TSOU.SAAROA
Paiwan,paiw1248,PAIWAN,An.PAIWAN.PAIWAN
Paiwan,paiw1248,STIMUL_PAIWAN,An.PAIWAN.STIMUL_PAIWAN
Paiwan,paiw1248,TJUBAR_PAIWAN,An.PAIWAN.TJUBAR_PAIWAN
Paiwan,paiw1248,BUTANGLU_PAIWAN,An.PAIWAN.BUTANGLU_PAIWAN
Bunun,bunu1267,TAKITUDUH_BUNUN,An.ATAYALIC.TAKITUDUH_BUNUN
Bunun,bunu1267,TAKBANUAZ_BUNUN,An.ATAYALIC.TAKBANUAZ_BUNUN
Bunun,bunu1267,BUNUN,An.ATAYALIC.BUNUN
Bunun,bunu1267,ISKUBUN,An.ATAYALIC.ISKUBUN
Sirayaic,sira1267,SIRAYA,An.EAST_FORMOSAN.SIRAYA
Kavalan,kava1241,KAVALAN,An.EAST_FORMOSAN.KAVALAN
Basay,basa1287,BASAY,An.EAST_FORMOSAN.BASAY
Kavalan,kava1241,KAVALAN_2,An.EAST_FORMOSAN.KAVALAN_2
Northern Amis,nata1254,NATAORAN_AMIS,An.EAST_FORMOSAN.NATAORAN_AMIS
Amis,amis1246,FARANG_AMIS,An.EAST_FORMOSAN.FARANG_AMIS
Amis,amis1246,FATAAN_AMIS,An.EAST_FORMOSAN.FATAAN_AMIS
Amis,amis1246,C_AMIS,An.EAST_FORMOSAN.C_AMIS
Northern Amis,nata1254,AMIS_NATAORAN,An.EAST_FORMOSAN.AMIS_NATAORAN
Chamorro,cham1312,CHAMORRO,An.CHAMORRO.CHAMORRO
Tiruray,tiru1241,TIRURAY,An.BILIC.TIRURAY
Koronadal Blaan,koro1310,BILAAN_KORONADAL,An.BILIC.BILAAN_KORONADAL
Sarangani Blaan,sara1326,BILAAN_SARANGANI,An.BILIC.BILAAN_SARANGANI
Tboli,tbol1240,TBOLI_TAGABILI,An.BILIC.TBOLI_TAGABILI
Tboli,tbol1240,TAGABILI,An.BILIC.TAGABILI
Boano (Sulawesi),boan1243,BOANO,An.CELEBIC.BOANO
Totoli,toto1304,TOTOLI,An.CELEBIC.TOTOLI
Lauje,lauj1238,LAUJE_AMPIBABO,An.CELEBIC.LAUJE_AMPIBABO
Lauje,lauj1238,LAUJE,An.CELEBIC.LAUJE
Dondo,dond1249,DONDO,An.CELEBIC.DONDO
Tomini,tomi1243,TOMINI,An.CELEBIC.TOMINI
Balaesang,bala1314,BALAESANG,An.CELEBIC.BALAESANG
Dampelas,damp1237,DAMPELAS,An.CELEBIC.DAMPELAS
Pendau,pend1242,PENDAU,An.CELEBIC.PENDAU
Tajio,taji1246,TAJIO,An.CELEBIC.TAJIO
Taje,taje1237,TAJE_PETAPA,An.CELEBIC.TAJE_PETAPA
Taje,taje1237,TAJE_TANAMPEDAGI,An.CELEBIC.TAJE_TANAMPEDAGI
Wotu,wotu1240,WOTU,An.CELEBIC.WOTU
Laiyolo,laiy1246,LAIYOLO,An.CELEBIC.LAIYOLO
Kamaru,kama1364,KAMARU,An.CELEBIC.KAMARU
Wolio,woli1241,WOLIO,An.CELEBIC.WOLIO
Rampi,ramp1243,RAMPI,An.CELEBIC.RAMPI
Bada (Indonesia),bada1261,BADA_INDONESIA,An.CELEBIC.BADA_INDONESIA
Sarudu,saru1242,SARUDU,An.CELEBIC.SARUDU
Uma,umaa1242,UMA,An.CELEBIC.UMA
Pamona,pamo1252,BAREE,An.CELEBIC.BAREE
Sedoa,sedo1237,SEDOA,An.CELEBIC.SEDOA
Ledo Kaili,ledo1238,SINDUE_TAWAILI,An.CELEBIC.SINDUE_TAWAILI
Ledo Kaili,ledo1238,TARA,An.CELEBIC.TARA
Topoiyo,topo1243,TOPOIYO,An.CELEBIC.TOPOIYO
Da'a Kaili,daak1235,DAA,An.CELEBIC.DAA
Moma,moma1242,MOMA,An.CELEBIC.MOMA
Banggai,bang1368,BANGGAI,An.CELEBIC.BANGGAI
Moronene,moro1287,MORONENE_TOKOTUA,An.CELEBIC.MORONENE_TOKOTUA
Moronene,moro1287,MORONENE,An.CELEBIC.MORONENE
Mori Bawah,mori1268,MORI_BAWAH,An.CELEBIC.MORI_BAWAH
Mori Bawah,mori1268,MORI_BAWAH_WATU,An.CELEBIC.MORI_BAWAH_WATU
Koroni,koro1311,KORONI,An.CELEBIC.KORONI
Taloki,talo1252,TALOKI,An.CELEBIC.TALOKI
Kulisusu,kuli1254,KULISUSU,An.CELEBIC.KULISUSU
Wawonii,wawo1239,WAWONII,An.CELEBIC.WAWONII
Wawonii,wawo1239,WAWONII_MENUI,An.CELEBIC.WAWONII_MENUI
Mori Atas,mori1269,MORI_ATAS,An.CELEBIC.MORI_ATAS
Padoe,pado1242,PADOE,An.CELEBIC.PADOE
Tomadino,toma1248,TOMADINO,An.CELEBIC.TOMADINO
Tolaki,tola1247,TOLAKI,An.CELEBIC.TOLAKI
Rahambuu,raha1237,RAHAMBUU,An.CELEBIC.RAHAMBUU
Waru,waru1266,WARU,An.CELEBIC.WARU
Tolaki,tola1247,TOLAKI_LAIWUI,An.CELEBIC.TOLAKI_LAIWUI
Waru,waru1266,WARU_LALOMERUI,An.CELEBIC.WARU_LALOMERUI
Kodeoha,kode1237,KODEOHA,An.CELEBIC.KODEOHA
Tolaki,tola1247,TOLAKI_MEKONGGA,An.CELEBIC.TOLAKI_MEKONGGA
Tolaki,tola1247,TOLAKI_ASERA,An.CELEBIC.TOLAKI_ASERA
Tolaki,tola1247,TOLAKI_KONAWE,An.CELEBIC.TOLAKI_KONAWE
Tolaki,tola1247,TOLAKI_WIWIRANO,An.CELEBIC.TOLAKI_WIWIRANO
Bonerate,bone1254,BONERATE,An.CELEBIC.BONERATE
Tukang Besi North,tuka1248,TUKANG_BESI_NORTHERN,An.CELEBIC.TUKANG_BESI_NORTHERN
Tukang Besi South,tuka1249,TUKANG_BESI_SOUTHERN,An.CELEBIC.TUKANG_BESI_SOUTHERN
Cia-Cia,ciac1237,MASIRI,An.CELEBIC.MASIRI
Cia-Cia,ciac1237,WABHULA,An.CELEBIC.WABHULA
Cia-Cia,ciac1237,PASARWAJO,An.CELEBIC.PASARWAJO
Cia-Cia,ciac1237,DESA_WALI,An.CELEBIC.DESA_WALI
Cia-Cia,ciac1237,MATO_NO_UWE,An.CELEBIC.MATO_NO_UWE
Cia-Cia,ciac1237,BATU_ATAS,An.CELEBIC.BATU_ATAS
Kumbewaha,kumb1274,KUMBEWAHA,An.CELEBIC.KUMBEWAHA
Lasalimu,lasa1237,LASALIMU,An.CELEBIC.LASALIMU
Busoa,buso1238,BUSOA,An.CELEBIC.BUSOA
Kaimbulawa,kaim1241,KAIMBULAWA,An.CELEBIC.KAIMBULAWA
Liabuku,liab1237,LIABUKA,An.CELEBIC.LIABUKA
Muna,muna1247,KADATUA,An.CELEBIC.KADATUA
Muna,muna1247,MUNA,An.CELEBIC.MUNA
Pancana,panc1247,TODANGA,An.CELEBIC.TODANGA
Pancana,panc1247,KAPONTORI,An.CELEBIC.KAPONTORI
Pancana,panc1247,WASUAMBA,An.CELEBIC.WASUAMBA
Pancana,panc1247,KAMBOA,An.CELEBIC.KAMBOA
Pancana,panc1247,LAWELE,An.CELEBIC.LAWELE
Lemolang,lemo1243,LEMOLANG,An.SOUTH_SULAWESI.LEMOLANG
Embaloh,emba1238,EMBALOH,An.SOUTH_SULAWESI.EMBALOH
Campalagian,camp1262,CAMPALAGIAN,An.SOUTH_SULAWESI.CAMPALAGIAN
Buginese,bugi1244,BUGINESE,An.SOUTH_SULAWESI.BUGINESE
Buginese,bugi1244,SOPPENG_BUGINESE,An.SOUTH_SULAWESI.SOPPENG_BUGINESE
Makasar,maka1311,MAKASAR,An.SOUTH_SULAWESI.MAKASAR
Makasar,maka1311,MAKASSARESE,An.SOUTH_SULAWESI.MAKASSARESE
Selayar,sela1260,SELAYAR,An.SOUTH_SULAWESI.SELAYAR
Coastal Konjo,coas1295,COASTAL_KONJO,An.SOUTH_SULAWESI.COASTAL_KONJO
Coastal Konjo,coas1295,KONJO,An.SOUTH_SULAWESI.KONJO
Budong-Budong,budo1241,BUDONG_BUDONG,An.SOUTH_SULAWESI.BUDONG_BUDONG
Panasuan,pana1303,PANASUAN,An.SOUTH_SULAWESI.PANASUAN
Mamuju,mamu1255,MAMUJU,An.SOUTH_SULAWESI.MAMUJU
Mandar,mand1442,MANDAR,An.SOUTH_SULAWESI.MANDAR
Kalumpang,kalu1247,TARINDING,An.SOUTH_SULAWESI.TARINDING
Mamasa,mama1276,DAMA_DAMA,An.SOUTH_SULAWESI.DAMA_DAMA
Tae',taee1237,TAE,An.SOUTH_SULAWESI.TAE
Tae',taee1237,TOALA,An.SOUTH_SULAWESI.TOALA
Toraja-Sa'dan,tora1261,SADAN,An.SOUTH_SULAWESI.SADAN
Mamasa,mama1276,PALLU,An.SOUTH_SULAWESI.PALLU
Mamasa,mama1276,TAUPE,An.SOUTH_SULAWESI.TAUPE
Bambam,bamb1270,SALU_MAKA,An.SOUTH_SULAWESI.SALU_MAKA
Bambam,bamb1270,MEHALAAN,An.SOUTH_SULAWESI.MEHALAAN
Ulumanda',ulum1237,BOTTENG,An.SOUTH_SULAWESI.BOTTENG
Bambam,bamb1270,SALU_HUHU,An.SOUTH_SULAWESI.SALU_HUHU
Bambam,bamb1270,KIHA,An.SOUTH_SULAWESI.KIHA
Bambam,bamb1270,TANETE,An.SOUTH_SULAWESI.TANETE
Bambam,bamb1270,SEPANG,An.SOUTH_SULAWESI.SEPANG
Bambam,bamb1270,SODANGAN,An.SOUTH_SULAWESI.SODANGAN
Bambam,bamb1270,RANTEPALADO,An.SOUTH_SULAWESI.RANTEPALADO
Bambam,bamb1270,SALUDENGAN,An.SOUTH_SULAWESI.SALUDENGAN
Bambam,bamb1270,TAORA,An.SOUTH_SULAWESI.TAORA
Bambam,bamb1270,MINANGNGA,An.SOUTH_SULAWESI.MINANGNGA
Bambam,bamb1270,MATANANGNGA,An.SOUTH_SULAWESI.MATANANGNGA
Aralle-Tabulahan,aral1243,MAMBI,An.SOUTH_SULAWESI.MAMBI
Ulumanda',ulum1237,KONDO,An.SOUTH_SULAWESI.KONDO
Aralle-Tabulahan,aral1243,ARALLE,An.SOUTH_SULAWESI.ARALLE
Aralle-Tabulahan,aral1243,TABULAHAN_CAMPBELL,An.SOUTH_SULAWESI.TABULAHAN_CAMPBELL
Aralle-Tabulahan,aral1243,TABULAHAN_MCKENZIE,An.SOUTH_SULAWESI.TABULAHAN_MCKENZIE
Moken,moke1242,MOKEN,An.MOKLEN.MOKEN
Tonsawang,tons1239,TONSAWANG,An.SULAWESI.TONSAWANG
Tontemboan,tont1239,TONTEMBOAN,An.SULAWESI.TONTEMBOAN
Tombulu,tomb1243,TOMBULU,An.SULAWESI.TOMBULU
Tondano,tond1251,TONDANO,An.SULAWESI.TONDANO
Tonsea,tons1240,TONSEA,An.SULAWESI.TONSEA
Palauan,pala1344,PALAUAN,An.PALAUAN.PALAUAN
Calamian Tagbanwa,cala1258,TAGBANWA_KALAMIAN,An.GREATER_CENTRAL_PHILIPPINE.TAGBANWA_KALAMIAN
Bantik,bant1286,BANTIK,An.SANGIRIC.BANTIK
Ratahan,rata1244,RATAHAN,An.SANGIRIC.RATAHAN
Talaud,tala1285,TALAUD,An.SANGIRIC.TALAUD
Sangir,sang1336,SANGIR,An.SANGIRIC.SANGIR
Sangir,sang1336,SANGIR_2,An.SANGIRIC.SANGIR_2
Sangil,sang1337,SANGIL,An.SANGIRIC.SANGIL
Sangil,sang1337,SANGIL_SARANGANI_ISLANDS,An.SANGIRIC.SANGIL_SARANGANI_ISLANDS
Pampanga,pamp1243,KAPAMPANGAN,An.CENTRAL_LUZON.KAPAMPANGAN
Hatang Kayi,remo1247,SINAUNA,An.CENTRAL_LUZON.SINAUNA
Abenlen Ayta,aben1249,AYTA_ABELLEN,An.BILIC.AYTA_ABELLEN
Botolan Sambal,boto1242,SAMBAL_BOTOLAN,An.BILIC.SAMBAL_BOTOLAN
Bolinao,boli1256,BOLIANO,An.BILIC.BOLIANO
Tinà Sambal,tina1248,SAMBAL,An.BILIC.SAMBAL
Ibatan,ibat1238,BABUYAN,An.NORTHERN_LUZON.BABUYAN
Itbayat,ivat1242,IVASAY_IVATAN,An.BATANIC.IVASAY_IVATAN
Itbayat,ivat1242,ISAMORONG_IVATAN,An.BATANIC.ISAMORONG_IVATAN
Itbayat,ivat1242,IMOROD,An.BATANIC.IMOROD
Yami,yami1254,YAMI_2,An.BATANIC.YAMI_2
Itbayat,ivat1242,IRARALAY_IVATAN,An.BATANIC.IRARALAY_IVATAN
Itbayat,ivat1242,IVATAN_BATANES_ISLANDS,An.BATANIC.IVATAN_BATANES_ISLANDS
Yami,yami1254,YAMI,An.BATANIC.YAMI
Itbayat,ivat1242,ITBAYATEN_BATANES_ISLANDS,An.BATANIC.ITBAYATEN_BATANES_ISLANDS
Arta,arta1239,ARTA,An.NORTHERN_LUZON.ARTA
Dupaninan Agta,dupa1235,DUPANINGAN_AGTA,An.NORTHERN_LUZON.DUPANINGAN_AGTA
Casiguran-Nagtipunan Agta,casi1235,CASIGURAN_NEGRITO,An.NORTHERN_LUZON.CASIGURAN_NEGRITO
Casiguran-Nagtipunan Agta,casi1235,DUMAGAT_CASIGURAN,An.NORTHERN_LUZON.DUMAGAT_CASIGURAN
Isnag,isna1241,ISNEG,An.NORTHERN_LUZON.ISNEG
Isnag,isna1241,ISNAG,An.NORTHERN_LUZON.ISNAG
Ibanag,iban1267,IBANAG,An.NORTHERN_LUZON.IBANAG
Pamplona Atta,pamp1244,ATTA_PAMPLONA,An.NORTHERN_LUZON.ATTA_PAMPLONA
Yogad,yoga1237,YOGAD,An.NORTHERN_LUZON.YOGAD
Gaddang,gadd1244,GADDANG,An.NORTHERN_LUZON.GADDANG
Central Cagayan Agta,cent2084,AGTA,An.NORTHERN_LUZON.AGTA
Itawit,itaw1240,ITAWIT,An.NORTHERN_LUZON.ITAWIT
Iloko,ilok1237,ILOKANO,An.NORTHERN_LUZON.ILOKANO
Northern Alta,nort2875,ALTA_NORTHERN,An.NORTHERN_LUZON.ALTA_NORTHERN
Southern Alta,sout2905,ALTA_SOUTHERN,An.NORTHERN_LUZON.ALTA_SOUTHERN
Ilongot,ilon1239,ILONGOT_KAKIDUGEN,An.NORTHERN_LUZON.ILONGOT_KAKIDUGEN
Pangasinan,pang1290,PANGASINAN,An.NORTHERN_LUZON.PANGASINAN
Ibaloi,ibal1244,IBALOI,An.NORTHERN_LUZON.IBALOI
Ibaloi,ibal1244,INIBALOI,An.NORTHERN_LUZON.INIBALOI
Keley-i Kallahan,kele1259,KALLAHAN_KELEYQIQ_IFUGAO,An.NORTHERN_LUZON.KALLAHAN_KELEYQIQ_IFUGAO
Keley-i Kallahan,kele1259,IFUGAO_BAYNINAN,An.NORTHERN_LUZON.IFUGAO_BAYNINAN
Ahin-Kayapa Kalanguya,ahin1234,KALLAHAN_KAYAPA_PROPER,An.NORTHERN_LUZON.KALLAHAN_KAYAPA_PROPER
Balangao,bala1310,BALANGAW,An.NORTHERN_LUZON.BALANGAW
Amganad Ifugao,amga1235,IFUGAO_AMGANAD,An.NORTHERN_LUZON.IFUGAO_AMGANAD
Batad Ifugao,bata1298,IFUGAO_BATAD,An.NORTHERN_LUZON.IFUGAO_BATAD
Kankanaey,kank1243,KANKANAEY,An.NORTHERN_LUZON.KANKANAEY
Northern Kankanay,nort2877,KANKANAY_NORTHERN,An.NORTHERN_LUZON.KANKANAY_NORTHERN
Central Bontoc,cent2292,CENTRAL_BONTOC,An.NORTHERN_LUZON.CENTRAL_BONTOC
Central Bontoc,cent2292,BONTOC_GUINAANG,An.NORTHERN_LUZON.BONTOC_GUINAANG
Eastern Bontok,east2881,FINALLIG,An.NORTHERN_LUZON.FINALLIG
Binongan Itneg,bino1237,ITNEG_BINONGAN,An.NORTHERN_LUZON.ITNEG_BINONGAN
Limos Kalinga,limo1248,KALINGA_LIMOS,An.NORTHERN_LUZON.KALINGA_LIMOS
Limos Kalinga,limo1248,LIMOS_KALINGA,An.NORTHERN_LUZON.LIMOS_KALINGA
Lubuagan Kalinga,lubu1243,KALINGA_GUINAANG,An.NORTHERN_LUZON.KALINGA_GUINAANG
Bangad,sout2908,SOUTHERN_KALINGA,An.NORTHERN_LUZON.SOUTHERN_KALINGA
Tanudan Kalinga,lowe1412,MINANGALI_LOWER_TANUDAN_KALINGA,An.NORTHERN_LUZON.MINANGALI_LOWER_TANUDAN_KALINGA
Mongondow,mong1342,MONGONDOW,An.GREATER_CENTRAL_PHILIPPINE.MONGONDOW
Buol,buol1237,BUOL,An.GREATER_CENTRAL_PHILIPPINE.BUOL
Gorontalo,goro1259,GORONTALO,An.GREATER_CENTRAL_PHILIPPINE.GORONTALO
Kaidipang,kaid1239,KAIDIPANG,An.GREATER_CENTRAL_PHILIPPINE.KAIDIPANG
Umiray Dumaget Agta,umir1236,UMIRAY_DUMAGET_AGTA,An.GREATER_CENTRAL_PHILIPPINE.UMIRAY_DUMAGET_AGTA
Hanunoo,hanu1241,HANUNOO,An.GREATER_CENTRAL_PHILIPPINE.HANUNOO
Tagbanwa,tagb1258,TAGBANUA_ABORLAN,An.GREATER_CENTRAL_PHILIPPINE.TAGBANUA_ABORLAN
Tagbanwa,tagb1258,TAGBANWA_ABORLAN,An.GREATER_CENTRAL_PHILIPPINE.TAGBANWA_ABORLAN
Batak,bata1301,BATAK,An.GREATER_CENTRAL_PHILIPPINE.BATAK
Batak,bata1301,BATAK_PALAWAN,An.GREATER_CENTRAL_PHILIPPINE.BATAK_PALAWAN
Central Tagbanwa,cent2090,CENTRAL_TAGBANWA,An.GREATER_CENTRAL_PHILIPPINE.CENTRAL_TAGBANWA
Molbog,molb1237,MOLBOG,An.GREATER_CENTRAL_PHILIPPINE.MOLBOG
Molbog,molb1237,MOLBOG_2,An.GREATER_CENTRAL_PHILIPPINE.MOLBOG_2
Central Palawano,cent2091,QUEZON_PALAWAN,An.GREATER_CENTRAL_PHILIPPINE.QUEZON_PALAWAN
Central Palawano,cent2091,TAUT_BATU,An.GREATER_CENTRAL_PHILIPPINE.TAUT_BATU
Southwest Palawano,sout2916,SOUTHWEST_PALAWANO,An.GREATER_CENTRAL_PHILIPPINE.SOUTHWEST_PALAWANO
Brooke's Point Palawano,broo1239,PALAWANO_BATAK,An.GREATER_CENTRAL_PHILIPPINE.PALAWANO_BATAK
Brooke's Point Palawano,broo1239,BROOKES_POINT_PALAWAN,An.GREATER_CENTRAL_PHILIPPINE.BROOKES_POINT_PALAWAN
Southwest Palawano,sout2916,CANIPAAN_PALAWAN,An.GREATER_CENTRAL_PHILIPPINE.CANIPAAN_PALAWAN
Sabah Iranun,saba1284,IRANUN,An.GREATER_CENTRAL_PHILIPPINE.IRANUN
Maranao,mara1404,MARANAO,An.GREATER_CENTRAL_PHILIPPINE.MARANAO
Maguindanao,magu1243,MAGUINDANAO,An.GREATER_CENTRAL_PHILIPPINE.MAGUINDANAO
Maguindanao,magu1243,MORO_MAGINDANAU,An.GREATER_CENTRAL_PHILIPPINE.MORO_MAGINDANAU
Kagayanen,kaga1256,KAGAYANEN,An.GREATER_CENTRAL_PHILIPPINE.KAGAYANEN
Talaandig-Binukid,binu1244,BINUKID,An.GREATER_CENTRAL_PHILIPPINE.BINUKID
Tagabawa,taga1272,TAGABAWA,An.GREATER_CENTRAL_PHILIPPINE.TAGABAWA
Cotabato Manobo,cota1241,MANOBO_KALAMANSIG_COTABATO,An.GREATER_CENTRAL_PHILIPPINE.MANOBO_KALAMANSIG_COTABATO
Sarangani Manobo,sara1327,MANOBO_SARANGANI,An.GREATER_CENTRAL_PHILIPPINE.MANOBO_SARANGANI
Ilianen Manobo,ilia1236,MANOBO_ILIANEN,An.GREATER_CENTRAL_PHILIPPINE.MANOBO_ILIANEN
Western Bukidnon Manobo,west2555,MANOBO_WESTERN_BUKIDNON,An.GREATER_CENTRAL_PHILIPPINE.MANOBO_WESTERN_BUKIDNON
Dibabawon Manobo,diba1242,MANOBO_DIBABAWON,An.GREATER_CENTRAL_PHILIPPINE.MANOBO_DIBABAWON
Ata Manobo,atam1240,MANOBO_ATA,An.GREATER_CENTRAL_PHILIPPINE.MANOBO_ATA
Matigsalug Manobo,mati1250,MANOBO_TIGWA,An.GREATER_CENTRAL_PHILIPPINE.MANOBO_TIGWA
Western Subanon,west2557,SUBANON_SIOCON,An.GREATER_CENTRAL_PHILIPPINE.SUBANON_SIOCON
Central Subanen,cent2089,SUBANUN_SINDANGAN,An.GREATER_CENTRAL_PHILIPPINE.SUBANUN_SINDANGAN
Tagakaulu Kalagan,taga1268,KALAGAN,An.GREATER_CENTRAL_PHILIPPINE.KALAGAN
Tagakaulu Kalagan,taga1268,KALAGAN_TAGAKAOLO,An.GREATER_CENTRAL_PHILIPPINE.KALAGAN_TAGAKAOLO
Kagan Kalagan,kaga1255,KALAGAN_KAAGAN,An.GREATER_CENTRAL_PHILIPPINE.KALAGAN_KAAGAN
Kalagan,kala1388,MANDAYAN_ISLAM_PISO,An.GREATER_CENTRAL_PHILIPPINE.MANDAYAN_ISLAM_PISO
Mandaya,kara1489,MANDAYAN_CARAGA,An.GREATER_CENTRAL_PHILIPPINE.MANDAYAN_CARAGA
Mandaya,kara1489,MANDAYAN_BOSO,An.GREATER_CENTRAL_PHILIPPINE.MANDAYAN_BOSO
Mansaka,mans1262,MANSAKA,An.GREATER_CENTRAL_PHILIPPINE.MANSAKA
Mansaka,mans1262,MANSAKA_2,An.GREATER_CENTRAL_PHILIPPINE.MANSAKA_2
Camarines Norte Agta,cama1250,MANIDE,An.GREATER_CENTRAL_PHILIPPINE.MANIDE
Minamanwa,mama1275,MAMANWA,An.GREATER_CENTRAL_PHILIPPINE.MAMANWA
Tagalog,taga1270,MARINDUQUE_TAGALOG,An.GREATER_CENTRAL_PHILIPPINE.MARINDUQUE_TAGALOG
Tagalog,taga1270,TAGALOG,An.GREATER_CENTRAL_PHILIPPINE.TAGALOG
Bantoanon,bant1288,BANTON_BANTOANON,An.GREATER_CENTRAL_PHILIPPINE.BANTON_BANTOANON
Cebuano,cebu1242,CEBUANO,An.GREATER_CENTRAL_PHILIPPINE.CEBUANO
Surigaonon,suri1273,SURIGAONON,An.GREATER_CENTRAL_PHILIPPINE.SURIGAONON
Butuanon,butu1244,BUTUANON,An.GREATER_CENTRAL_PHILIPPINE.BUTUANON
Tausug,taus1251,TAUSUG,An.GREATER_CENTRAL_PHILIPPINE.TAUSUG
Cuyonon,cuyo1237,CUYONON,An.GREATER_CENTRAL_PHILIPPINE.CUYONON
Aklanon,akla1240,AKLANON,An.GREATER_CENTRAL_PHILIPPINE.AKLANON
Kinaray-a,kina1250,KINARAY_A,An.GREATER_CENTRAL_PHILIPPINE.KINARAY_A
Romblomanon,romb1245,ROMBLOMANON_1,An.GREATER_CENTRAL_PHILIPPINE.ROMBLOMANON_1
Romblomanon,romb1245,ROMBLOMANON_2,An.GREATER_CENTRAL_PHILIPPINE.ROMBLOMANON_2
Waray Sorsogon,wara1299,SOUTHERN_SORSOGON,An.GREATER_CENTRAL_PHILIPPINE.SOUTHERN_SORSOGON
Waray (Philippines),wara1300,WARAY_WARAY,An.GREATER_CENTRAL_PHILIPPINE.WARAY_WARAY
Capiznon,capi1239,CAPIZNON,An.GREATER_CENTRAL_PHILIPPINE.CAPIZNON
Hiligaynon,hili1240,HILIGAYNON,An.GREATER_CENTRAL_PHILIPPINE.HILIGAYNON
Masbatenyo,masb1238,MASBATENYO,An.GREATER_CENTRAL_PHILIPPINE.MASBATENYO
Masbate Sorsogon,masb1237,NORTHERN_SORSOGON,An.GREATER_CENTRAL_PHILIPPINE.NORTHERN_SORSOGON
Northern Catanduanes Bicolano,nort2883,NORTHERN_CATANDUANES,An.GREATER_CENTRAL_PHILIPPINE.NORTHERN_CATANDUANES
Coastal-Virac Bikol,sout2912,SOUTHERN_CATANDUANES,An.GREATER_CENTRAL_PHILIPPINE.SOUTHERN_CATANDUANES
Coastal-Naga Bikol,cent2087,LEGAZPI,An.GREATER_CENTRAL_PHILIPPINE.LEGAZPI
