entry_id,entry_name,tip_name
174,Matthew-James-Didache Movement,AA.SEMITIC.CLASSICAL_SYRIAC
230,Religion in Mesopotamia,AA.SEMITIC.AKKADIAN
284,Yolngu religion,Aus.PAMA_NYUNGAN.DJAPU
354,Priests and Scholars of Hellenistic Uruk,AA.SEMITIC.AKKADIAN
455,Lan Na Buddhism,TK.KAM_TAI.LAMPANG_THAI
577,Ganda,NC.BANTOID.LUGANDA
602,Amhara,AA.SEMITIC.AMHARIC
630,Aranda,Aus.PAMA_NYUNGAN.ALYAWARRA
667,Ainu,IE.SLAVIC.RUSSIAN
675,Chukchee,IE.SLAVIC.RUSSIAN
679,Santal,AuA.MUNDA.SANTALI
681,Sargonic Empire,AA.SEMITIC.AKKADIAN
684,Huron,Iro.NORTHERN_IROQUOIAN.WYANDOT
689,Lengua,Mas.MASCOIAN.LENGUA
728,Pentecost,An.OCEANIC.SKE
729,Kikuyu,NC.BANTOID.GIKUYU
732,Marquesans,An.OCEANIC.NORTH_MARQUESAN
739,Lakalai,An.OCEANIC.NAKANAI
745,Buka,An.OCEANIC.HALIA
763,Moriori,An.OCEANIC.MAORI
770,Thai Forest Tradition,TK.KAM_TAI.LAMPANG_THAI
834,The Plum Village Sangha of Thich Nhat Hanh,AuA.VIET_MUONG.VIETNAMESE
841,Sa skya,ST.BODIC.RANG_PAS
858,"The New Prophecy or ""Montanism""",AA.SEMITIC.CLASSICAL_SYRIAC
867,Nyingma Treasure,ST.BODIC.RANG_PAS
877,The International Network of Engaged Buddhists - INEB,TK.KAM_TAI.THAI
883,Catholics in the People's Republic of China (PRC),ST.CHINESE.MANDARIN
924,Muridiyya of Senegal,AA.SEMITIC.STANDARD_ARABIC
928,The Ghost Dance Movement and the Lakota Sioux,Sio.SIOUAN.LAKOTA
935,Nigerian Pentecostalism,NC.DEFOID.YORUBA
946,Nyingma (rnying ma),ST.BODIC.RANG_PAS
952,Ethiopian Jews,AA.SEMITIC.AMHARIC
960,Bön (Bon),ST.BODIC.RANG_PAS
961,Romanian Orthodox Church,IE.ROMANCE.ROMANIAN
966,"Naqshbandī Order, Naqshbandī Tarīqa, Naqshbandīyyah, Khwājagān,",Alt.TURKIC.TURKMEN
972,Nestorian Christianity,AA.SEMITIC.CLASSICAL_SYRIAC
980,Pure Land Buddhist Schools in Early Medieval Japan,Jap.JAPANESE.JAPANESE
994,"Monastic Communities of Lower Egypt: Nitria, Kellia, Scetis",AA.SEMITIC.CLASSICAL_SYRIAC
1136,The Fellowship of Goodness 同善社 (Tongshanshe),ST.CHINESE.MANDARIN
1196,K’iche’ (Quiché),May.MAYAN.KICHE
1199,Tiv,NC.BANTOID.TIV_1
1229,Three Self Patriotic Movement (TSPM),ST.CHINESE.MANDARIN
1231,"Shenxiao 神霄 (""Divine Empyrean"") Daoism",ST.CHINESE.MANDARIN
1234,Ashanti,NC.KWA.TWI_FANTE
1246,Shilluk,ESu.NILOTIC.SHILLUK
1248,Religion in the Old Assyrian Period,AA.SEMITIC.AKKADIAN
1289,Buginese Muslims,An.SOUTH_SULAWESI.BUGINESE
1299,Russians (of Viriatino Village),IE.SLAVIC.RUSSIAN
1303,Emar: A Hittite Vassal in Late Bronze Age Syria,AA.SEMITIC.AKKADIAN
1333,Cult of Thecla,AA.SEMITIC.CLASSICAL_SYRIAC
1344,Tibetan Nonsectarianism (ris med),ST.BODIC.RANG_PAS
1369,Astronomers in Babylon,AA.SEMITIC.AKKADIAN
1376,African Initiated Churches,NC.BANTOID.ZULU
1392,Messalians,AA.SEMITIC.CLASSICAL_SYRIAC
1412,Tenrikyo,Jap.JAPANESE.JAPANESE
1511,Sokoto,AA.WEST_CHADIC.HAUSA
1574,Household religion at Ur,AA.SEMITIC.AKKADIAN
1619,"Saint Nicholas ""Maroulenas"", Kastania, southern Greece, byzantine church",AA.SEMITIC.AKKADIAN
1621,"Saint Spyridon,Kardamyli, southern Greece, postbyzantine church",AA.SEMITIC.AKKADIAN
1677,Royal Hittite Religion,AA.SEMITIC.AKKADIAN
1869,IFA RELIGIOUS GROUP IN ILE- IFE,NC.DEFOID.YORUBA
1872,"The Holy Apostles Community, Ayetoro",NC.DEFOID.YORUBA
1897,"The Episcopal Church of Cherubim and Seraphim, Zion Pepe",NC.DEFOID.YORUBA
1908,"Buddhist Traders in the Chinese Quarter in Hakata, Japan",Jap.JAPANESE.JAPANESE
1940,"The Holy Apostles Community, Ori-Oke Iwamimo",NC.DEFOID.YORUBA
1961,"Grace Covenant Centre, Ado-Ekiti",NC.DEFOID.YORUBA
1966,Cherubim & Seraphim Movement Church (Worldwide) Ayo Ni O,NC.DEFOID.YORUBA
2000,"The Community Church of Apostles Nigeria and Oversea (COCANO), Ajegunle",NC.DEFOID.YORUBA
2006,New Life for All Nations Ministries,NC.DEFOID.YORUBA
2052,Christ Way Ministries International,NC.DEFOID.YORUBA
2054,Christ Apostolic Church,NC.DEFOID.YORUBA
2061,OYA RELIGIOUS GROUP IN OYO,NC.DEFOID.YORUBA
2126,Nasrul-lahi-li Fathi Society of Nigeria (NASFAT),NC.DEFOID.YORUBA
2146,Maruyamakyō,Jap.JAPANESE.JAPANESE
2178,Aladura Christianity in Nigeria,NC.DEFOID.YORUBA
2210,Living Faith Church Worldwide,NC.DEFOID.YORUBA
2271,The Gideons International in Ngeria,NC.DEFOID.YORUBA
2274,Ìjọ Àdìmúlà (An Institutionalised Indigenous Religious Movement in Yorubaland,NC.DEFOID.YORUBA
2284,Tarascan Religion,Tar.TARASCAN.PUREPECHA
2327,ỌBÀTÁLA RELIGIOUS GROUP AMONG THE YORUBA OF ILÉ-IFẸ̀,NC.DEFOID.YORUBA
2329,Hòa Hảo,AuA.VIET_MUONG.VIETNAMESE
2330,Evangelical Church Winning All,NC.DEFOID.YORUBA
2339,Yorùbá Traditional Religion,NC.DEFOID.YORUBA
2347,Nichiren Buddhism,Jap.JAPANESE.JAPANESE
2614,فيضة (An Overflow of Spiritual Grace),AA.WEST_CHADIC.HAUSA
173,Johannine Christianity,IE.GREEK.GREEK_ANCIENT
180,Chinese Folk Religion,ST.CHINESE.OLD_CHINESE
196,Pauline Christianity (ca. 45-60 CE),IE.GREEK.GREEK_ANCIENT
212,Warring States (China) Religion,ST.CHINESE.OLD_CHINESE
217,Roman private religion,IE.ROMANCE.LATIN
222,Late Classic Lowland Maya,May.MAYAN.CHOL_TILA
231,Roman private religion,IE.ROMANCE.CORSICAN
257,Classic Zapotec,OM.POPOLOCAN.SAN_JUAN_CHIQUIHUITLAN
381,Sikhism: Guru Nanak to Guru Arjan,IE.INDIC.PUNJABI_MAJHI
389,Iban traditional religion,An.MALAYO_SUMBAWAN.IBAN
392,Sikhism: Guru Hargobind to Guru Gobind Singh,IE.INDIC.PUNJABI_MAJHI
400,Singaporean Mega-Churches,IE.GERMANIC.ENGLISH
415,Shaiva World Renouncers,IE.INDIC.HINDI
419,The Worship of Jagannath in Puri (Odisha),IE.INDIC.ORIYA
424,Achaemenid Religion,AA.SEMITIC.ACHAEMENID_ARAMAIC
441,Worshipers of Śītalā,IE.INDIC.URDU
442,Donatism,AA.SEMITIC.PHOENICIAN
456,The Essenes,AA.SEMITIC.BIBLICAL_HEBREW
469,Won-Buddhism,Kor.KOREAN.KOREAN
476,Cham Bani,An.MALAYO_SUMBAWAN.CHAM_EASTERN
483,Northern Irish Roman Catholics,IE.GERMANIC.ENGLISH
484,Northern Irish Protestants,IE.GERMANIC.ENGLISH
485,Sámi pre-Christian religion,Ura.SAAMI.LULE_SAAMI
486,Church of Jesus Christ of Latter-day Saints (early),IE.GERMANIC.ENGLISH
490,Guglielmites,IE.ROMANCE.LATIN
492,Roman Divination,IE.ROMANCE.LATIN
525,Church of Jesus Christ of Latter-day Saints (modern),IE.GERMANIC.ENGLISH
526,Hmong Christianity,HM.HMONG_MIEN.HMONG_DAW
534,Roman Imperial Cult,IE.ROMANCE.LATIN
562,Medieval Śrīvaiṣṇavism,Dra.SOUTHERN_DRAVIDIAN.TAMIL
563,"Gaddi, a Hindu community of the Western Himalayas",IE.INDIC.HINDI
564,Tribal Christianity (and allied castes) in the Himalayas,IE.INDIC.NEPALI
565,Fellahin,AA.SEMITIC.CAIRO_ARABIC
567,Gay and Lesbian Vaishnava Association (GALVA-108),IE.GERMANIC.ENGLISH
570,Supreme Master Ching Hai World Society,IE.GERMANIC.ENGLISH
580,Nāth Sampradāya,IE.INDIC.URDU
581,Mentawai (Rereiket),An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.MENTAWAI
590,Huayan School (Early Tang),ST.CHINESE.MIDDLE_CHINESE
592,Veerashaivas,IE.INDIC.URDU
598,Masai,ESu.NILOTIC.MAASAI
604,Bambara,Man.WESTERN_MANDE.BAMBARA
608,Kurd,IE.IRANIAN.KURDISH_CENTRAL
623,Diasporic American Hinduism,IE.GERMANIC.ENGLISH
624,The Roshaniyya,IE.IRANIAN.PERSIAN
626,Barama River Carib,Car.CARIBAN.TIRIYO
629,Newar Buddhists,IE.INDIC.NEPALI
632,Local Religion at Selinous,IE.GREEK.GREEK_ANCIENT
633,Mādhva,IE.INDIC.KONKANI
645,"Meo Muslim, Mev, Mewati Muslim",IE.INDIC.URDU
649,"Worshippers at the Chidambaram Nataraja Temple, Modern Period",Dra.SOUTHERN_DRAVIDIAN.TAMIL
654,12th-13th c Cistercians,IE.ROMANCE.LATIN
655,Siriono,IE.ROMANCE.SPANISH
658,Mapuche,IE.ROMANCE.SPANISH
661,Congregation of Savigny,IE.ROMANCE.LATIN
662,Goajiro,IE.ROMANCE.SPANISH
666,Siuai,IE.GERMANIC.ENGLISH
674,Aymara,IE.ROMANCE.SPANISH
676,"The Order of the Holy Trinity for the Redemption of Captives, 1198-1500",IE.ROMANCE.LATIN
680,Gujarati Mata Worshipers,IE.INDIC.HINDI
682,Lakher,ST.KUKI_CHIN.CHIN_ZYPHE
685,Badjau,An.SAMA_BAJAW.SIBUTU_SOUTHERN_SAMA
688,Darul Uloom Deoband,IE.INDIC.KONKANI
690,Ahl-e-Sunnat wa Jamaat,IE.INDIC.KONKANI
691,Fur,Fur.FUR.FUR
694,Eyak,NDe.EYAK.EYAK
710,Hidatsa,Sio.SIOUAN.HIDATSA
711,Kwoma,Sep.MIDDLE_SEPIK.KWOMA
714,Tamil Śaiva Bhakti,Dra.SOUTHERN_DRAVIDIAN.TAMIL
719,Hinduism in Trinidad,IE.GERMANIC.ENGLISH
721,Semang,AuA.ASLIAN.MINTIL
726,Early Śramaṇas,IE.INDIC.SANSKRIT
727,Raglai,An.MALAYO_SUMBAWAN.CHRU
749,Korean shamanism,Kor.KOREAN.KOREAN
750,Mekeo,An.OCEANIC.MEKEO
755,Uyghur Islam,Alt.TURKIC.UYGHUR
759,Comanche,IE.GERMANIC.ENGLISH
766,Garo,ST.BODO_GARO.GARO
788,The Late Bronze Age City-State of Ugarit,AA.SEMITIC.UGARITIC
794,Omaha,IE.GERMANIC.ENGLISH
842,American Evangelicalism,IE.GERMANIC.ENGLISH
846,Xuanzang's Yogācāra Tradition,ST.CHINESE.MIDDLE_CHINESE
848,Sadducees,AA.SEMITIC.ACHAEMENID_ARAMAIC
849,"""Gaiwiio Religion,"" ""Longhouse Religion,"" or ""The Way of Handsome Lake"" of the Seneca Tribe",Iro.NORTHERN_IROQUOIAN.SENECA
851,Sikhism in the United States,IE.GERMANIC.ENGLISH
852,Pre-Christian Religion / Paganism in Ireland,IE.CELTIC.OLD_IRISH
854,pre-Christian Irish,IE.CELTIC.OLD_IRISH
857,Wesleyanism,IE.ROMANCE.SPANISH
859,Valentinians,AA.SEMITIC.ACHAEMENID_ARAMAIC
862,Ilm-e-Khshnoom,IE.GERMANIC.ENGLISH
863,Orphism,AA.SEMITIC.ACHAEMENID_ARAMAIC
869,Sichuan Esoteric Buddhist Cult,ST.CHINESE.MIDDLE_CHINESE
870,Postsocialist Mongolian Buddhism,Alt.MONGOLIC.MONGOLIAN
871,Spiritualism,IE.GERMANIC.ENGLISH
879,Free Methodist Church,IE.GERMANIC.ENGLISH
880,Egyptian Salafism (inluding North Africa and West Asia),AA.SEMITIC.TUNISIAN_ARABIC_MAGHRIB
882,Orphism,AA.SEMITIC.ACHAEMENID_ARAMAIC
884,Sub Saharan Africa Pentecostalism,IE.GERMANIC.ENGLISH
885,Contemporary West African Vodun,NC.KWA.FONGBE
886,Pushtimarg (The Path of Grace) in the UK and Gujarat,IE.GERMANIC.ENGLISH
887,Postsocialist Mongolian Shamanism,Alt.MONGOLIC.MONGOLIAN
891,Peruvian Mormons,IE.ROMANCE.SPANISH
892,Charismatic Renewal Movement in Christianity - Second Wave Pentecostalism,IE.GERMANIC.ENGLISH
896,Sannō Shintō,Jap.JAPANESE.JAPANESE
897,Gaengjeongyudo,Kor.KOREAN.KOREAN
900,Pharisees,AA.SEMITIC.ACHAEMENID_ARAMAIC
906,The Church of England,IE.GERMANIC.ENGLISH
910,Christian Base Community movement,IE.ROMANCE.PORTUGUESE
914,Tariqa Shadhiliyya,IE.ROMANCE.SPANISH
915,Protestantism welcoming People with Disabilities,IE.GERMANIC.ENGLISH
919,Catholicism in contemporary Croatia,IE.SLAVIC.CROATIAN
921,Bhils,IE.INDIC.HINDI
927,Zealots,AA.SEMITIC.ACHAEMENID_ARAMAIC
931,The Society of Jesus (Jesuits) in Britain,IE.GERMANIC.ENGLISH
933,Marcionites,AA.SEMITIC.ACHAEMENID_ARAMAIC
934,Mongolian Buddhism during the Revolutionary Period,Alt.MONGOLIC.MONGOLIAN
938,Ugarit,AA.SEMITIC.UGARITIC
940,Julio-Claudian Imperial Cult,IE.ROMANCE.LATIN
942,African Methodist Episcopal Church,IE.ROMANCE.PORTUGUESE
943,Moravian Missionaries in Nunatsiavut,EA.ESKIMO.INUKTITUT_EASTERN_CANADIAN
944,Mohyla's Ukrainian Church,IE.SLAVIC.UKRAINIAN
949,The Church of All Worlds,IE.GERMANIC.ENGLISH
950,The Religious Society of Friends,IE.ROMANCE.SPANISH
953,Sachchai,IE.INDIC.URDU
958,Society of Jesus,IE.ROMANCE.LATIN
962,Amdo Gelukpa,ST.BODIC.MAQU_TIBETAN
963,The Knights Templar,IE.ROMANCE.LATIN
967,Unitarian Universalism,IE.GERMANIC.ENGLISH
969,Adi Dravida/Valluva Sakya Buddhism,Dra.SOUTHERN_DRAVIDIAN.TAMIL
971,Gāṇapatya,IE.INDIC.SANSKRIT
973,The Sarna religion of the Oraons of Jharkhand,IE.INDIC.SADRI
975,Neo-Charismatic Movement - Third Wave Charismatic Movement,IE.GERMANIC.ENGLISH
976,Mising Community,IE.INDIC.ASSAMESE
978,Indonesian Catholicism,IE.ROMANCE.LATIN
982,The Samaritans (Persian to early Roman periods),IE.GREEK.GREEK_ANCIENT
983,Tibetan and Himalayan Mundane and Landscape Cults,ST.BODIC.KYIRONG
984,Calvinism (Early/Reformation),IE.ROMANCE.FRENCH
985,The Victorines,IE.ROMANCE.LATIN
986,Theurgy,IE.ROMANCE.LATIN
987,"Parsis, Zoroastrians of India",IE.INDIC.GUJARATI
988,Churches of Christ- United States,IE.GERMANIC.ENGLISH
989,Opus Dei,IE.ROMANCE.FRENCH
991,Beat Buddhism,IE.GERMANIC.ENGLISH
993,Pontifex Maximus and Pontifices (Pontifical College),IE.ROMANCE.LATIN
997,Ancient Egypt - Early Dynastic Period,AA.EGYPTIAN_COPTIC.MIDDLE_EGYPTIAN
1004,Religion in Roman Ostia,AA.SEMITIC.BIBLICAL_HEBREW
1006,Ancient Egypt - Old Kingdom,AA.EGYPTIAN_COPTIC.MIDDLE_EGYPTIAN
1010,Pythagoreanism,IE.ROMANCE.LATIN
