entry_id,entry_name,entrytag_name,entrytag_used,glottolog_name,glottolog_id,asjp_id,jaeger_id,glottocode_cands,resolution_status,n_candidates,source,coder_v1,confidence_v1,tip_coder,tip_assigned,tip_confidence,tip_comment
173,Johannine Christianity,Turkic,,Ionic-Attic Ancient Greek,anci1242,GREEK_ANCIENT,IE.GREEK.GREEK_ANCIENT,,resolved_unique,1,manual_B,Willis Monroe,,,,,
174,Matthew-James-Didache Movement,Classical Syriac,Classical Syriac,Classical Syriac,clas1252,"CLASSICAL_SYRIAC, SYRIAC, SYRIAC_2","AA.SEMITIC.CLASSICAL_SYRIAC, AA.SEMITIC.SYRIAC, AA.SEMITIC.SYRIAC_2",clas1252,resolved_multiple,3,DRH,,,,,,
180,Chinese Folk Religion,Old Chinese,Old Chinese,Old Chinese,oldc1244,OLD_CHINESE,ST.CHINESE.OLD_CHINESE,oldc1244,resolved_unique,1,DRH,,,,,,
196,Pauline Christianity (ca. 45-60 CE),Ottoman Turkish,Ionic-Attic Ancient Greek,Ionic-Attic Ancient Greek,anci1242,GREEK_ANCIENT,IE.GREEK.GREEK_ANCIENT,anci1242,resolved_unique,1,DRH,,,,,,
212,Warring States (China) Religion,Shanggu Hanyu,Old Chinese,Old Chinese,oldc1244,OLD_CHINESE,ST.CHINESE.OLD_CHINESE,oldc1244,resolved_unique,1,DRH,,,,,,
217,Roman private religion,,Latin,Latin,lati1261,LATIN,IE.ROMANCE.LATIN,lati1261,resolved_unique,1,manual_A,Matthew Hamm,,,,,
222,Late Classic Lowland Maya,Chol-Chontal,,Chol,chol1282,CHOL_TILA,May.MAYAN.CHOL_TILA,,resolved_unique,1,manual_B,Diana Moreiras,poor,,,,
230,Religion in Mesopotamia,Akkadian,Akkadian,Akkadian,akka1240,"AKKADIAN, AKKADIAN_2","AA.SEMITIC.AKKADIAN, AA.SEMITIC.AKKADIAN_2",akka1240,resolved_multiple,2,DRH,,,,,,
231,Roman private religion,Corsican,Corsican,Corsican,cors1241,CORSICAN,IE.ROMANCE.CORSICAN,cors1241,resolved_unique,1,DRH,,,,,,
257,Classic Zapotec,Zapotecan,,Chiquihuitlán Mazatec,chiq1250,SAN_JUAN_CHIQUIHUITLAN,OM.POPOLOCAN.SAN_JUAN_CHIQUIHUITLAN,,resolved_unique,1,manual_B,Diana Moreiras,poor,,,,
284,Yolngu religion,Wubulkarra,Nuclear Dhuwal,Nuclear Dhuwal,nucl1333,"DHUWAL, DJAPU","Aus.PAMA_NYUNGAN.DHUWAL, Aus.PAMA_NYUNGAN.DJAPU",nucl1333,resolved_multiple,2,DRH,,,,,,
354,Priests and Scholars of Hellenistic Uruk,Late Babylonian,Akkadian,Akkadian,akka1240,"AKKADIAN, AKKADIAN_2","AA.SEMITIC.AKKADIAN, AA.SEMITIC.AKKADIAN_2",akka1240,resolved_multiple,2,DRH,,,,,,
381,Sikhism: Guru Nanak to Guru Arjan,Eastern Panjabi,Eastern Panjabi,Eastern Panjabi,panj1256,PUNJABI_MAJHI,IE.INDIC.PUNJABI_MAJHI,panj1256,resolved_unique,1,DRH,,,,,,
389,Iban traditional religion,Iban,Iban,Iban,iban1264,IBAN,An.MALAYO_SUMBAWAN.IBAN,iban1264,resolved_unique,1,DRH,,,,,,
392,Sikhism: Guru Hargobind to Guru Gobind Singh,Eastern Panjabi,Eastern Panjabi,Eastern Panjabi,panj1256,PUNJABI_MAJHI,IE.INDIC.PUNJABI_MAJHI,panj1256,resolved_unique,1,DRH,,,,,,
400,Singaporean Mega-Churches,Singlish,English,English,stan1293,ENGLISH,IE.GERMANIC.ENGLISH,stan1293,resolved_unique,1,DRH,,,,,,
415,Shaiva World Renouncers,Hindi,Hindi,Hindi,hind1269,HINDI,IE.INDIC.HINDI,hind1269,resolved_unique,1,DRH,,,,,,
419,The Worship of Jagannath in Puri (Odisha),Odia,Odia,Odia,oriy1255,ORIYA,IE.INDIC.ORIYA,oriy1255,resolved_unique,1,DRH,,,,,,
422,Demeter Cult,Attic,Attic,Attic,atti1240,,,atti1240,glottocode_no_tree_tip,0,DRH,,,,,,
424,Achaemenid Religion,Jewish Babylonian Aramaic (ca. 200-1200 CE),Jewish Babylonian Aramaic (ca. 200-1200 CE),Jewish Babylonian Aramaic (ca. 200-1200 CE),jewi1240,ACHAEMENID_ARAMAIC,AA.SEMITIC.ACHAEMENID_ARAMAIC,jewi1240,resolved_unique,1,DRH,,,,,,
