tip_name,asjp_id,glottocode,glottolog_name
Tor.MAIMAI.HEYO_2,HEYO_2,heyo1240,Heyo
Tor.MAIMAI.HEYO,HEYO,heyo1240,Heyo
Tor.WAPEI_PALEI.WIAKI,WIAKI,mini1253,Minidien
Tor.KOMBIO_ARAPESH.WAM,WAM,womp1235,Wom (Papua New Guinea)
Tor.KOMBIO_ARAPESH.WOM,WOM,,
Tor.WAPEI_PALEI.URAT,URAT,,
Tor.KOMBIO_ARAPESH.ARAPESH,ARAPESH,buki1249,Bukiyip
Tor.KOMBIO_ARAPESH.ABU_ARAPESH,ABU_ARAPESH,abua1245,Abu' Arapesh
Tor.KOMBIO_ARAPESH.BUKIYIP,BUKIYIP,buki1249,Bukiyip
Tor.KOMBIO_ARAPESH.YAMBES,YAMBES,,
Tor.KOMBIO_ARAPESH.YAMPES,YAMPES,yamb1254,Yambes
Tor.KOMBIO_ARAPESH.KOMBIO,KOMBIO,komb1272,Kombio
Tor.KOMBIO_ARAPESH.EITIEP,EITIEP,eiti1240,Eitiep
Tor.KOMBIO_ARAPESH.ARO,ARO,torr1259,Aro-Mukweym-Orok
Tor.KOMBIO_ARAPESH.TORRICELLI,TORRICELLI,torr1259,Aro-Mukweym-Orok
Tor.URIM.KUKWO,KUKWO,urim1252,Urim
Tor.WAPEI_PALEI.WALMAN_CHINAPELI,WALMAN_CHINAPELI,valm1241,Walman
Tor.WAPEI_PALEI.WALMAN,WALMAN,valm1241,Walman
Tor.WAPEI_PALEI.AGI_AGEI,AGI_AGEI,agii1245,Agi
Tor.WAPEI_PALEI.AGI_YOLPA,AGI_YOLPA,agii1245,Agi
Tor.WAPEI_PALEI.YERI,YERI,yapu1240,Yeri
Tor.WAPEI_PALEI.NABI,NABI,nabi1239,Nabi-Metan
Tor.WAPEI_PALEI.WANAP,WANAP,wana1268,Wanap
Tor.WAPEI_PALEI.AIKU,AIKU,yang1296,Yangum Mon
Tor.WAPEI_PALEI.YANGUM_DEY,YANGUM_DEY,yang1297,Yangum Dey
Tor.WAPEI_PALEI.AMOL,AMOL,,
Tor.WAPEI_PALEI.BRAGAT,BRAGAT,brag1240,Bragat
Tor.WAPEI_PALEI.SRENGE,SRENGE,aruo1240,Srenge
Aus.TIWIAN.TIWI,TIWI,tiwi1244,Tiwi
Krd.RASHAD.ORIG,ORIG,tago1246,Tagoi
Krd.RASHAD.TAGOI,TAGOI,,
BT.BAINING.QAQET,QAQET,qaqe1238,Qaqet
BT.BAINING.MALI,MALI,mali1284,Mali
BT.BAINING.URA_PNG,URA_PNG,urap1240,Ura (Papua New Guinea)
TNG.DEM.DEM_2,DEM_2,demm1245,Dem
Yua.YUAT.KYAIMBARANG,KYAIMBARANG,kyen1243,Kyenele
Yua.YUAT.MIYAK,MIYAK,kyen1243,Kyenele
BT.TAULIL.TAULIL,TAULIL,taul1251,Taulil
Pen.TSIMSHIANIC.COAST_TSIMSHIAN,COAST_TSIMSHIAN,nucl1649,Southern-Coastal Tsimshian
Pen.TSIMSHIANIC.GITXSAN,GITXSAN,gitx1241,Gitxsan
Aus.GUNWINYGIC.KUNKARAKANY,KUNKARAKANY,kung1259,Kungarakany
Aus.MURRINH_PATHA.MURRINH_PATHA_1,MURRINH_PATHA_1,murr1258,Murriny Patha
Aus.MURRINH_PATHA.MURRINH_PATHA_2,MURRINH_PATHA_2,murr1258,Murriny Patha
Aus.SOUTHERN_DALY.NGANGIKURRUNGGURR,NGANGIKURRUNGGURR,nang1259,Nangikurrunggurr
Aus.SOUTHERN_DALY.NGENGOMERI,NGENGOMERI,nang1259,Nangikurrunggurr
Aus.ANSON_BAY.WADJIGINY,WADJIGINY,,
Aus.ANSON_BAY.PUNGUPUNGU,PUNGUPUNGU,wadj1254,Wadjiginy
Aus.ANSON_BAY.WADYGINY,WADYGINY,,
Aus.NORTHERN_DALY.MULLUKMULLUK,MULLUKMULLUK,mull1237,Mullukmulluk
Aus.NORTHERN_DALY.TYARAITY,TYARAITY,tyar1236,Tyaraity
Aus.EASTERN_DALY.MATNGALA,MATNGALA,madn1237,Madngele
Aus.EASTERN_DALY.KAMOR,KAMOR,kamu1258,Kamu
Aus.EASTERN_DALY.YUNGGOR,YUNGGOR,madn1237,Madngele
Aus.WESTERN_DALY.MARANUNGGU,MARANUNGGU,mara1386,Maranunggu
Aus.WESTERN_DALY.AMI,AMI,amii1238,Ami
Aus.WESTERN_DALY.MANDA,MANDA,mand1416,Manda (Australia)
Aus.WESTERN_DALY.MARAMANADJI,MARAMANADJI,mari1417,Marimanindji
Aus.WESTERN_DALY.MARENGAR,MARENGAR,mari1419,Maringarr
Aus.WESTERN_DALY.MARIDAN,MARIDAN,mari1422,Maridan
Aus.WESTERN_DALY.MARITHIEL,MARITHIEL,mari1424,Marithiel
Aus.WESTERN_DALY.MARITYABEN,MARITYABEN,mari1421,Maridjabin
Aus.WESTERN_DALY.MARRIAMMU,MARRIAMMU,marr1256,Marriammu
Aus.GIIMBIYU.MANGERR,MANGERR,mang1382,Mangerr
Aus.GIIMBIYU.ERRE,ERRE,erre1238,Erre
Aus.GIIMBIYU.URNINGANGG,URNINGANGG,urni1239,Urningangg
Aus.IWAIDJAN.MARGU,MARGU,marg1251,Margu
Aus.IWAIDJAN.MAWNG,MAWNG,maun1240,Mawng
Aus.IWAIDJAN.AMURDAK,AMURDAK,amar1271,Amurdak
Aus.IWAIDJAN.IWAIDJA,IWAIDJA,iwai1244,Iwaidja
Aus.GAAGUDJU.GAAGUDJU,GAAGUDJU,gaga1251,Gaagudju
Aus.TANGKIC.GANGULIDA,GANGULIDA,gang1267,Ganggalida
Aus.TANGKIC.GANGGALIDA,GANGGALIDA,gang1267,Ganggalida
Aus.TANGKIC.KAYARDILD,KAYARDILD,kaya1319,Kayardild
Aus.WORORAN.GUNIN_KWINI,GUNIN_KWINI,kwin1241,Kwini
Aus.WORORAN.WUNAMBAL,WUNAMBAL,wuna1249,Wunambal
Aus.WORORAN.NGARINYIN,NGARINYIN,ngar1284,Ngarinyin
Aus.WORORAN.UNGGUMI,UNGGUMI,ungg1243,Unggumi
Aus.BUNUBAN.BUNABA,BUNABA,buna1275,Bunaba
Aus.BUNUBAN.GOONIYANDI,GOONIYANDI,goon1238,Gooniyandi
Aus.DJERAGAN.KITJA,KITJA,kitj1240,Kitja
Aus.DJERAGAN.MIRIWUNG,MIRIWUNG,miri1266,Miriwung
Aus.MANGARRAYI.MANGARAYI,MANGARAYI,mang1381,Mangarrayi
Aus.MARAN.MARA,MARA,mara1385,Marra
Aus.MARAN.ALAWA,ALAWA,alaw1244,Alawa
Aus.MARAN.WANDARANG,WANDARANG,wand1263,Wandarang
Aus.NYULNYULAN.BARDI,BARDI,bard1255,Bardi
Aus.NYULNYULAN.YAWURU,YAWURU,yawu1244,Yawuru
Aus.UMBUGARLA_NGUMBUR.UMBUGARLA,UMBUGARLA,umbu1235,Umbugarla
Aus.LARAGIYAN.LARRAKIA,LARRAKIA,lara1258,Laragia
Aus.LIMILNGAN.LIMILNGAN,LIMILNGAN,nucl1327,Limilngan
