entry_id,entry_name,deepest_tag
422,Demeter Cult,Attic
470,Archaic Spartan Cults,Doric
520,Cham Ahiér,Haroi
607,Mohism,Literary Chinese
752,Haroi,Haroi
850,Pre-Christian Religion / Paganism in Gaul,Cisalpine Gaulish
941,Chan Buddhists in early Qing period,Classical-Middle-Modern Sinitic
948,Christianity in Ephesus,Attic
957,Spartan Religion,Doric
974,"Greek Chalcedonian Christians, Nicaea",Medieval Greek
1038,Sino-Muslims in Qing China,Classical-Middle-Modern Sinitic
1140,Early Medieval Confucianism,Classical-Middle-Modern Sinitic
1162,Lingbao dafa,Classical-Middle-Modern Sinitic
1291,Mañjuśrī Devotionalism,Classical-Middle-Modern Sinitic
1396,Ptolemaic Egypt - Egyptian Religion,Koineic Greek
1400,The Buddhist Nuns of 4th - 6th century China,Literary Chinese
1409,Formative Olmec,Mixe-Zoque
1415,Anomeans,Medieval Greek
1522,Tijaniyya Tariqa الطريقة التجانية,Arabic
1555,Al-Ahbash الأحباش,Arabic
1654,Le Parti du Mouvement de La Nahda حزب حركة النهضة,Arabic
1734,Cupisnique Culture Religion,Unknown
1820,"Cherubim and Seraphim Church Unification, Campus Fellowship",Yoruba; English
1829,Cherubim and Seraphim Unification Church of Nigeria (C&SUCN),Yoruba; English
1835,"The Cherubim and Seraphim Church of Zion, Ugbonla",Yoruba; English
1938,Bahai religion,Iranian 
1972,Shepherding Movement,Classical Indo-European
1983,Early Byzantine Asceticism,Greek
1985,Christianity in Antioch. From the Apostolic Era to the Islamic conquest,Arabic
1989,Iron Age Celtic Spain and Portugal (Celtiberia),Indo-European
1993,Ancient Boeotians,Greek
2009,Ancient Arcadians,Greek
2010,Bektashi Tarika,Greek
2016,الدولة الفاطمية Fatimid Dynasty,Arabic
2023,الدولة الزيرية Zirid Dynasty,Arabic
2038,"Cathars, Catharism, Albigenses, Albigensians, Cathari, Catharistae, ""Pure Christians""",Unknown
2048,الدولة الرستمية Rustamid Dynasty,Arabic
2051,Tibeto-Vietnamese Đạo Mẫu,Vietic
2069,L'ordre Soufi Qasimite Hadfite الطريقة الصوفية القاسميّة الهادفية,Arabic
2074,"Revolutionary Mahdism and Resistance to Colonial Rule in the Sokoto Caliphate, 1905-1906",Arabic
2084,MAITATSINE: NIGERIA'S BLOODY RELIGIOUS TERRORIST MOVEMENT,Arabic
2089,L'ordre Soufit karkariya en Tunisie الطريقة الكركرية في تونس,Arabic
2104,الطريقة التجانية في تونس ق18-ق19 ATARIKA TJENIA FI TOUNES  XVIII-XIXème siècle,Arabic
2111,Tsinburbura Traditional Religion,Afro-Asiatic
2114,Tijaniyyah Sufi Movement in North-Western Nigeria,Arabic
2116,Qadiriyyah Movement in the Sokoto Caliphate.,Arabic
2122,Jama'at Izalat al-Bid'ah wa Iqamat al-Sunnah (JIBWIS),Arabic
2141,(Ahl al-Sunnah Group for Preaching and Jihad)جماعة أهل السنة للدعوة والجهاد,Arabic
2147,الدولة الحفصية Hafsid Dynasty,Arabic
2160,Manichaeans,Greek
2214,Tiwanaku Religion,Aymaran
2233,The Way of Former Heaven (Xiantiandao 先天道),Classical-Middle-Modern Sinitic
2238,XX ــــــــ    ـق  XVIII   الطريقة التجانية في الجزائر :ق,Arabic
2240,"Inka and non-Inka groups in Cusco, Peru",Cuscan Quechua
2244,"Catholicism in the Latin Empire, Catholicism in the Eastern Roman Empire (Byzantium), the Latin Patriarchate of Constantinople",Greek
2245,صقلية الإسلامية Islamic Sicily,Arabic
2246,المذهب الحنفي بالبلاد التونسية The Hanafi school in Tunisia,Arabic
2247,الفتح العربي الإسلامي لشمال إفريقيا The Arab-Islamic Conquest of North Africa,Arabic
2248,الدولة المرادية في تونس The Muradid Dynasty in Tunisia,Arabic
2256,الطريقة الرحمانية في الجزائر  ق18-ق20,Arabic
2273,Yuan divination schools,Sino-Tibetan
2278,الطريقة القادرية البودشيشية في المغرب الأقصى,Arabic
2279,The Ndau people of Chimanimani area in Zimbabwe,Afro-Asiatic
2283,Ge Hong 葛洪 and Outer Alchemy 外丹,Classical-Middle-Modern Sinitic
2286,Religious Practices of the Valdivians during Ecuador's Early Formative Period,Unknown
2290,الطريقة القادرية في مصر ق13م-ق21م,Arabic
2299,الحشاشين  ق11-ق13   =   Assassins   XI-XIII,Arabic
2301,Kaloutsiani Mosque,Arabic
2308,الفتح العربي الإسلامي للأندلس The Arab-Islamic Conquest of the Iberian Peninsula,Arabic
2309,الدولة الأموية بالأندلس The Umayyad Dynasty in the Iberian Peninsula,Arabic
2320,Sanjiejiao (三階教),Sinitic
2321,Falungong 法輪功 (Falun Gong) / Falun Dafa 法輪大法,Classical-Middle-Modern Sinitic
2322,الدّولة الأمويّة في المشرق  بين662 م و750م (The Umayyad State in the Mashriq from 662 to 750),Arabic
2324,"Justice and Development Party (PJD), Morocco",Arabic
2325,"Outer alchemy (外丹, waidan)",Sinitic
2328,Church of Almighty God (Quannengshen jiaohui 全能神教會) / Eastern Lightning (Dongfang shandian 東方閃電),Classical-Middle-Modern Sinitic
2331,الدولة العباسيبّة في المشرق  من 750 م الى 1517 م (The Abbasid State in the Mashriq from 750 to 1517),Arabic
2341,The Totonacapan Culture-Religion,Totonac
2344,Sican Culture religion,Unknown
