entry_id,entry_name,entrytag_name,entrytag_level,entrytag_path,drh_link,data_source,reason,ID,Glottocode
173,Johannine Christianity,Turkic,2,Language[1747]->Turkic[1876],https://religiondatabase.org/browse/173,Database of Religious History (DRH) [default],merge,,
177,Jesus movement,Koineic Greek,7,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027]->Greek[5341]->East Greek[29393]->Koineic Greek[30702],https://religiondatabase.org/browse/177,Database of Religious History (DRH) [default],merge,,
198,Religion in Attica (600-300BCE),Attic,8,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027]->Greek[5341]->East Greek[29393]->Ancient Greek[30700]->Attic[32457],https://religiondatabase.org/browse/198,Database of Religious History (DRH) [default],merge,,
209,Ancient Egypt,Egyptian (Ancient),4,Language[1747]->Afro-Asiatic[1977]->Egyptian[3238]->Egyptian (Ancient)[4435],https://religiondatabase.org/browse/209,Database of Religious History (DRH) [default],merge,,
211,Amarna Religion,Egyptian (Ancient),4,Language[1747]->Afro-Asiatic[1977]->Egyptian[3238]->Egyptian (Ancient)[4435],https://religiondatabase.org/browse/211,Database of Religious History (DRH) [default],merge,,
222,Late Classic Lowland Maya,Chol-Chontal,7,Language[1747]->Mayan[1870]->Core Mayan[2397]->Western Mayan[3800]->Cholan-Tzeltalan[5170]->Cholan[6561]->Chol-Chontal[8145],https://religiondatabase.org/browse/222,Database of Religious History (DRH) [default],merge,,
257,Classic Zapotec,Zapotecan,5,Language[1747]->Otomanguean[1801]->Eastern Otomanguean[2136]->Popoloca-Zapotecan[3462]->Zapotecan[4730],https://religiondatabase.org/browse/257,Database of Religious History (DRH) [default],merge,,
422,Demeter Cult,Attic,8,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027]->Greek[5341]->East Greek[29393]->Ancient Greek[30700]->Attic[32457],https://religiondatabase.org/browse/422,Database of Religious History (DRH) [default],merge,,
442,Donatism,Neo-Punic,11,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Canaanite[8597]->Ugarito-Phoenician[9969]->Phoenician-Punic[11124]->Punic[12052]->Neo-Punic[37934],https://religiondatabase.org/browse/442,Database of Religious History (DRH) [default],merge,,
470,Archaic Spartan Cults,Doric,8,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027]->Greek[5341]->East Greek[29393]->Ancient Greek[30700]->Doric[32454],https://religiondatabase.org/browse/470,Database of Religious History (DRH) [default],merge,,
