entry_id,entry_name,entrytag_name,entrytag_level,entrytag_path,drh_link,data_source,reason,ID,Glottocode
784,Upper Egypt: Old Kingdom,Old Egyptian,5,Language[1747]->Afro-Asiatic[1977]->Egyptian[3238]->Egyptian (Ancient)[4435]->Old Egyptian[28671],https://religiondatabase.org/browse/784,Database of Religious History (DRH) [default],merge,,
785,Upper Egypt: First Intermediate Period,Old Egyptian,5,Language[1747]->Afro-Asiatic[1977]->Egyptian[3238]->Egyptian (Ancient)[4435]->Old Egyptian[28671],https://religiondatabase.org/browse/785,Database of Religious History (DRH) [default],merge,,
786,Upper Egypt: Middle Kingdom,Middle Egyptian,5,Language[1747]->Afro-Asiatic[1977]->Egyptian[3238]->Egyptian (Ancient)[4435]->Middle Egyptian[28669],https://religiondatabase.org/browse/786,Database of Religious History (DRH) [default],merge,,
787,Upper Egypt: Second Intermediate Period,Middle Egyptian,5,Language[1747]->Afro-Asiatic[1977]->Egyptian[3238]->Egyptian (Ancient)[4435]->Middle Egyptian[28669],https://religiondatabase.org/browse/787,Database of Religious History (DRH) [default],merge,,
790,Upper Egypt: New Kingdom,Late Egyptian,5,Language[1747]->Afro-Asiatic[1977]->Egyptian[3238]->Egyptian (Ancient)[4435]->Late Egyptian[28670],https://religiondatabase.org/browse/790,Database of Religious History (DRH) [default],merge,,
791,Upper Egypt: Third Intermediate Period,Late Egyptian,5,Language[1747]->Afro-Asiatic[1977]->Egyptian[3238]->Egyptian (Ancient)[4435]->Late Egyptian[28670],https://religiondatabase.org/browse/791,Database of Religious History (DRH) [default],merge,,
792,Upper Egypt: Late Period,Demotic Egyptian,5,Language[1747]->Afro-Asiatic[1977]->Egyptian[3238]->Egyptian (Ancient)[4435]->Demotic Egyptian[28673],https://religiondatabase.org/browse/792,Database of Religious History (DRH) [default],merge,,
855,Middle-Class Migrant Muslims in the UAE,Arabic,7,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Arabian[7095]->Arabic[8595],https://religiondatabase.org/browse/855,Database of Religious History (DRH) [default],merge,,
870,Postsocialist Mongolian Buddhism,Mongolian,6,Language[1747]->Mongolic-Khitan[1749]->Mongolic[1996]->Eastern Mongolic[3311]->Khalkha-Buriat[4566]->Mongolian[5853],https://religiondatabase.org/browse/870,Database of Religious History (DRH) [default],merge,,
887,Postsocialist Mongolian Shamanism,Mongolian,6,Language[1747]->Mongolic-Khitan[1749]->Mongolic[1996]->Eastern Mongolic[3311]->Khalkha-Buriat[4566]->Mongolian[5853],https://religiondatabase.org/browse/887,Database of Religious History (DRH) [default],merge,,
896,Sannō Shintō,Old Japanese,4,Language[1747]->Japonic[1889]->Japanesic[2444]->Old Japanese[3891],https://religiondatabase.org/browse/896,Database of Religious History (DRH) [default],merge,,
934,Mongolian Buddhism during the Revolutionary Period,Mongolian,6,Language[1747]->Mongolic-Khitan[1749]->Mongolic[1996]->Eastern Mongolic[3311]->Khalkha-Buriat[4566]->Mongolian[5853],https://religiondatabase.org/browse/934,Database of Religious History (DRH) [default],merge,,
997,Ancient Egypt - Early Dynastic Period,Archaic Egyptian,5,Language[1747]->Afro-Asiatic[1977]->Egyptian[3238]->Egyptian (Ancient)[4435]->Archaic Egyptian[28672],https://religiondatabase.org/browse/997,Database of Religious History (DRH) [default],merge,,
1006,Ancient Egypt - Old Kingdom,Old Egyptian,5,Language[1747]->Afro-Asiatic[1977]->Egyptian[3238]->Egyptian (Ancient)[4435]->Old Egyptian[28671],https://religiondatabase.org/browse/1006,Database of Religious History (DRH) [default],merge,,
1008,Ancient Egypt - First Intermediate Period,Old Egyptian,5,Language[1747]->Afro-Asiatic[1977]->Egyptian[3238]->Egyptian (Ancient)[4435]->Old Egyptian[28671],https://religiondatabase.org/browse/1008,Database of Religious History (DRH) [default],merge,,
1015,Ancient Egypt - Predynastic Period - Early Naqada Culture,Archaic Egyptian,5,Language[1747]->Afro-Asiatic[1977]->Egyptian[3238]->Egyptian (Ancient)[4435]->Archaic Egyptian[28672],https://religiondatabase.org/browse/1015,Database of Religious History (DRH) [default],merge,,
1016,Ancient Egypt - Predynastic Period - Cultures of Lower Egypt,Archaic Egyptian,5,Language[1747]->Afro-Asiatic[1977]->Egyptian[3238]->Egyptian (Ancient)[4435]->Archaic Egyptian[28672],https://religiondatabase.org/browse/1016,Database of Religious History (DRH) [default],merge,,
1037,Third Intermediate Period in Ancient Egypt,Late Egyptian,5,Language[1747]->Afro-Asiatic[1977]->Egyptian[3238]->Egyptian (Ancient)[4435]->Late Egyptian[28670],https://religiondatabase.org/browse/1037,Database of Religious History (DRH) [default],merge,,
1051,Religion at Tell el-Dab'a (ancient Avaris) in Ancient Egypt,Canaanite,7,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Canaanite[8597],https://religiondatabase.org/browse/1051,Database of Religious History (DRH) [default],merge,,
1069,Religion at Deir el-Medina,Late Egyptian,5,Language[1747]->Afro-Asiatic[1977]->Egyptian[3238]->Egyptian (Ancient)[4435]->Late Egyptian[28670],https://religiondatabase.org/browse/1069,Database of Religious History (DRH) [default],merge,,
1083,Drukpa Kagyü School (Bhutan),Classical Tibetan,6,Language[1747]->Sino-Tibetan[1946]->Bodic[3022]->Bodish[4302]->Early Old Tibetan[5558]->Classical Tibetan[6949],https://religiondatabase.org/browse/1083,Database of Religious History (DRH) [default],merge,,
1106,Old Kingdom Religion at Abydos,Old Egyptian,5,Language[1747]->Afro-Asiatic[1977]->Egyptian[3238]->Egyptian (Ancient)[4435]->Old Egyptian[28671],https://religiondatabase.org/browse/1106,Database of Religious History (DRH) [default],merge,,
