entry_id,entrytag_name,entrytag_level,entrytag_path,Glottocode,Glottolog_Name,ID,Name,tip_name
187,Old Chinese,4,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Old Chinese[4344],oldc1244,Old Chinese,OLD_CHINESE,OLD_CHINESE,ST.CHINESE.OLD_CHINESE
189,Ancient Hebrew,9,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Canaanite[8597]->Hebrewic[9968]->Ancient Hebrew[11121],anci1244,Ancient Hebrew,BIBLICAL_HEBREW,BIBLICAL_HEBREW,AA.SEMITIC.BIBLICAL_HEBREW
190,Tamil,13,Language[1747]->Dravidian[1908]->South Dravidian[2492]->South Dravidian I[4058]->Tamil-Kannada[5382]->Tamil-Kota[6773]->Tamil-Toda[8325]->Tamil-Irula[9751]->Tamil-Kodagu[10977]->Tamil-Malayalam[11959]->Tamiloid[12845]->Tamil-Paliyan[13570]->Tamil[14047],tami1289,Tamil,TAMIL,TAMIL,Dra.SOUTHERN_DRAVIDIAN.TAMIL
191,Eastern Panjabi,12,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751]->Continental Indo-Aryan[8297]->Indo-Aryan Northwestern zone[9715]->Sindhi-Lahnda[10938]->Greater Panjabic[11897]->Eastern Panjabic[12772]->Eastern Panjabi[13468],panj1256,Eastern Panjabi,PUNJABI_MAJHI,PUNJABI_MAJHI,IE.INDIC.PUNJABI_MAJHI
192,Fijian,11,Language[1747]->Austronesian[1807]->Malayo-Polynesian[2158]->Eastern Malayo-Polynesian[3548]->Oceanic[4923]->Central Pacific linkage[6264]->Tokalau Fijian[7757]->Eastern Fijian[9241]->Nuclear Eastern Fijian[10468]->Viwa-Lomaiviti-East Viti Levu[11402]->Fijian[12243],fiji1243,Fijian,FIJIAN_2,FIJIAN_2,An.OCEANIC.FIJIAN_2
193,Fijian,11,Language[1747]->Austronesian[1807]->Malayo-Polynesian[2158]->Eastern Malayo-Polynesian[3548]->Oceanic[4923]->Central Pacific linkage[6264]->Tokalau Fijian[7757]->Eastern Fijian[9241]->Nuclear Eastern Fijian[10468]->Viwa-Lomaiviti-East Viti Levu[11402]->Fijian[12243],fiji1243,Fijian,FIJIAN_2,FIJIAN_2,An.OCEANIC.FIJIAN_2
195,Bengali,12,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751]->Continental Indo-Aryan[8297]->Indo-Aryan Eastern zone[9719]->Oriya-Gauda-Kamrupa[10949]->Gauda-Kamrupa[11932]->Gauda-Banga[12812]->Bengali[13516],beng1280,Bengali,BENGALI,BENGALI,IE.INDIC.BENGALI
196,Ionic-Attic Ancient Greek,8,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027]->Greek[5341]->South Greek[6723]->Central Greek[8272]->Ionic-Attic Ancient Greek[9686],anci1242,Ionic-Attic Ancient Greek,GREEK_ANCIENT,GREEK_ANCIENT,IE.GREEK.GREEK_ANCIENT
197,Tibetan,9,Language[1747]->Sino-Tibetan[1946]->Bodic[3022]->Bodish[4302]->Early Old Tibetan[5558]->Middle Old Tibetan[6951]->Late Old Tibetan[8465]->Central Tibetan[9859]->Tibetan[11041],tibe1272,Tibetan,TIBETAN_WRITTEN,TIBETAN_WRITTEN,ST.BODIC.TIBETAN_WRITTEN
198,Ancient Greek,7,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027]->Greek[5341]->East Greek[29393]->Ancient Greek[30700],,,TZOTZIL_ZINACANTAN_1600,TZOTZIL_ZINACANTAN_1600,May.MAYAN.TZOTZIL_ZINACANTAN_1600
199,Ionic,8,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027]->Greek[5341]->East Greek[29393]->Ancient Greek[30700]->Ionic[32455],,,TAPARITA,TAPARITA,Oto.OTOMACO.TAPARITA
200,Tibetan,9,Language[1747]->Sino-Tibetan[1946]->Bodic[3022]->Bodish[4302]->Early Old Tibetan[5558]->Middle Old Tibetan[6951]->Late Old Tibetan[8465]->Central Tibetan[9859]->Tibetan[11041],tibe1272,Tibetan,TIBETAN_WRITTEN,TIBETAN_WRITTEN,ST.BODIC.TIBETAN_WRITTEN
201,Jewish Babylonian Aramaic (ca. 200-1200 CE),13,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Aramaic[8598]->Imperial-Middle-Modern Aramaic[9970]->Middle-Modern Aramaic[11126]->Eastern Aramaic[12053]->Central Eastern Aramaic[12891]->North-Eastern Neo-Aramaic[13595]->Jewish Babylonian Aramaic (ca. 200-1200 CE)[14063],jewi1240,Jewish Babylonian Aramaic (ca. 200-1200 CE),ACHAEMENID_ARAMAIC,ACHAEMENID_ARAMAIC,AA.SEMITIC.ACHAEMENID_ARAMAIC
202,Old Chinese,4,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Old Chinese[4344],oldc1244,Old Chinese,OLD_CHINESE,OLD_CHINESE,ST.CHINESE.OLD_CHINESE
203,Old Chinese,4,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Old Chinese[4344],oldc1244,Old Chinese,OLD_CHINESE,OLD_CHINESE,ST.CHINESE.OLD_CHINESE
207,Old Chinese,4,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Old Chinese[4344],oldc1244,Old Chinese,OLD_CHINESE,OLD_CHINESE,ST.CHINESE.OLD_CHINESE
210,Jewish Babylonian Aramaic (ca. 200-1200 CE),13,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Aramaic[8598]->Imperial-Middle-Modern Aramaic[9970]->Middle-Modern Aramaic[11126]->Eastern Aramaic[12053]->Central Eastern Aramaic[12891]->North-Eastern Neo-Aramaic[13595]->Jewish Babylonian Aramaic (ca. 200-1200 CE)[14063],jewi1240,Jewish Babylonian Aramaic (ca. 200-1200 CE),ACHAEMENID_ARAMAIC,ACHAEMENID_ARAMAIC,AA.SEMITIC.ACHAEMENID_ARAMAIC
212,Old Chinese,4,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Old Chinese[4344],oldc1244,Old Chinese,OLD_CHINESE,OLD_CHINESE,ST.CHINESE.OLD_CHINESE
224,Old Norse,8,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Germanic[4033]->Northwest Germanic[5354]->North Germanic[6739]->West Scandinavian[8287]->Old Norse[9699],oldn1244,Old Norse,OLD_NORSE,OLD_NORSE,IE.GERMANIC.OLD_NORSE
227,Eastern Panjabi,12,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751]->Continental Indo-Aryan[8297]->Indo-Aryan Northwestern zone[9715]->Sindhi-Lahnda[10938]->Greater Panjabic[11897]->Eastern Panjabic[12772]->Eastern Panjabi[13468],panj1256,Eastern Panjabi,PUNJABI_MAJHI,PUNJABI_MAJHI,IE.INDIC.PUNJABI_MAJHI
228,Korean,3,Language[1747]->Koreanic[1826]->Korean[2251],kore1280,Korean,KOREAN,KOREAN,Kor.KOREAN.KOREAN
230,Akkadian,5,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->East Semitic[4432]->Akkadian[5692],akka1240,Akkadian,AKKADIAN_2,AKKADIAN_2,AA.SEMITIC.AKKADIAN_2
231,Corsican,12,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Italic[4031]->Latino-Faliscan[5349]->Latinic[6736]->Imperial Latin[8284]->Romance[9690]->Southern Romance[10910]->Sardo-Corsican[11858]->Corsic[12724]->Corsican[13421],cors1241,Corsican,CORSICAN,CORSICAN,IE.ROMANCE.CORSICAN
240,Middle Chinese,6,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Classical-Middle-Modern Sinitic[4342]->Middle-Modern Sinitic[5613]->Middle Chinese[7037],midd1344,Middle Chinese,MIDDLE_CHINESE,MIDDLE_CHINESE,ST.CHINESE.MIDDLE_CHINESE
244,Japanese,5,Language[1747]->Japonic[1889]->Japanesic[2444]->Japan-Taiwan Japanese[3890]->Japanese[5264],nucl1643,Japanese,EI_JAPANESE,EI_JAPANESE,Jap.JAPANESE.EI_JAPANESE
245,Old Chinese,4,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Old Chinese[4344],oldc1244,Old Chinese,OLD_CHINESE,OLD_CHINESE,ST.CHINESE.OLD_CHINESE
249,Tuvinian,7,Language[1747]->Turkic[1876]->Common Turkic[2411]->Central Siberian Turkic[3827]->South Siberian Turkic[5204]->Sayan[6587]->Tuvinian[8169],tuvi1240,Tuvinian,TUVAN,TUVAN,Alt.TURKIC.TUVAN
250,Middle Chinese,6,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Classical-Middle-Modern Sinitic[4342]->Middle-Modern Sinitic[5613]->Middle Chinese[7037],midd1344,Middle Chinese,MIDDLE_CHINESE,MIDDLE_CHINESE,ST.CHINESE.MIDDLE_CHINESE
255,Old Chinese,4,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Old Chinese[4344],oldc1244,Old Chinese,OLD_CHINESE,OLD_CHINESE,ST.CHINESE.OLD_CHINESE
256,Etruscan,3,Language[1747]->Language Isolates[43177]->Etruscan[43286],etru1241,Etruscan,ETRUSCAN,ETRUSCAN,Etr.ETRUSCAN.ETRUSCAN
263,English,13,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Germanic[4033]->Northwest Germanic[5354]->West Germanic[6740]->North Sea Germanic[8290]->Anglo-Frisian[9705]->Anglic[10924]->Later Anglic[11872]->Middle-Modern English[12745]->Macro-English[13445]->English[13951],stan1293,English,ENGLISH,ENGLISH,IE.GERMANIC.ENGLISH
284,Nuclear Dhuwal,9,Language[1747]->Pama-Nyungan[1984]->Yuulngu[3279]->Southern Yolngu[4514]->Southern-Eastern Yolngu[5793]->Dhuwal-Dhuwala[7230]->Western Dhuwal-Dhuwala[8746]->Dhuwal[10095]->Nuclear Dhuwal[34897],nucl1333,Nuclear Dhuwal,DJAPU,DJAPU,Aus.PAMA_NYUNGAN.DJAPU
294,Middle Chinese,6,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Classical-Middle-Modern Sinitic[4342]->Middle-Modern Sinitic[5613]->Middle Chinese[7037],midd1344,Middle Chinese,MIDDLE_CHINESE,MIDDLE_CHINESE,ST.CHINESE.MIDDLE_CHINESE
308,Akkadian,5,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->East Semitic[4432]->Akkadian[5692],akka1240,Akkadian,AKKADIAN,AKKADIAN,AA.SEMITIC.AKKADIAN
310,Classical Nahuatl,8,Language[1747]->Uto-Aztecan[1803]->Southern Uto-Aztecan[2140]->Corachol-Aztecan[3471]->Aztec[4741]->Western Nahuatl[5989]->Central Nahuatl[7402]->Classical Nahuatl[8925],clas1250,Classical Nahuatl,CLASSICAL_NAHUATL,CLASSICAL_NAHUATL,UA.AZTECAN.CLASSICAL_NAHUATL
325,Old Chinese,4,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Old Chinese[4344],oldc1244,Old Chinese,OLD_CHINESE,OLD_CHINESE,ST.CHINESE.OLD_CHINESE
337,Chachapoyas Quechua,7,Language[1747]->Quechuan[1831]->Quechua II[2262]->Chinchay[3643]->Quechua IIB[5055]->San Martin-Amazonas Quechua[6418]->Chachapoyas Quechua[8002],chac1250,Chachapoyas Quechua,QUECHUA_CHACHAPOYAS,QUECHUA_CHACHAPOYAS,Que.QUECHUAN.QUECHUA_CHACHAPOYAS
338,Kwak'wala,5,Language[1747]->Wakashan[1875]->Northern Wakashan[2409]->Kwakiutlan[3820]->Kwak'wala[5190],kwak1269,Kwak'wala,KWAKWALA,KWAKWALA,Wak.NORTHERN_WAKASHAN.KWAKWALA
354,Akkadian,5,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->East Semitic[4432]->Akkadian[5692],akka1240,Akkadian,AKKADIAN,AKKADIAN,AA.SEMITIC.AKKADIAN
