NEEDS_CODE,CODE,CODER,entry_id,entry_name,entrytag_name,tip_name,Glottocode,ID,asjp_candidates,source,coding
False,,,714,Tamil Śaiva Bhakti,Tamil,Dra.SOUTHERN_DRAVIDIAN.TAMIL,tami1289,TAMIL,,DRH,SCCSR.v3
False,,,719,Hinduism in Trinidad,Trinidadian Creole English,IE.GERMANIC.ENGLISH,,,,manual_B,Edward Slingerland
False,,,721,Semang,Mintil,AuA.ASLIAN.MINTIL,mint1239,MINTIL,,DRH,SCCSR.v3
False,,,726,Early Śramaṇas,Sanskrit,IE.INDIC.SANSKRIT,sans1269,SANSKRIT,,DRH,SCCSR.v3
False,,,727,Raglai,Chru,An.MALAYO_SUMBAWAN.CHRU,chru1239,CHRU,,DRH,SCCSR.v3
False,,,749,Korean shamanism,Korean,Kor.KOREAN.KOREAN,kore1280,KOREAN,,DRH,SCCSR.v3
False,,,750,Mekeo,Mekeo,An.OCEANIC.MEKEO,meke1243,MEKEO,,DRH,SCCSR.v3
False,,,755,Uyghur Islam,Uighur,Alt.TURKIC.UYGHUR,uigh1240,UYGHUR,,DRH,SCCSR.v3
False,,,759,Comanche,English,IE.GERMANIC.ENGLISH,stan1293,ENGLISH,,DRH,SCCSR.v3
False,,,766,Garo,Garo,ST.BODO_GARO.GARO,garo1247,GARO,,DRH,SCCSR.v3
False,,,788,The Late Bronze Age City-State of Ugarit,Ugaritic,AA.SEMITIC.UGARITIC,ugar1238,UGARITIC,,DRH,SCCSR.v3
False,,,794,Omaha,English,IE.GERMANIC.ENGLISH,stan1293,ENGLISH,,DRH,SCCSR.v3
False,,,842,American Evangelicalism,English,IE.GERMANIC.ENGLISH,stan1293,ENGLISH,,DRH,SCCSR.v3
False,,,846,Xuanzang's Yogācāra Tradition,Middle Chinese,ST.CHINESE.MIDDLE_CHINESE,midd1344,MIDDLE_CHINESE,,DRH,SCCSR.v3
False,,,848,Sadducees,Jewish Babylonian Aramaic (ca. 200-1200 CE),AA.SEMITIC.ACHAEMENID_ARAMAIC,jewi1240,ACHAEMENID_ARAMAIC,,DRH,SCCSR.v3
False,,,849,"""Gaiwiio Religion,"" ""Longhouse Religion,"" or ""The Way of Handsome Lake"" of the Seneca Tribe",Seneca,Iro.NORTHERN_IROQUOIAN.SENECA,sene1264,SENECA,,DRH,SCCSR.v3
False,,,851,Sikhism in the United States,English,IE.GERMANIC.ENGLISH,stan1293,ENGLISH,,DRH,SCCSR.v3
False,,,852,Pre-Christian Religion / Paganism in Ireland,Early Irish,IE.CELTIC.OLD_IRISH,oldi1245,OLD_IRISH,,DRH,SCCSR.v3
False,,,854,pre-Christian Irish,Early Irish,IE.CELTIC.OLD_IRISH,oldi1245,OLD_IRISH,,DRH,SCCSR.v3
False,,,857,Wesleyanism,Spanish,IE.ROMANCE.SPANISH,stan1288,SPANISH,,DRH,SCCSR.v3
False,,,859,Valentinians,Jewish Babylonian Aramaic (ca. 200-1200 CE),AA.SEMITIC.ACHAEMENID_ARAMAIC,jewi1240,ACHAEMENID_ARAMAIC,,DRH,SCCSR.v3
False,,,862,Ilm-e-Khshnoom,English,IE.GERMANIC.ENGLISH,stan1293,ENGLISH,,DRH,SCCSR.v3
False,,,863,Orphism,Jewish Babylonian Aramaic (ca. 200-1200 CE),AA.SEMITIC.ACHAEMENID_ARAMAIC,jewi1240,ACHAEMENID_ARAMAIC,,DRH,SCCSR.v3
False,,,869,Sichuan Esoteric Buddhist Cult,Classical-Middle-Modern Sinitic,ST.CHINESE.MIDDLE_CHINESE,,,,manual_B,Matthew Hamm
False,,,870,Postsocialist Mongolian Buddhism,Mongolian,Alt.MONGOLIC.MONGOLIAN,,,,manual_B,Edward Slingerland
False,,,871,Spiritualism,English,IE.GERMANIC.ENGLISH,stan1293,ENGLISH,,DRH,SCCSR.v3
False,,,879,Free Methodist Church,English,IE.GERMANIC.ENGLISH,stan1293,ENGLISH,,manual_A,Matthew Hamm
False,,,880,Egyptian Salafism (inluding North Africa and West Asia),Tunisian Arabic,AA.SEMITIC.TUNISIAN_ARABIC_MAGHRIB,tuni1259,TUNISIAN_ARABIC_MAGHRIB,,DRH,SCCSR.v3
False,,,882,Orphism,Jewish Babylonian Aramaic (ca. 200-1200 CE),AA.SEMITIC.ACHAEMENID_ARAMAIC,jewi1240,ACHAEMENID_ARAMAIC,,DRH,SCCSR.v3
False,,,884,Sub Saharan Africa Pentecostalism,English,IE.GERMANIC.ENGLISH,stan1293,ENGLISH,,manual_A,Matthew Hamm
False,,,885,Contemporary West African Vodun,Fon,NC.KWA.FONGBE,fonn1241,FONGBE,,DRH,SCCSR.v3
False,,,886,Pushtimarg (The Path of Grace) in the UK and Gujarat,English,IE.GERMANIC.ENGLISH,stan1293,ENGLISH,,DRH,SCCSR.v3
False,,,887,Postsocialist Mongolian Shamanism,Mongolian,Alt.MONGOLIC.MONGOLIAN,,,,manual_B,Edward Slingerland
False,,,891,Peruvian Mormons,Spanish,IE.ROMANCE.SPANISH,stan1288,SPANISH,,DRH,SCCSR.v3
False,,,892,Charismatic Renewal Movement in Christianity - Second Wave Pentecostalism,English,IE.GERMANIC.ENGLISH,stan1293,ENGLISH,,DRH,SCCSR.v3
False,,,896,Sannō Shintō,Old Japanese,Jap.JAPANESE.JAPANESE,,,,manual_B,Edward Slingerland
False,,,897,Gaengjeongyudo,Korean,Kor.KOREAN.KOREAN,kore1280,KOREAN,,DRH,SCCSR.v3
False,,,900,Pharisees,Jewish Babylonian Aramaic (ca. 200-1200 CE),AA.SEMITIC.ACHAEMENID_ARAMAIC,jewi1240,ACHAEMENID_ARAMAIC,,DRH,SCCSR.v3
False,,,906,The Church of England,English,IE.GERMANIC.ENGLISH,stan1293,ENGLISH,,DRH,SCCSR.v3
False,,,910,Christian Base Community movement,Portuguese,IE.ROMANCE.PORTUGUESE,port1283,PORTUGUESE,,DRH,SCCSR.v3
False,,,914,Tariqa Shadhiliyya,Spanish,IE.ROMANCE.SPANISH,stan1288,SPANISH,,DRH,SCCSR.v3
False,,,915,Protestantism welcoming People with Disabilities,English,IE.GERMANIC.ENGLISH,stan1293,ENGLISH,,DRH,SCCSR.v3
False,,,919,Catholicism in contemporary Croatia,Croatian Standard,IE.SLAVIC.CROATIAN,croa1245,CROATIAN,,DRH,SCCSR.v3
False,,,921,Bhils,Hindi,IE.INDIC.HINDI,hind1269,HINDI,,DRH,SCCSR.v3
False,,,927,Zealots,Jewish Babylonian Aramaic (ca. 200-1200 CE),AA.SEMITIC.ACHAEMENID_ARAMAIC,jewi1240,ACHAEMENID_ARAMAIC,,DRH,SCCSR.v3
False,,,931,The Society of Jesus (Jesuits) in Britain,English,IE.GERMANIC.ENGLISH,stan1293,ENGLISH,,DRH,SCCSR.v3
False,,,933,Marcionites,Jewish Babylonian Aramaic (ca. 200-1200 CE),AA.SEMITIC.ACHAEMENID_ARAMAIC,jewi1240,ACHAEMENID_ARAMAIC,,DRH,SCCSR.v3
False,,,934,Mongolian Buddhism during the Revolutionary Period,Mongolian,Alt.MONGOLIC.MONGOLIAN,,,,manual_B,Edward Slingerland
False,,,938,Ugarit,Ugaritic,AA.SEMITIC.UGARITIC,ugar1238,UGARITIC,,DRH,SCCSR.v3
False,,,940,Julio-Claudian Imperial Cult,Latin,IE.ROMANCE.LATIN,lati1261,LATIN,,DRH,SCCSR.v3
False,,,942,African Methodist Episcopal Church,Portuguese,IE.ROMANCE.PORTUGUESE,port1283,PORTUGUESE,,DRH,SCCSR.v3
False,,,943,Moravian Missionaries in Nunatsiavut,Eastern Canadian Inuktitut,EA.ESKIMO.INUKTITUT_EASTERN_CANADIAN,east2534,INUKTITUT_EASTERN_CANADIAN,,DRH,SCCSR.v3
False,,,944,Mohyla's Ukrainian Church,Ukrainian,IE.SLAVIC.UKRAINIAN,ukra1253,UKRAINIAN,,DRH,SCCSR.v3
False,,,949,The Church of All Worlds,English,IE.GERMANIC.ENGLISH,stan1293,ENGLISH,,DRH,SCCSR.v3
False,,,950,The Religious Society of Friends,Spanish,IE.ROMANCE.SPANISH,stan1288,SPANISH,,DRH,SCCSR.v3
False,,,953,Sachchai,Urdu,IE.INDIC.URDU,urdu1245,URDU,,DRH,SCCSR.v3
False,,,958,Society of Jesus,Latin,IE.ROMANCE.LATIN,lati1261,LATIN,,DRH,SCCSR.v3
False,,,962,Amdo Gelukpa,Amdo Tibetan,ST.BODIC.MAQU_TIBETAN,amdo1237,MAQU_TIBETAN,,DRH,SCCSR.v3
False,,,963,The Knights Templar,Latin,IE.ROMANCE.LATIN,lati1261,LATIN,,DRH,SCCSR.v3
False,,,967,Unitarian Universalism,English,IE.GERMANIC.ENGLISH,stan1293,ENGLISH,,manual_A,Matthew Hamm
False,,,969,Adi Dravida/Valluva Sakya Buddhism,Tamil,Dra.SOUTHERN_DRAVIDIAN.TAMIL,tami1289,TAMIL,,DRH,SCCSR.v3
False,,,971,Gāṇapatya,Sanskrit,IE.INDIC.SANSKRIT,sans1269,SANSKRIT,,DRH,SCCSR.v3
False,,,973,The Sarna religion of the Oraons of Jharkhand,Sadri,IE.INDIC.SADRI,sadr1248,SADRI,,DRH,SCCSR.v3
False,,,975,Neo-Charismatic Movement - Third Wave Charismatic Movement,English,IE.GERMANIC.ENGLISH,stan1293,ENGLISH,,DRH,SCCSR.v3
False,,,976,Mising Community,Assamese,IE.INDIC.ASSAMESE,assa1263,ASSAMESE,,DRH,SCCSR.v3
False,,,978,Indonesian Catholicism,Latin,IE.ROMANCE.LATIN,lati1261,LATIN,,DRH,SCCSR.v3
False,,,982,The Samaritans (Persian to early Roman periods),Ionic-Attic Ancient Greek,IE.GREEK.GREEK_ANCIENT,anci1242,GREEK_ANCIENT,,DRH,SCCSR.v3
False,,,983,Tibetan and Himalayan Mundane and Landscape Cults,Kyerung,ST.BODIC.KYIRONG,kyer1238,KYIRONG,,DRH,SCCSR.v3
False,,,984,Calvinism (Early/Reformation),French,IE.ROMANCE.FRENCH,stan1290,FRENCH,,DRH,SCCSR.v3
False,,,985,The Victorines,Latin,IE.ROMANCE.LATIN,lati1261,LATIN,,DRH,SCCSR.v3
False,,,986,Theurgy,Latin,IE.ROMANCE.LATIN,lati1261,LATIN,,DRH,SCCSR.v3
False,,,987,"Parsis, Zoroastrians of India",Gujarati,IE.INDIC.GUJARATI,guja1252,GUJARATI,,DRH,SCCSR.v3
False,,,988,Churches of Christ- United States,English,IE.GERMANIC.ENGLISH,stan1293,ENGLISH,,DRH,SCCSR.v3
False,,,989,Opus Dei,French,IE.ROMANCE.FRENCH,stan1290,FRENCH,,DRH,SCCSR.v3
False,,,991,Beat Buddhism,English,IE.GERMANIC.ENGLISH,stan1293,ENGLISH,,DRH,SCCSR.v3
False,,,993,Pontifex Maximus and Pontifices (Pontifical College),Latin,IE.ROMANCE.LATIN,lati1261,LATIN,,DRH,SCCSR.v3
False,,,997,Ancient Egypt - Early Dynastic Period,Archaic Egyptian,AA.EGYPTIAN_COPTIC.MIDDLE_EGYPTIAN,,,,manual_B,Willis Monroe
False,,,1004,Religion in Roman Ostia,Ancient Hebrew,AA.SEMITIC.BIBLICAL_HEBREW,anci1244,BIBLICAL_HEBREW,,DRH,SCCSR.v3
False,,,1006,Ancient Egypt - Old Kingdom,Old Egyptian,AA.EGYPTIAN_COPTIC.MIDDLE_EGYPTIAN,,,,manual_B,Willis Monroe
False,,,1010,Pythagoreanism,Latin,IE.ROMANCE.LATIN,lati1261,LATIN,,DRH,SCCSR.v3
False,,,1011,Kingdom of Edom,Ancient Hebrew,AA.SEMITIC.BIBLICAL_HEBREW,anci1244,BIBLICAL_HEBREW,,DRH,SCCSR.v3
False,,,1013,Estado da Índia Renegades in Deccan,Indo-Portuguesic,IE.ROMANCE.PORTUGUESE,,,,manual_B,Willis Monroe
False,,,1028,German Pietists (Hasidei Ashkenaz),Ancient Hebrew,AA.SEMITIC.BIBLICAL_HEBREW,anci1244,BIBLICAL_HEBREW,,DRH,SCCSR.v3
False,,,1037,Third Intermediate Period in Ancient Egypt,Late Egyptian,AA.EGYPTIAN_COPTIC.MIDDLE_EGYPTIAN,,,,manual_B,Willis Monroe
False,,,1041,Korean Catholicism,Korean,Kor.KOREAN.KOREAN,kore1280,KOREAN,,DRH,SCCSR.v3
False,,,1043,Islam in Aceh,Acehnese,An.MALAYO_SUMBAWAN.ACEH,achi1257,ACEH,,DRH,SCCSR.v3
False,,,1044,Han Imperial Cult under Emperor Wu,Classical-Middle-Modern Sinitic,ST.CHINESE.OLD_CHINESE,,,,manual_B,Matthew Hamm
False,,,1051,Religion at Tell el-Dab'a (ancient Avaris) in Ancient Egypt,Canaanite,AA.SEMITIC.BIBLICAL_HEBREW,,,,manual_B,Willis Monroe
False,,,1060,The Taizhou Movement,Classical-Middle-Modern Sinitic,ST.CHINESE.SUZHOU_WU,,,,manual_B,Matthew Hamm
False,,,1069,Religion at Deir el-Medina,Late Egyptian,AA.EGYPTIAN_COPTIC.MIDDLE_EGYPTIAN,,,,manual_B,Willis Monroe
False,,,1071,Digital Shinto Communities,Portuguese,IE.ROMANCE.PORTUGUESE,port1283,PORTUGUESE,,DRH,SCCSR.v3
False,,,1076,Inquisitors of Goa's Santo Ofício,Latin,IE.ROMANCE.LATIN,lati1261,LATIN,,DRH,SCCSR.v3
False,,,1083,Drukpa Kagyü School (Bhutan),Classical Tibetan,ST.BODIC.TIBETAN_WRITTEN,,,,manual_B,Edward Slingerland
False,,,1087,The Bogomils,Bulgarian,IE.SLAVIC.BULGARIAN,bulg1262,BULGARIAN,,DRH,SCCSR.v3
False,,,1127,Anglican Church of Korea,Korean,Kor.KOREAN.KOREAN,kore1280,KOREAN,,DRH,SCCSR.v3
False,,,1129,Ancient Thessalians,Ionic-Attic Ancient Greek,IE.GREEK.GREEK_ANCIENT,anci1242,GREEK_ANCIENT,,DRH,SCCSR.v3
False,,,1134,Tiantai,Classical-Middle-Modern Sinitic,ST.CHINESE.MIDDLE_CHINESE,,,,manual_B,Matthew Hamm
False,,,1154,The Cult of the Fox,Classical-Middle-Modern Sinitic,ST.CHINESE.MANDARIN,,,,manual_B,Matthew Hamm
False,,,1172,Twofold Mystery (Chongxuan 重玄),Classical-Middle-Modern Sinitic,ST.CHINESE.MIDDLE_CHINESE,,,,manual_B,Matthew Hamm
False,,,1178,Modern Mystery School (MMS),French,IE.ROMANCE.FRENCH,stan1290,FRENCH,,DRH,SCCSR.v3
False,,,1180,Batak Traditional Religions,Batak Angkola,An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.BATAK_ANGKOLA,bata1290,BATAK_ANGKOLA,,DRH,SCCSR.v3
False,,,1191,Religion in Greco-Roman Alexandria,Ancient Hebrew,AA.SEMITIC.BIBLICAL_HEBREW,anci1244,BIBLICAL_HEBREW,,DRH,SCCSR.v3
False,,,1192,Kaharingan,Ma'anyan,An.BARITO.SAMIHIM,maan1238,SAMIHIM,,DRH,SCCSR.v3
False,,,1210,Mende,Mende (Sierra Leone),Man.WESTERN_MANDE.MENDE,mend1266,MENDE,,DRH,SCCSR.v3
False,,,1220,The Cult of Chinggis Khan (a.k.a. Genghis Khan) in Mongolia,Mongolian,Alt.MONGOLIC.MONGOLIAN,,,,manual_B,Edward Slingerland
False,,,1223,Toda,Toda,Dra.SOUTHERN_DRAVIDIAN.TODA,toda1252,TODA,,DRH,SCCSR.v3
False,,,1227,Polytheistic Pre-Islamic South Arabia,Sabaic,AA.SEMITIC.SABEAN,saba1279,SABEAN,,DRH,SCCSR.v3
False,,,1241,Taiping 太平 Movement,Classical-Middle-Modern Sinitic,ST.CHINESE.HAKKA,,,,manual_B,Matthew Hamm
False,,,1247,Exovedate,French,IE.ROMANCE.FRENCH,stan1290,FRENCH,,DRH,SCCSR.v3
False,,,1249,Cult of the Egyptian Gods at Demetrias,Modern Greek,IE.GREEK.GREEK,mode1248,GREEK,,DRH,SCCSR.v3
False,,,1250,Hanbalism,Arabic,AA.SEMITIC.IRAQ_MUSLIM_BAGHDAD_ARABIC,,,,manual_B,Julian Weideman
False,,,1258,Religion in Judah,Ancient Hebrew,AA.SEMITIC.BIBLICAL_HEBREW,anci1244,BIBLICAL_HEBREW,,DRH,SCCSR.v3
False,,,1259,"The LuWang School, the School of Lu Xiangshan and Wang Yangming",Classical-Middle-Modern Sinitic,ST.CHINESE.MANDARIN,,,,manual_B,Matthew Hamm
False,,,1268,Monotheistic Pre-Islamic South Arabia,Sabaic,AA.SEMITIC.SABEAN,saba1279,SABEAN,,DRH,SCCSR.v3
False,,,1279,Mandarese Muslims,Mandar,An.SOUTH_SULAWESI.MANDAR,mand1442,MANDAR,,DRH,SCCSR.v3
False,,,1281,Otoro Nuba,Otoro,Krd.HEIBAN.UTORO,otor1240,UTORO,,DRH,SCCSR.v3
False,,,1283,Butonese Muslims,Wolio,An.CELEBIC.WOLIO,woli1241,WOLIO,,DRH,SCCSR.v3
False,,,1295,Donatism,Latin,IE.ROMANCE.LATIN,lati1261,LATIN,,DRH,SCCSR.v3
False,,,1300,"Enlace de Agentes de Pastoral Indígena (EAPI, Network of Indigenous Ministry Agents)",Spanish,IE.ROMANCE.SPANISH,stan1288,SPANISH,,DRH,SCCSR.v3
False,,,1304,Peyote Religion (Peyotism) and the Native American Church,English,IE.GERMANIC.ENGLISH,stan1293,ENGLISH,,DRH,SCCSR.v3
False,,,1307,Southern Baptists,English,IE.GERMANIC.ENGLISH,stan1293,ENGLISH,,DRH,SCCSR.v3
False,,,1311,Jehovah's Witnesses,English,IE.GERMANIC.ENGLISH,stan1293,ENGLISH,,manual_A,Matthew Hamm
False,,,1323,Luguru,Luguru,NC.BANTOID.LUGURU,lugu1238,LUGURU,,DRH,SCCSR.v3
