ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,classification_glottolog,recently_extinct,long_extinct,tip_name
A51_BAFIA_MAJA,A51_BAFIA_MAJA,lefa1242,Lefa,lfa,Africa,5.1,11.2,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Bafia(A.50),NuclearBafia(A.50),Lefa-Bafia",False,False,NC.BANTOID.A51_BAFIA_MAJA
A51_BAFIA_TUMI_TINGON,A51_BAFIA_TUMI_TINGON,lefa1242,Lefa,lfa,Africa,5.1,11.2,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Bafia(A.50),NuclearBafia(A.50),Lefa-Bafia",False,False,NC.BANTOID.A51_BAFIA_TUMI_TINGON
A51_BAFIA_ZAKAAN,A51_BAFIA_ZAKAAN,lefa1242,Lefa,lfa,Africa,5.1,11.2,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Bafia(A.50),NuclearBafia(A.50),Lefa-Bafia",False,False,NC.BANTOID.A51_BAFIA_ZAKAAN
A53_BAFIA_RIKPA,A53_BAFIA_RIKPA,bafi1243,Bafia,ksf,Africa,5.0,11.17,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Bafia(A.50),NuclearBafia(A.50),Lefa-Bafia",False,False,NC.BANTOID.A53_BAFIA_RIKPA
A54_BAFIA_NJANTI,A54_BAFIA_NJANTI,tibe1274,Tibea,ngy,Africa,5.3,11.3,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Bafia(A.50)",False,False,NC.BANTOID.A54_BAFIA_NJANTI
A60_GUNU,A60_GUNU,nugu1242,Nugunu (Cameroon),yas,Africa,4.58,11.25,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Mbam-Bubi,Mbam,NuclearMbam,Bati-Mbure-Yambassa,Mbure-Yambassa,Yambassa(A.60),Mmala-Elip-Gunu,Elip-Gunu",False,False,NC.BANTOID.A60_GUNU
A60_MMAALA,A60_MMAALA,mmaa1238,Mmaala,mmu,Africa,4.5,11.08,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Mbam-Bubi,Mbam,NuclearMbam,Bati-Mbure-Yambassa,Mbure-Yambassa,Yambassa(A.60),Mmala-Elip-Gunu",False,False,NC.BANTOID.A60_MMAALA
A61_NGORO_ASOM,A61_NGORO_ASOM,tuki1240,Tuki,bag,Africa,4.58,11.5,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Mbam-Bubi,Mbam,NuclearMbam,Sanaga-WestMbam(A.40),Sanaga(A.60)",False,False,NC.BANTOID.A61_NGORO_ASOM
A62_KALONGE,A62_KALONGE,yang1293,Nuasue,yav,Africa,4.43,11.08,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Mbam-Bubi,Mbam,NuclearMbam,Bati-Mbure-Yambassa,Mbure-Yambassa,Yambassa(A.60)",False,False,NC.BANTOID.A62_KALONGE
A72a_EWONDO,A72a_EWONDO,ewon1239,Ewondo,ewo,Africa,4.0,12.0,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Basaa-Yaunde(A40-70),Yaunde-Fang(A.70),Ewondo-Bebele",False,False,NC.BANTOID.A72a_EWONDO
AASAX,AASAX,aasa1238,Aasax,aas,Africa,-4.04,37.16,Afro-Asiatic,"Afro-Asiatic,Cushitic,SouthCushitic",True,False,AA.SOUTHERN_CUSHITIC.AASAX
ABAR,ABAR,abar1238,Mungbam,mij,Africa,6.58,10.25,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,Yemne-Kimbi",False,False,NC.BANTOID.ABAR
ABASAKUR,ABASAKUR,pall1244,Pal,abw,Papunesia,-4.77,145.23,Nuclear Trans New Guinea,"NuclearTransNewGuinea,Madang,Croisilles,Omosan",False,False,TNG.MADANG.ABASAKUR
ABAU,ABAU,abau1245,Abau,aau,Papunesia,-4.0,141.25,Sepik,Sepik,False,False,Sep.UPPER_SEPIK.ABAU
ABAU_2,ABAU_2,abau1245,Abau,aau,Papunesia,-4.0,141.25,Sepik,Sepik,False,False,Sep.UPPER_SEPIK.ABAU_2
ABAZA,ABAZA,abaz1241,Abaza,abq,Eurasia,44.0,42.0,Abkhaz-Adyge,"Abkhaz-Adyge,Abkhaz-Abaza",False,False,NWC.NORTHWEST_CAUCASIAN.ABAZA
ABE,ABE,abee1242,Abé,aba,Africa,5.83,-4.25,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Agneby",False,False,NC.KWA.ABE
ABIPON,ABIPON,abip1241,Abipon,axb,South America,-29.0,-61.0,Guaicuruan,"Guaicuruan,GuaicurudelSur",True,False,Gcu.SOUTH_GUAICURUAN.ABIPON
