marker,parameter,median,lo95,hi95
circumcision,Intercept,-2.13,-2.66,-1.68
circumcision,violent_internal,0.28,-0.56,1.13
dress,Intercept,-1.15,-1.51,-0.8
dress,violent_internal,-0.3,-1.05,0.4
extra_ritual_group_markers,Intercept,-0.76,-1.08,-0.44
extra_ritual_group_markers,violent_internal,0.07,-0.53,0.65
food_taboos,Intercept,-1.59,-2,-1.2
food_taboos,violent_internal,0.45,-0.28,1.1
hair,Intercept,-1.54,-1.96,-1.17
hair,violent_internal,-0.32,-1.11,0.52
ornaments,Intercept,-1.59,-2.01,-1.2
ornaments,violent_internal,-0.15,-1,0.59
permanent_scarring,Intercept,-3.24,-3.95,-2.52
permanent_scarring,violent_internal,0.98,0.03,1.99
tattoos_scarification,Intercept,-2.48,-3.04,-1.94
tattoos_scarification,violent_internal,-0.27,-1.36,0.72
