parameter,Estimate,l-95% CI,u-95% CI
intercept,0.16814021471788695,0.06660114815175502,0.33492963592352576
beta,0.3313839610469304,0.13807319560371326,0.5981638273565509
effect,0.16324374632904348,0.005787166046227834,0.3554636103533074
