parameter,Estimate,l-95% CI,u-95% CI
intercept,0.0940690635903388,0.027051473833100366,0.20415338366627603
beta,0.24169502258890244,0.08035588859631256,0.4588876646184236
effect,0.14762595899856365,0.016285410777604394,0.3174625861004753
