intercept,beta,effect
0.38354779534307726,0.633129683310554,0.2495818879674767
0.4238501908522258,0.6765658582778018,0.252715667425576
0.39013045314659484,0.6762809128611954,0.28615045971460057
0.34849543609608186,0.728578927417164,0.38008349132108216
0.25966333385445545,0.63003942237487,0.37037608852041454
0.33285416709816257,0.5878009803595592,0.2549468132613966
0.27864227313997614,0.7214388150728765,0.4427965419329004
0.29734003384532126,0.40753210723345823,0.11019207338813697
0.22561730039591707,0.6736571606935491,0.448039860297632
0.22315361252872695,0.6574893921690582,0.43433577964033127
0.32184089760198054,0.5910645439635297,0.26922364636154916
0.2824272480722301,0.5960265064227886,0.3135992583505586
0.26205134265503927,0.49462349481513124,0.23257215216009197
0.41675807682122773,0.7900896012469197,0.373331524425692
0.24569691830854248,0.4439931625955557,0.19829624428701323
0.2858186580976184,0.6590327911786505,0.37321413308103213
0.3972931202961642,0.6766158682313633,0.2793227479351991
0.2810249403033324,0.5681513667312511,0.2871264264279187
0.309524522700518,0.6636014694595487,0.3540769467590307
0.33895902849667675,0.5741034091533006,0.23514438065662385
0.2725559185259806,0.6442829122746321,0.3717269937486515
0.2666185287117185,0.6364797060191655,0.369861177307447
0.27975460036077665,0.6950535681079553,0.4152989677471786
0.3494419270320153,0.6771853264390062,0.3277433994069909
0.31823602987547334,0.6871185374604457,0.3688825075849724
0.44901884111731233,0.503359800027927,0.05434095891061469
0.3451433843662566,0.5789305114221954,0.23378712705593885
0.39452552247158723,0.5356125279072461,0.14108700543565889
0.3432577037687401,0.7323136388086696,0.3890559350399295
0.30952997441578695,0.7021448022040655,0.39261482778827855
0.205409184469933,0.5706734970410479,0.36526431257111486
0.21708763381822904,0.6367593958373277,0.4196717620190986
0.16640747455033944,0.5374182514839851,0.3710107769336457
0.25549225307192147,0.537817152347456,0.2823248992755345
0.2658097312756915,0.620534443221575,0.3547247119458835
0.19347104864014952,0.6488518182494172,0.45538076960926765
0.31613060505061336,0.44475766813894835,0.128627063088335
0.4144199343819836,0.636167664750875,0.22174773036889145
0.35910588613061123,0.6217275320514596,0.26262164592084836
0.42653982828360953,0.6785010393301775,0.25196121104656793
0.314325569809218,0.6448505805207494,0.3305250107115314
0.3334442216441972,0.7145038952827596,0.3810596736385624
0.2522819456591429,0.5074537109133386,0.25517176525419566
0.18754646602323896,0.5706732706445957,0.38312680462135673
0.3320252585137205,0.5250160786337538,0.19299082012003327
0.27611935375738633,0.5713306121469713,0.295211258389585
0.26839760728223583,0.49852398283999744,0.2301263755577616
0.26797197245457893,0.5625271939025194,0.29455522144794044
0.266490955884034,0.6566752061962949,0.39018425031226095
0.3320987181195208,0.5411701946562008,0.20907147653667996
0.32182968564095893,0.6733334240044003,0.3515037383634414
0.27317644746107433,0.48691005429717066,0.21373360683609632
0.36043378342546545,0.6963663735515628,0.3359325901260974
0.47671450089850215,0.5782147023460706,0.1015002014475685
0.1862174788940104,0.706322000844387,0.5201045219503766
0.32782069819421994,0.3417196730698975,0.013898974875677539
0.222013873759262,0.7178669363767979,0.4958530626175359
0.23667241148014212,0.6076836619190958,0.3710112504389537
0.28763335477279306,0.5377397335698462,0.2501063787970531
0.2912813272469025,0.6770621752575428,0.3857808480106403
0.26348010573541053,0.6566681130882599,0.39318800735284937
0.26799512533406555,0.5791483117098786,0.311153186375813
0.2437260111727464,0.5253774547515253,0.2816514435787789
0.34686615851822206,0.6791015209612602,0.33223536244303814
0.27082110029874606,0.6052509700631966,0.33442986976445055
0.2438974933694413,0.5907936931294426,0.3468961997600013
0.3124937983982362,0.585475387958799,0.27298158956056284
0.2978092534584509,0.6566499656683001,0.35884071220984926
0.28678728878590054,0.6449057729957811,0.35811848420988057
0.38547979903296636,0.6567682321771674,0.27128843314420104
0.28593234707176324,0.6170219025326193,0.3310895554608561
0.2771480269763253,0.5780297215371911,0.30088169456086583
0.37882040487903007,0.6674480432039701,0.28862763832494004
0.315684865027516,0.7031704663503158,0.38748560132279974
0.17726138865627006,0.6111730775327808,0.43391168887651077
0.23651789673651633,0.5594790517436231,0.32296115500710676
0.2823791874691885,0.6284366293899576,0.3460574419207691
0.33868804310657413,0.5892657032764503,0.2505776601698762
0.32388302832010263,0.6655147712205012,0.34163174290039855
0.30061879785865087,0.6464729208171214,0.3458541229584705
0.28268735979686666,0.6211667111049909,0.33847935130812423
0.2668768219149683,0.577397534778397,0.31052071286342864
0.37234835485441115,0.4993735660831228,0.12702521122871163
0.3643497416177187,0.5734890952100631,0.20913935359234437
0.2937086311641169,0.869064245593079,0.5753556144289622
0.36516362852651185,0.7893999032914348,0.424236274764923
0.36244630884593254,0.8068988594714961,0.44445255062556355
0.3638767250225263,0.7653144719103916,0.40143774688786527
0.13432899551865132,0.4799265392937073,0.345597543775056
0.25810100110706624,0.5395913418363328,0.2814903407292666
0.22262362032159547,0.6830317743878535,0.460408154066258
0.36632820943769945,0.6848578078242299,0.31852959838653044
0.2996432156894148,0.5477002624924898,0.248057046803075
0.3564658803965145,0.5679307324087415,0.21146485201222698
0.3408976508370979,0.5815960565273338,0.24069840569023593
0.2846591961579342,0.4834698907298523,0.19881069457191808
0.22833202017607304,0.5781249013204425,0.34979288114436946
0.2785545156080961,0.6162670115643984,0.33771249595630237
0.4248738754359213,0.6177953033969292,0.19292142796100792
0.33483510545308776,0.7461453744866993,0.4113102690336115
0.34019123172806665,0.7569254965627592,0.41673426483469256
0.3768243760825644,0.6611792124599986,0.28435483637743414
0.3117485634454477,0.649121201801894,0.3373726383564463
0.31082255026993016,0.7309832579073188,0.4201607076373886
0.2680184730558776,0.7126564506621579,0.44463797760628027
0.3132681546480915,0.6993093955657057,0.3860412409176142
0.3014482493110583,0.764205144864214,0.4627568955531557
0.24694806228430538,0.6241207271120618,0.3771726648277564
0.3896686477118707,0.560446791644232,0.17077814393236124
0.3327059083162714,0.5798852913097495,0.24717938299347814
0.2967251387613098,0.5614985016304856,0.26477336286917585
0.3782737803088575,0.5099331188342499,0.13165933852539236
0.43109574087982444,0.8352476988164111,0.4041519579365867
0.28968509351963695,0.4603446358824115,0.17065954236277453
0.23948423593094323,0.6405751635356798,0.4010909276047365
0.27514236987626467,0.6925226930192274,0.41738032314296275
0.32354887401542576,0.6078677392872683,0.2843188652718426
0.369373456215856,0.7057287426183326,0.33635528640247664
0.3356433575326374,0.690298586356718,0.3546552288240806
0.1844997241766179,0.6262037380577197,0.4417040138811018
0.22227102708459787,0.6529605644263871,0.43068953734178916
0.2676476602742311,0.5852520506937101,0.317604390419479
0.2713950529617549,0.655109790340685,0.38371473737893
0.3115716118159727,0.6133547576749305,0.3017831458589578
0.2590514340761717,0.5135898115379404,0.25453837746176866
0.24929189809141022,0.6211516084824188,0.37185971039100857
0.36003526380083034,0.6374256675034058,0.27739040370257545
0.3026151898314235,0.6350426027297074,0.33242741289828387
0.29088341976232984,0.6809327760393891,0.3900493562770592
0.3954144678576415,0.7270616034900643,0.3316471356324228
0.3230302105804546,0.5339789173791951,0.2109487067987405
0.2878715967693845,0.5758371384747263,0.2879655417053418
0.2451519028608562,0.7255293163995706,0.48037741353871444
0.23166035546612182,0.5787781220187042,0.3471177665525823
0.22068484158671303,0.5928779192858198,0.37219307769910676
0.2988303274165483,0.5193016038752354,0.22047127645868708
0.24316989847389492,0.619967147703928,0.3767972492300331
0.23371886156840796,0.6077228281734074,0.37400396660499946
0.16105364613103382,0.5287793490502934,0.36772570291925966
0.29480908470464473,0.5871327179237363,0.2923236332190916
0.24920627905230486,0.7082767243677419,0.45907044531543706
0.2566610795640513,0.5595032166066877,0.30284213704263635
0.2624977874873104,0.6955896651062886,0.4330918776189782
0.2716394224836936,0.7008228776359958,0.4291834551523022
