parameter,Estimate,l-95% CI,u-95% CI
intercept,0.3756750893507506,0.2557757578326088,0.4994613429401862
beta,0.6747092038514555,0.43024454226778336,0.8640665975093679
effect,0.29903411450070494,0.07257344194525732,0.48530165639114636
