parameter,Estimate,l-95% CI,u-95% CI
intercept,0.3259166325574861,0.24585714145195253,0.4239591452257831
beta,0.6342605072098091,0.4909006637344533,0.7953452860975985
effect,0.308343874652323,0.1556879645421395,0.4786084645081701
