parameter,Estimate,l-95% CI,u-95% CI
intercept,0.06866521330265407,0.008929568842714227,0.2180820725802981
beta,0.1911125808703356,0.024352480525368238,0.5409297640973124
effect,0.12244736756768154,-0.003131803079871275,0.3713264400078651
