parameter,Estimate,l-95% CI,u-95% CI
intercept,0.289594290930661,0.1635352716452122,0.4342207586858131
beta,0.6207233379026359,0.4206742087864742,0.8076385523648636
effect,0.3311290469719749,0.126848244319019,0.5377694530564293
