intercept,beta,effect
0.02901588735088516,0.12714512837127087,0.09812924102038571
0.02694238954505545,0.10869718551952834,0.08175479597447288
0.05834991955256238,0.12350208635880525,0.06515216680624286
0.09128958843939937,0.15434301050076035,0.06305342206136098
0.03927317786719949,0.1300787359301824,0.0908055580629829
0.0553780106808923,0.20255905941288194,0.14718104873198964
0.04714252075897344,0.1599756055296314,0.11283308477065795
0.07372623057544005,0.237035346234478,0.16330911565903794
0.05228880630194714,0.21299198775262207,0.16070318145067491
0.054311788306280355,0.15647552078982363,0.10216373248354327
0.04027149108943578,0.15181868786282557,0.11154719677338978
0.0326295832814732,0.21010629822316718,0.17747671494169398
0.06543849978011836,0.15136322833936816,0.0859247285592498
0.05671774007310089,0.2298526710348853,0.1731349309617844
0.06362577548883182,0.21000916248419332,0.14638338699536152
0.056248476162981155,0.11622242235071159,0.059973946187730436
0.04778340788552186,0.2803902844496684,0.23260687656414655
0.057387273109480316,0.31594831562734127,0.25856104251786094
0.03648634670145768,0.09771337191779422,0.06122702521633654
0.0989038149753527,0.18033504622451416,0.08143123124916146
0.04338521727049695,0.2459987286389219,0.20261351136842493
0.07584143386437453,0.21326965961910055,0.13742822575472602
0.08303289661454885,0.22874503501291127,0.14571213839836242
0.02521625719996375,0.10350289901304753,0.07828664181308378
0.04315370661743142,0.18221456510251968,0.13906085848508826
0.026017629416753087,0.12291968776689756,0.09690205835014447
0.06822023387097952,0.15598452631849063,0.08776429244751112
0.03023493915096868,0.23110732485200874,0.20087238570104007
0.04321119750604671,0.1677846748073042,0.12457347730125748
0.08565769908570885,0.2577522035132961,0.17209450442758722
0.04727823308438759,0.17100291568271847,0.12372468259833089
0.09259648140320696,0.2847210676737614,0.1921245862705544
0.06223712008651539,0.1902559687790409,0.12801884869252553
0.03819111485366554,0.1546694829401675,0.11647836808650196
0.04951822189580797,0.2609478617140904,0.21142963981828244
0.031851406131683926,0.10900031168812914,0.07714890555644521
0.08187557038761349,0.18309601013727747,0.10122043974966398
0.044520836260598766,0.14359234880424357,0.0990715125436448
0.06364629860282246,0.2556736797476796,0.19202738114485718
0.05369543664520194,0.1263518149174455,0.07265637827224355
0.06289381218699587,0.1376790463178162,0.07478523413082032
0.05427953673430131,0.22010650725786515,0.16582697052356385
0.0441831789628902,0.16007482391847114,0.11589164495558094
0.05784411405506923,0.13488676610401562,0.07704265204894639
0.0390744497802933,0.29277202358235155,0.25369757380205826
0.06038455088843705,0.13814821418454096,0.0777636632961039
0.0705260571119451,0.13171658192225424,0.06119052481030915
0.043026257893300786,0.21136340119216984,0.16833714329886906
0.08588350903010483,0.22724658376138168,0.14136307473127685
0.02867112458237755,0.1352668746032616,0.10659575002088403
0.07789437363420905,0.16640653738160446,0.08851216374739541
0.03192402760642127,0.21165752492905512,0.17973349732263386
0.04298593394604165,0.11945165398940588,0.07646572004336423
0.03841335978597196,0.2115589547925602,0.17314559500658824
0.08230190780761577,0.22914709070765316,0.1468451829000374
0.04780735357841702,0.21768349167454434,0.16987613809612734
0.08965087708621092,0.22239848753754488,0.13274761045133396
0.051501309621615546,0.18274978959628527,0.1312484799746697
0.04313723952242389,0.1543768075145057,0.1112395679920818
0.05232666974683369,0.1535875273123448,0.10126085756551109
0.03194619912747772,0.12827213739690924,0.09632593826943152
0.01973150145802632,0.19665476281133998,0.17692326135331365
0.05178005711083162,0.22934005033523686,0.17755999322440524
0.04880347131443202,0.19831039291841607,0.14950692160398404
0.03479479919838572,0.11046304973149197,0.07566825053310625
0.040450943809872957,0.10472333842991227,0.06427239462003931
0.046529294531362474,0.13490192308787152,0.08837262855650904
0.06539794515602843,0.19513705637838533,0.1297391112223569
0.030324258969152255,0.11893009150234865,0.0886058325331964
0.03844496001213827,0.12628921839576354,0.08784425838362528
0.04101352362056554,0.18188290028188017,0.14086937666131463
0.07777365823497542,0.17286740108799853,0.0950937428530231
0.10328947921805394,0.16121434289389316,0.057924863675839225
0.0361924679497992,0.05849367094552693,0.022301202995727736
0.06547438528150837,0.14997200067928357,0.0844976153977752
0.027968994999844402,0.0961422962587245,0.0681733012588801
0.06493981741920068,0.10012152689475554,0.03518170947555485
0.02367886608779056,0.17357767614794836,0.14989881006015782
0.043901904415154444,0.22402330516000452,0.18012140074485006
0.08485238554068493,0.22878786443883078,0.14393547889814584
0.043340498633640215,0.22890705420564053,0.1855665555720003
0.04331172709579405,0.24352295927932568,0.20021123218353165
0.05779056278806172,0.1997055605820658,0.14191499779400407
0.06630467944739787,0.17997558732384195,0.11367090787644407
0.034738098818881444,0.1650820293794097,0.13034393056052823
0.06252948897486774,0.15579126833594584,0.0932617793610781
0.03107167006667384,0.1924974494342914,0.16142577936761757
0.04832308101829027,0.17482430009444816,0.12650121907615788
0.018408121079159328,0.0972118253776034,0.07880370429844406
0.06116536288251334,0.138442350427791,0.07727698754527765
0.06065628316647684,0.22230517836050132,0.16164889519402448
0.03194324738820723,0.2325226192757171,0.20057937188750988
