parameter,Estimate,l-95% CI,u-95% CI
intercept,0.16057097307522447,0.09249055059182651,0.24960414826677546
beta,0.36383042098277907,0.2003049671047784,0.5750569994769542
effect,0.20325944790755457,0.04155447138040324,0.4011852235276998
