parameter,Estimate,l-95% CI,u-95% CI
intercept,0.229026705347489,0.1508594933672435,0.3264356228753178
beta,0.44027786329690105,0.2653785369759188,0.6644495153921548
effect,0.21125115794941207,0.04612825149322739,0.4228023534705965
