marker,parameter,rhat,ess_bulk,ess_tail
circumcision,Intercept,1,8749.74,6306.68
circumcision,violent_external,1,16354.2,6059.25
dress,Intercept,1,8395.91,5551.99
dress,violent_external,1,15534.95,6068.75
extra_ritual_group_markers,Intercept,1,6251.93,5159.52
extra_ritual_group_markers,violent_external,1,16921.33,5292.63
food_taboos,Intercept,1,9052.21,6069.68
food_taboos,violent_external,1,18032.72,6022.86
hair,Intercept,1,6671.21,5249.33
hair,violent_external,1,11426.85,5581.94
ornaments,Intercept,1,6712.08,5417.45
ornaments,violent_external,1,11789.62,6388.19
permanent_scarring,Intercept,1,7826.23,5495.38
permanent_scarring,violent_external,1,12063.1,5610.95
tattoos_scarification,Intercept,1,5821.86,4410
tattoos_scarification,violent_external,1,15142.18,5907.03
