marker,parameter,rhat,ess_bulk,ess_tail
circumcision,Intercept,1,6475.55,5604.12
circumcision,violent_external,1,15027.86,6146.18
circumcision,year_scaled,1,9245.94,6130.88
circumcision,world_regionCentralEurasia,1,13680.36,6263.84
circumcision,world_regionEastAsia,1,11679.3,6129.8
circumcision,world_regionEurope,1,11237.2,6376.19
circumcision,world_regionNorthAmerica,1,13068.52,6723.17
circumcision,world_regionOceaniaMAustralia,1,13927.53,5529.7
circumcision,world_regionSouthAmerica,1,19109.88,5582.92
circumcision,world_regionSouthAsia,1,7778.92,5879.12
circumcision,world_regionSoutheastAsia,1,11755.8,6407.21
circumcision,world_regionSouthwestAsia,1,10333.42,5986.31
dress,Intercept,1,8680.39,5219.46
dress,violent_external,1,15595.83,6445.09
dress,year_scaled,1,13315.52,6408.52
dress,world_regionCentralEurasia,1,14308.36,6220.02
dress,world_regionEastAsia,1,12593.25,6760.56
dress,world_regionEurope,1,12099.6,5729.81
dress,world_regionNorthAmerica,1,12698.09,6532.07
dress,world_regionOceaniaMAustralia,1,20398.52,6177.22
dress,world_regionSouthAmerica,1,16107.16,5889.35
dress,world_regionSouthAsia,1,11890.1,6731.74
dress,world_regionSoutheastAsia,1,13106.51,6516.43
dress,world_regionSouthwestAsia,1,11905.77,6808.39
extra_ritual_group_markers,Intercept,1,8762.01,6084.45
extra_ritual_group_markers,violent_external,1,15530.92,6256.88
extra_ritual_group_markers,year_scaled,1,13740.97,6155.35
extra_ritual_group_markers,world_regionCentralEurasia,1,14475.78,6226.45
extra_ritual_group_markers,world_regionEastAsia,1,13059.19,6421.81
extra_ritual_group_markers,world_regionEurope,1,10938.1,6933.2
extra_ritual_group_markers,world_regionNorthAmerica,1,12271.44,6832.61
extra_ritual_group_markers,world_regionOceaniaMAustralia,1,15894.36,5988.52
extra_ritual_group_markers,world_regionSouthAmerica,1,16380.91,6544.14
extra_ritual_group_markers,world_regionSouthAsia,1,11876.85,6610.61
extra_ritual_group_markers,world_regionSoutheastAsia,1,12457.4,5925.08
extra_ritual_group_markers,world_regionSouthwestAsia,1,13186.14,7064.91
food_taboos,Intercept,1,7059.36,4840.86
food_taboos,violent_external,1,13619.99,5940.94
food_taboos,year_scaled,1,11817.85,5726.09
food_taboos,world_regionCentralEurasia,1,12603.61,5541.55
food_taboos,world_regionEastAsia,1,8949.98,6201.96
food_taboos,world_regionEurope,1,9972,6067.06
food_taboos,world_regionNorthAmerica,1,11978.31,6322.23
food_taboos,world_regionOceaniaMAustralia,1,14801.86,5724.46
food_taboos,world_regionSouthAmerica,1,16205.38,5845.96
food_taboos,world_regionSouthAsia,1,9998.04,5817.03
food_taboos,world_regionSoutheastAsia,1,10876.71,6384.4
food_taboos,world_regionSouthwestAsia,1,9853.62,6089.53
hair,Intercept,1,6635.78,5141.06
hair,violent_external,1,12406.71,6262.88
hair,year_scaled,1,10759.38,5790.06
hair,world_regionCentralEurasia,1,10817.14,5895.5
hair,world_regionEastAsia,1,9542.51,6131.08
hair,world_regionEurope,1,10318.91,6197.61
hair,world_regionNorthAmerica,1,8706.08,5591.8
hair,world_regionOceaniaMAustralia,1,14581.86,5460.55
hair,world_regionSouthAmerica,1,11345.23,6323.92
hair,world_regionSouthAsia,1,8214.11,6300.86
hair,world_regionSoutheastAsia,1,11329.87,5621.19
hair,world_regionSouthwestAsia,1,9269.7,6034.19
ornaments,Intercept,1,7485.72,6428.96
ornaments,violent_external,1,11986.4,6310.75
ornaments,year_scaled,1,10933.53,6759.9
ornaments,world_regionCentralEurasia,1,12092.93,5870.18
ornaments,world_regionEastAsia,1,9912.53,6686.44
ornaments,world_regionEurope,1,9786.46,6172.24
ornaments,world_regionNorthAmerica,1,12312.01,6075.61
ornaments,world_regionOceaniaMAustralia,1,15052.52,6001.19
ornaments,world_regionSouthAmerica,1,12619.52,6097.52
ornaments,world_regionSouthAsia,1,9247.47,6307.64
ornaments,world_regionSoutheastAsia,1,11181.03,6343.57
ornaments,world_regionSouthwestAsia,1,11371.31,6734.43
permanent_scarring,Intercept,1,10148.23,5751.36
permanent_scarring,violent_external,1,13631.88,5865.32
permanent_scarring,year_scaled,1,10155.51,5680.68
permanent_scarring,world_regionCentralEurasia,1,14852.71,5384.01
permanent_scarring,world_regionEastAsia,1,12871.41,6246.11
permanent_scarring,world_regionEurope,1,11196.68,5993.9
permanent_scarring,world_regionNorthAmerica,1,12682.89,6065.03
permanent_scarring,world_regionOceaniaMAustralia,1,13499.54,5638.5
permanent_scarring,world_regionSouthAmerica,1,13055.68,5915.36
permanent_scarring,world_regionSouthAsia,1,12291.47,6684.73
permanent_scarring,world_regionSoutheastAsia,1,11331.93,5903.76
permanent_scarring,world_regionSouthwestAsia,1,11969.5,6517.4
tattoos_scarification,Intercept,1,10098.46,5399.87
tattoos_scarification,violent_external,1,14453.05,5826.86
tattoos_scarification,year_scaled,1,16371.49,6243.35
tattoos_scarification,world_regionCentralEurasia,1,14429.42,5547.45
tattoos_scarification,world_regionEastAsia,1,12938.32,6356.39
tattoos_scarification,world_regionEurope,1,12974.56,5880.28
tattoos_scarification,world_regionNorthAmerica,1,15334.74,5730.85
tattoos_scarification,world_regionOceaniaMAustralia,1,18392.3,5903.16
tattoos_scarification,world_regionSouthAmerica,1,17113.98,5903.85
tattoos_scarification,world_regionSouthAsia,1,14974.46,6228.72
tattoos_scarification,world_regionSoutheastAsia,1,14032.17,6192.04
tattoos_scarification,world_regionSouthwestAsia,1,17425.34,6083.44
