marker,parameter,median,lo95,hi95
circumcision,Intercept,-1.76,-2.78,-0.83
circumcision,violent_external,0.98,0.29,1.65
circumcision,year_scaled,0.26,-0.15,0.72
circumcision,world_regionCentralEurasia,-0.18,-1.67,1.39
circumcision,world_regionEastAsia,-0.8,-2.06,0.49
circumcision,world_regionEurope,-1.22,-2.29,-0.2
circumcision,world_regionNorthAmerica,-0.77,-2.2,0.56
circumcision,world_regionOceaniaMAustralia,0.44,-1.2,2.12
circumcision,world_regionSouthAmerica,-0.53,-2.3,1.12
circumcision,world_regionSouthAsia,-0.2,-1.6,1.12
circumcision,world_regionSoutheastAsia,0.09,-1.25,1.31
circumcision,world_regionSouthwestAsia,0.83,-0.11,1.77
dress,Intercept,-1.37,-1.96,-0.76
dress,violent_external,0.83,0.31,1.32
dress,year_scaled,0.1,-0.18,0.4
dress,world_regionCentralEurasia,0.38,-0.74,1.62
dress,world_regionEastAsia,0.45,-0.45,1.26
dress,world_regionEurope,-0.19,-0.94,0.56
dress,world_regionNorthAmerica,0.13,-0.78,1.14
dress,world_regionOceaniaMAustralia,-0.42,-2.23,1.28
dress,world_regionSouthAmerica,1.35,0.1,2.63
dress,world_regionSouthAsia,0.5,-0.39,1.4
dress,world_regionSoutheastAsia,0.36,-0.64,1.33
dress,world_regionSouthwestAsia,-0.2,-1.06,0.73
extra_ritual_group_markers,Intercept,-0.8,-1.35,-0.17
extra_ritual_group_markers,violent_external,1.05,0.56,1.5
extra_ritual_group_markers,year_scaled,0.08,-0.18,0.36
extra_ritual_group_markers,world_regionCentralEurasia,-0.03,-1.19,1.17
extra_ritual_group_markers,world_regionEastAsia,0.36,-0.47,1.17
extra_ritual_group_markers,world_regionEurope,-0.09,-0.78,0.57
extra_ritual_group_markers,world_regionNorthAmerica,0.28,-0.55,1.17
extra_ritual_group_markers,world_regionOceaniaMAustralia,0.81,-0.54,2.26
extra_ritual_group_markers,world_regionSouthAmerica,1.3,0.15,2.51
extra_ritual_group_markers,world_regionSouthAsia,0.42,-0.4,1.28
extra_ritual_group_markers,world_regionSoutheastAsia,0.4,-0.53,1.36
extra_ritual_group_markers,world_regionSouthwestAsia,0.12,-0.73,0.83
food_taboos,Intercept,-1.57,-2.28,-0.83
food_taboos,violent_external,1.13,0.6,1.65
food_taboos,year_scaled,0.03,-0.29,0.35
food_taboos,world_regionCentralEurasia,-0.34,-1.77,0.93
food_taboos,world_regionEastAsia,0.47,-0.5,1.39
food_taboos,world_regionEurope,-0.46,-1.26,0.31
food_taboos,world_regionNorthAmerica,0.36,-0.6,1.31
food_taboos,world_regionOceaniaMAustralia,0.03,-1.64,1.68
food_taboos,world_regionSouthAmerica,0.76,-0.63,2.1
food_taboos,world_regionSouthAsia,0.37,-0.61,1.33
food_taboos,world_regionSoutheastAsia,0.37,-0.74,1.37
food_taboos,world_regionSouthwestAsia,0.22,-0.67,1.02
hair,Intercept,-1.8,-2.52,-1.12
hair,violent_external,1,0.41,1.56
hair,year_scaled,-0.04,-0.38,0.28
hair,world_regionCentralEurasia,0.02,-1.28,1.3
hair,world_regionEastAsia,0.71,-0.23,1.59
hair,world_regionEurope,-0.49,-1.3,0.32
hair,world_regionNorthAmerica,0.23,-0.78,1.25
hair,world_regionOceaniaMAustralia,0.36,-1.39,1.95
hair,world_regionSouthAmerica,1.23,-0.05,2.52
hair,world_regionSouthAsia,0.47,-0.47,1.43
hair,world_regionSoutheastAsia,0.06,-1.09,1.12
hair,world_regionSouthwestAsia,-0.82,-1.87,0.24
ornaments,Intercept,-1.69,-2.27,-1.11
ornaments,violent_external,0.8,0.26,1.36
ornaments,year_scaled,-0.09,-0.39,0.22
ornaments,world_regionCentralEurasia,-0.64,-2.04,0.61
ornaments,world_regionEastAsia,0.13,-0.75,1.03
ornaments,world_regionEurope,-0.71,-1.56,0.11
ornaments,world_regionNorthAmerica,-0.18,-1.29,0.82
ornaments,world_regionOceaniaMAustralia,0.71,-0.88,2.22
ornaments,world_regionSouthAmerica,1.62,0.42,2.88
ornaments,world_regionSouthAsia,0.68,-0.21,1.54
ornaments,world_regionSoutheastAsia,0.86,-0.08,1.84
ornaments,world_regionSouthwestAsia,-0.97,-2.04,0.07
permanent_scarring,Intercept,-3.1,-3.92,-2.36
permanent_scarring,violent_external,1.22,0.54,1.91
permanent_scarring,year_scaled,-0.23,-0.58,0.14
permanent_scarring,world_regionCentralEurasia,-0.7,-2.27,0.96
permanent_scarring,world_regionEastAsia,-0.08,-1.32,1.13
permanent_scarring,world_regionEurope,-0.35,-1.33,0.54
permanent_scarring,world_regionNorthAmerica,0.32,-0.84,1.37
permanent_scarring,world_regionOceaniaMAustralia,1.14,-0.28,2.49
permanent_scarring,world_regionSouthAmerica,1.27,0.09,2.38
permanent_scarring,world_regionSouthAsia,0.54,-0.53,1.57
permanent_scarring,world_regionSoutheastAsia,0.11,-1.14,1.24
permanent_scarring,world_regionSouthwestAsia,0.36,-0.62,1.33
tattoos_scarification,Intercept,-2.53,-3.21,-1.85
tattoos_scarification,violent_external,0.91,0.18,1.59
tattoos_scarification,year_scaled,-0.01,-0.42,0.39
tattoos_scarification,world_regionCentralEurasia,-0.75,-2.28,0.76
tattoos_scarification,world_regionEastAsia,0.36,-0.69,1.4
tattoos_scarification,world_regionEurope,-1.69,-3,-0.49
tattoos_scarification,world_regionNorthAmerica,0.06,-1.11,1.2
tattoos_scarification,world_regionOceaniaMAustralia,1.64,0.2,3.03
tattoos_scarification,world_regionSouthAmerica,1.52,0.12,2.74
tattoos_scarification,world_regionSouthAsia,0.06,-1.04,1.08
tattoos_scarification,world_regionSoutheastAsia,0.55,-0.6,1.53
tattoos_scarification,world_regionSouthwestAsia,-1.09,-2.39,0.1
