marker,parameter,rhat,ess_bulk,ess_tail
circumcision,Intercept,1,3784.28,3840.87
circumcision,violent_external,1,3965.23,3925.33
dress,Intercept,1,4868.65,4156.98
dress,violent_external,1,5114,4399.92
extra_ritual_group_markers,Intercept,1,5394.4,4741.27
extra_ritual_group_markers,violent_external,1,5913.67,4399.73
food_taboos,Intercept,1,4583.21,3722.69
food_taboos,violent_external,1,4988.34,4314.88
hair,Intercept,1,4625.79,4432.14
hair,violent_external,1,4781.56,4712.69
ornaments,Intercept,1,4897.36,3760.12
ornaments,violent_external,1,5389,4596.14
permanent_scarring,Intercept,1,3526.74,3403.32
permanent_scarring,violent_external,1,3801.83,3844.6
tattoos_scarification,Intercept,1,4120.86,3793.97
tattoos_scarification,violent_external,1,4578.28,4688.88
