marker,parameter,median,lo95,hi95
circumcision,Intercept,-1.97,-2.36,-1.57
circumcision,violent_external,1.05,0.55,1.58
dress,Intercept,-1.22,-1.55,-0.92
dress,violent_external,0.68,0.24,1.14
extra_ritual_group_markers,Intercept,-0.74,-1.01,-0.46
extra_ritual_group_markers,violent_external,0.97,0.57,1.37
food_taboos,Intercept,-1.42,-1.75,-1.09
food_taboos,violent_external,1.05,0.59,1.5
hair,Intercept,-1.64,-1.99,-1.29
hair,violent_external,0.72,0.22,1.21
ornaments,Intercept,-1.65,-2.01,-1.31
ornaments,violent_external,0.61,0.08,1.09
permanent_scarring,Intercept,-2.86,-3.43,-2.38
permanent_scarring,violent_external,1.21,0.56,1.84
tattoos_scarification,Intercept,-2.56,-3.07,-2.1
tattoos_scarification,violent_external,0.77,0.12,1.42
