entry_id,violent_external,extra_ritual_group_markers,year_scaled,world_region,ID,tip_name
174,1,0,-0.8744686668892854,Southwest Asia,CLASSICAL_SYRIAC,AA.SEMITIC.CLASSICAL_SYRIAC
180,0,1,-1.2223973550889755,East Asia,OLD_CHINESE,ST.CHINESE.OLD_CHINESE
212,0,0,-1.336344000474374,East Asia,OLD_CHINESE,ST.CHINESE.OLD_CHINESE
230,1,0,-3.78837143056169,Southwest Asia,AKKADIAN,AA.SEMITIC.AKKADIAN
231,0,0,-1.4398527852137817,Europe,CORSICAN,IE.ROMANCE.CORSICAN
284,0,1,-3.9623357746615353,Oceania-Australia,DHUWAL,Aus.PAMA_NYUNGAN.DHUWAL
354,0,0,-1.205000920678991,Southwest Asia,AKKADIAN,AA.SEMITIC.AKKADIAN
381,0,0,0.3598083544991152,South Asia,PUNJABI_MAJHI,IE.INDIC.PUNJABI_MAJHI
389,0,0,0.6825122128043278,Southeast Asia,IBAN,An.MALAYO_SUMBAWAN.IBAN
392,1,1,0.4789739302075091,South Asia,PUNJABI_MAJHI,IE.INDIC.PUNJABI_MAJHI
400,0,0,0.8042872536742193,Southeast Asia,ENGLISH,IE.GERMANIC.ENGLISH
415,0,1,0.7955890364692271,South Asia,HINDI,IE.INDIC.HINDI
419,0,0,0.7955890364692271,South Asia,ORIYA,IE.INDIC.ORIYA
424,1,0,-1.3963616991888206,Southwest Asia,ACHAEMENID_ARAMAIC,AA.SEMITIC.ACHAEMENID_ARAMAIC
441,0,0,0.552038954729444,South Asia,HINDI,IE.INDIC.HINDI
456,0,1,-1.0614803367966188,Southwest Asia,BIBLICAL_HEBREW,AA.SEMITIC.BIBLICAL_HEBREW
469,0,0,0.7486186635622689,East Asia,KOREAN,Kor.KOREAN.KOREAN
476,1,1,-0.0481380324150213,Southeast Asia,CHAM_EASTERN,An.MALAYO_SUMBAWAN.CHAM_EASTERN
483,0,1,0.8347310138916922,Europe,ENGLISH,IE.GERMANIC.ENGLISH
484,0,0,0.8347310138916922,Europe,ENGLISH,IE.GERMANIC.ENGLISH
485,1,1,-0.483048892664634,Europe,LULE_SAAMI,Ura.SAAMI.LULE_SAAMI
486,0,0,0.6738139955993355,North America,ENGLISH,IE.GERMANIC.ENGLISH
490,0,1,0.1780156149147771,Europe,LATIN,IE.ROMANCE.LATIN
492,1,1,-1.6138171293136268,Europe,LATIN,IE.ROMANCE.LATIN
525,0,0,0.7790624237797418,Africa,ENGLISH,IE.GERMANIC.ENGLISH
534,1,0,-0.954492265175214,Europe,LATIN,IE.ROMANCE.LATIN
563,0,0,0.6868613214068239,South Asia,HINDI,IE.INDIC.HINDI
564,1,1,0.7781926020592426,South Asia,NEPALI,IE.INDIC.NEPALI
567,0,0,0.8225535098047031,Europe,ENGLISH,IE.GERMANIC.ENGLISH
570,1,0,0.8095061839972146,Southeast Asia,ENGLISH,IE.GERMANIC.ENGLISH
580,0,1,0.5607371719344363,South Asia,URDU,IE.INDIC.URDU
581,0,1,0.7955890364692271,Southeast Asia,MENTAWAI,An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.MENTAWAI
590,0,0,-0.3351792001797657,East Asia,MIDDLE_CHINESE,ST.CHINESE.MIDDLE_CHINESE
592,0,1,0.1258263116848236,South Asia,URDU,IE.INDIC.URDU
604,0,1,0.726003298829289,Africa,BAMBARA,Man.WESTERN_MANDE.BAMBARA
623,0,1,0.7286127639907868,North America,ENGLISH,IE.GERMANIC.ENGLISH
629,0,0,0.1258263116848236,South Asia,NEPALI,IE.INDIC.NEPALI
630,1,1,0.7225240119472922,Oceania-Australia,ALYAWARR_ALYAWARA,Aus.PAMA_NYUNGAN.ALYAWARR_ALYAWARA
632,1,0,-1.483343871238743,Europe,GREEK_ANCIENT,IE.GREEK.GREEK_ANCIENT
633,0,0,0.1588795370637942,South Asia,KONKANI,IE.INDIC.KONKANI
645,0,1,0.0388441396349011,South Asia,HINDI,IE.INDIC.HINDI
649,0,0,-0.3090845485647889,South Asia,TAMIL,Dra.SOUTHERN_DRAVIDIAN.TAMIL
654,1,1,0.1240866682438252,Europe,LATIN,IE.ROMANCE.LATIN
667,0,1,0.6955595386118162,East Asia,NINILCHIK_RUSSIAN,IE.SLAVIC.NINILCHIK_RUSSIAN
676,0,1,0.1240866682438252,Europe,LATIN,IE.ROMANCE.LATIN
680,0,0,0.69121043000932,South Asia,URDU,IE.INDIC.URDU
685,0,1,0.7694943848542504,Southeast Asia,SIBUTU_SOUTHERN_SAMA,An.SAMA_BAJAW.SIBUTU_SOUTHERN_SAMA
688,0,0,0.7051275775373077,South Asia,KONKANI,IE.INDIC.KONKANI
690,0,0,0.7173050816242968,South Asia,KONKANI,IE.INDIC.KONKANI
711,1,1,0.745139376680272,Oceania-Australia,KWOMA,Sep.MIDDLE_SEPIK.KWOMA
714,0,1,-0.4395578066396727,South Asia,TAMIL,Dra.SOUTHERN_DRAVIDIAN.TAMIL
726,0,1,-1.5268349572637043,South Asia,SANSKRIT,IE.INDIC.SANSKRIT
727,1,1,0.0910334428648546,Southeast Asia,CHRU,An.MALAYO_SUMBAWAN.CHRU
729,1,1,0.7303524074317852,Africa,GIKUYU,NC.BANTOID.GIKUYU
732,1,1,0.6477193439843588,Oceania-Australia,NORTH_MARQUESAN,An.OCEANIC.NORTH_MARQUESAN
739,1,0,0.7216541902267929,Oceania-Australia,MAUTUTU,An.OCEANIC.MAUTUTU
745,1,1,0.6999086472143123,Oceania-Australia,HALIA,An.OCEANIC.HALIA
749,0,1,0.6477193439843588,East Asia,KOREAN,Kor.KOREAN.KOREAN
