entry_id,violent_external,food_taboos,year_scaled,world_region,tip_name,ID,Glottocode
567,0,0,0.7753559582861331,Europe,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
570,1,0,0.7614568024418903,Southeast Asia,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
580,0,0,0.4964462310116612,South Asia,IE.INDIC.URDU,URDU,urdu1245
581,0,1,0.7466310362080314,Southeast Asia,An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.MENTAWAI,MENTAWAI,ment1249
590,0,0,-0.4579624702930099,East Asia,ST.CHINESE.MIDDLE_CHINESE,MIDDLE_CHINESE,midd1344
592,0,1,0.0331410362035684,South Asia,IE.INDIC.URDU,URDU,urdu1245
623,0,0,0.6752820362075851,North America,IE.INDIC.HINDI,HINDI,hind1269
629,0,0,0.0331410362035684,South Asia,IE.INDIC.NEPALI,NEPALI,nepa1254
632,1,0,-1.681088184586375,Europe,IE.GREEK.GREEK_ANCIENT,GREEK_ANCIENT,anci1242
633,0,0,0.0683522310089835,South Asia,IE.INDIC.KONKANI,KONKANI,konk1267
645,0,1,-0.0595200027580501,South Asia,IE.INDIC.URDU,URDU,urdu1245
649,0,0,-0.4301641586045243,South Asia,Dra.SOUTHERN_DRAVIDIAN.TAMIL,TAMIL,tami1289
654,1,1,0.031287815424336,Europe,IE.ROMANCE.LATIN,LATIN,lati1261
676,0,1,0.031287815424336,Europe,IE.ROMANCE.LATIN,LATIN,lati1261
680,0,0,0.6354377894540891,South Asia,IE.INDIC.URDU,URDU,urdu1245
685,0,0,0.7188327245195458,Southeast Asia,An.SAMA_BAJAW.SIBUTU_SOUTHERN_SAMA,SIBUTU_SOUTHERN_SAMA,sout2918
688,0,0,0.650263555687948,South Asia,IE.INDIC.KONKANI,KONKANI,konk1267
690,0,0,0.6632361011425747,South Asia,IE.INDIC.KONKANI,KONKANI,konk1267
714,0,1,-0.5691557170469522,South Asia,Dra.SOUTHERN_DRAVIDIAN.TAMIL,TAMIL,tami1289
726,0,1,-1.7274187040671842,South Asia,IE.INDIC.SANSKRIT,SANSKRIT,sans1269
727,1,1,-0.0039233793810789,Southeast Asia,An.MALAYO_SUMBAWAN.CHRU,CHRU,chru1239
739,1,0,0.6678691530906555,Oceania-Australia,An.OCEANIC.MAUTUTU,MAUTUTU,naka1262
745,1,0,0.6447038933502509,Oceania-Australia,An.OCEANIC.HALIA,HALIA,hali1244
749,0,1,0.5891072699732798,East Asia,Kor.KOREAN.KOREAN,KOREAN,kore1280
755,1,1,0.6354377894540891,Central Eurasia,Alt.TURKIC.UYGHUR,UYGHUR,uigh1240
770,1,0,0.700300516727222,Southeast Asia,TK.KAM_TAI.LAMPANG_THAI,LAMPANG_THAI,nort2740
788,0,0,-2.468707015760133,Southwest Asia,AA.SEMITIC.UGARITIC,UGARITIC,ugar1238
794,1,1,0.6261716855579272,North America,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
834,0,0,0.7577503608834256,Southeast Asia,AuA.VIET_MUONG.VIETNAMESE_3,VIETNAMESE_3,viet1252
841,0,0,-0.0845384832776871,South Asia,ST.BODIC.TIBETAN_WRITTEN,TIBETAN_WRITTEN,tibe1272
842,0,0,0.5242445427001469,North America,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
846,0,1,-0.4811277300334146,East Asia,ST.CHINESE.MIDDLE_CHINESE,MIDDLE_CHINESE,midd1344
848,0,1,-1.2641135092590914,Southwest Asia,AA.SEMITIC.ACHAEMENID_ARAMAIC,ACHAEMENID_ARAMAIC,jewi1240
849,0,0,0.5427767504924705,North America,Iro.NORTHERN_IROQUOIAN.SENECA,SENECA,sene1264
850,1,1,-1.6347576651055655,Europe,Aus.PAMA_NYUNGAN.DJADJALA,DJADJALA,
851,1,1,0.6808416985452822,North America,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
854,1,1,-1.4494355871823286,Europe,IE.CELTIC.OLD_IRISH,OLD_IRISH,oldi1245
857,0,0,0.5316574258170763,Africa,IE.ROMANCE.SPANISH,SPANISH,stan1288
858,1,1,-0.9259007170491836,Europe,AA.SEMITIC.CLASSICAL_SYRIAC,CLASSICAL_SYRIAC,clas1252
859,0,0,-0.9536990287376692,Europe,AA.SEMITIC.ACHAEMENID_ARAMAIC,ACHAEMENID_ARAMAIC,jewi1240
862,0,0,0.6882545816622117,South Asia,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
863,0,1,-1.5884271456247565,Europe,AA.SEMITIC.ACHAEMENID_ARAMAIC,ACHAEMENID_ARAMAIC,jewi1240
867,0,0,0.0331410362035684,South Asia,ST.BODIC.TIBETAN_WRITTEN,TIBETAN_WRITTEN,tibe1272
871,0,0,0.6335845686748567,Europe,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
877,0,0,0.7642366336107389,Southeast Asia,TK.KAM_TAI.THAI_3,THAI_3,thai1261
880,1,1,0.6539699972464128,Southwest Asia,AA.SEMITIC.YEMEN_SANAANI_ARABIC,YEMEN_SANAANI_ARABIC,sana1295
882,0,0,-1.4957661066631378,Europe,AA.SEMITIC.ACHAEMENID_ARAMAIC,ACHAEMENID_ARAMAIC,jewi1240
883,0,0,0.7271722180260914,Central Eurasia,ST.CHINESE.KUNMING_MANDARIN,KUNMING_MANDARIN,mand1415
885,0,1,0.7373649323118695,Africa,NC.KWA.FONGBE,FONGBE,fonn1241
886,0,1,0.7651632440003551,Europe,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
891,0,1,0.7336584907534047,South America,IE.ROMANCE.SPANISH,SPANISH,stan1288
892,0,0,0.7373649323118695,North America,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
897,0,1,0.7077133998441516,East Asia,Kor.KOREAN.KOREAN,KOREAN,kore1280
900,1,1,-1.217782989778282,Southwest Asia,AA.SEMITIC.ACHAEMENID_ARAMAIC,ACHAEMENID_ARAMAIC,jewi1240
906,0,0,0.740144763480718,Europe,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
910,0,0,0.744777815428799,North America,IE.ROMANCE.PORTUGUESE,PORTUGUESE,port1283
914,0,0,0.0868844388013072,Africa,IE.ROMANCE.SPANISH,SPANISH,stan1288
919,0,0,0.769796295948436,Europe,IE.SLAVIC.CROATIAN,CROATIAN,croa1245
921,0,1,0.4964462310116612,South Asia,IE.INDIC.HINDI,HINDI,hind1269
924,1,1,0.6382176206229376,Africa,AA.SEMITIC.ARABIC_QURANIC,ARABIC_QURANIC,stan1318
927,1,1,-1.0787914313358542,Southwest Asia,AA.SEMITIC.ACHAEMENID_ARAMAIC,ACHAEMENID_ARAMAIC,jewi1240
928,0,0,0.6447038933502509,North America,Sio.SIOUAN.LAKHOTA,LAKHOTA,lako1247
931,1,0,0.385252984257719,Europe,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
933,0,0,-0.9453595352311236,Europe,AA.SEMITIC.ACHAEMENID_ARAMAIC,ACHAEMENID_ARAMAIC,jewi1240
935,1,0,0.6910344128310603,Africa,NC.DEFOID.YORUBA,YORUBA,yoru1245
938,1,0,-2.561368054721751,Southwest Asia,AA.SEMITIC.UGARITIC,UGARITIC,ugar1238
940,1,0,-1.107516353413956,Europe,IE.ROMANCE.LATIN,LATIN,lati1261
941,0,1,0.4037851920500427,East Asia,UA.AZTECAN.NAHUATL_ZAHUASTIPAN_SAN_AUGUSTIN_METZQUITITLAN,NAHUATL_ZAHUASTIPAN_SAN_AUGUSTIN_METZQUITITLAN,
942,0,0,0.6039330362071388,Africa,IE.ROMANCE.PORTUGUESE,PORTUGUESE,port1283
943,1,0,0.5446299712717029,North America,EA.ESKIMO.INUKTITUT_EASTERN_CANADIAN,INUKTITUT_EASTERN_CANADIAN,east2534
944,1,0,0.4223173998423664,Europe,IE.SLAVIC.POLISH,POLISH,poli1260
946,1,0,-0.4301641586045243,South Asia,ST.BODIC.LHASA_TIBETAN,LHASA_TIBETAN,tibe1272
949,0,0,0.740144763480718,North America,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
950,0,0,0.4519689323100843,Africa,NC.BANTOID.PEMBA,PEMBA,swah1253
952,0,1,0.7558971401041932,Southwest Asia,AA.SEMITIC.AMHARIC,AMHARIC,amha1245
953,0,0,0.7512640881561122,South Asia,IE.INDIC.URDU,URDU,urdu1245
957,0,0,-1.8200797430288027,Europe,UA.AZTECAN.NAHUATL_SAN_FRANCISCO_TLALNEPANTLA,NAHUATL_SAN_FRANCISCO_TLALNEPANTLA,
958,1,0,0.3481885686730716,Europe,IE.ROMANCE.LATIN,LATIN,lati1261
960,0,0,-0.1521810417196686,South Asia,ST.BODIC.LHASA_TIBETAN,LHASA_TIBETAN,tibe1272
961,0,0,0.6678691530906555,Europe,IE.ROMANCE.ROMANIAN,ROMANIAN,roma1327
