entry_id,violent_external,extra_ritual_group_markers,year_scaled,world_region,tip_name,ID,Glottocode
174,1,0,-0.8744686668892854,Southwest Asia,AA.SEMITIC.CLASSICAL_SYRIAC,CLASSICAL_SYRIAC,clas1252
180,0,1,-1.2223973550889755,East Asia,ST.CHINESE.OLD_CHINESE,OLD_CHINESE,oldc1244
212,0,0,-1.336344000474374,East Asia,ST.CHINESE.OLD_CHINESE,OLD_CHINESE,oldc1244
230,1,0,-3.78837143056169,Southwest Asia,AA.SEMITIC.AKKADIAN,AKKADIAN,akka1240
231,0,0,-1.4398527852137817,Europe,IE.ROMANCE.CORSICAN,CORSICAN,cors1241
284,0,1,-3.9623357746615353,Oceania-Australia,Aus.PAMA_NYUNGAN.DHUWAL,DHUWAL,nucl1333
354,0,0,-1.205000920678991,Southwest Asia,AA.SEMITIC.AKKADIAN,AKKADIAN,akka1240
381,0,0,0.3598083544991152,South Asia,IE.INDIC.PUNJABI_MAJHI,PUNJABI_MAJHI,panj1256
389,0,0,0.6825122128043278,Southeast Asia,An.MALAYO_SUMBAWAN.IBAN,IBAN,iban1264
392,1,1,0.4789739302075091,South Asia,IE.INDIC.PUNJABI_MAJHI,PUNJABI_MAJHI,panj1256
400,0,0,0.8042872536742193,Southeast Asia,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
415,0,1,0.7955890364692271,South Asia,IE.INDIC.HINDI,HINDI,hind1269
419,0,0,0.7955890364692271,South Asia,IE.INDIC.ORIYA,ORIYA,oriy1255
422,0,1,-2.2226923336630846,Europe,Aus.PAMA_NYUNGAN.COLAC,COLAC,
424,1,0,-1.3963616991888206,Southwest Asia,AA.SEMITIC.ACHAEMENID_ARAMAIC,ACHAEMENID_ARAMAIC,jewi1240
441,0,0,0.552038954729444,South Asia,IE.INDIC.HINDI,HINDI,hind1269
456,0,1,-1.0614803367966188,Southwest Asia,AA.SEMITIC.BIBLICAL_HEBREW,BIBLICAL_HEBREW,anci1244
469,0,0,0.7486186635622689,East Asia,Kor.KOREAN.KOREAN,KOREAN,kore1280
476,1,1,-0.0481380324150213,Southeast Asia,An.MALAYO_SUMBAWAN.CHAM_EASTERN,CHAM_EASTERN,east2563
483,0,1,0.8347310138916922,Europe,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
484,0,0,0.8347310138916922,Europe,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
485,1,1,-0.483048892664634,Europe,Ura.SAAMI.LULE_SAAMI,LULE_SAAMI,lule1254
486,0,0,0.6738139955993355,North America,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
490,0,1,0.1780156149147771,Europe,IE.ROMANCE.LATIN,LATIN,lati1261
