mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,var_names
-2.299,0.515,-3.335,-1.293,0.009,0.006,3667.0,3938.0,1.0,mu_intercept
1.006,0.473,0.076,1.97,0.007,0.005,5250.0,3633.0,1.0,mu_slope
-1.444,0.323,-2.092,-0.835,0.003,0.003,9093.0,6790.0,1.0,intercepts[0]
-2.359,0.789,-3.886,-0.806,0.008,0.006,10621.0,6527.0,1.0,intercepts[1]
-2.912,0.67,-4.241,-1.666,0.006,0.005,11481.0,6880.0,1.0,intercepts[2]
-3.373,0.656,-4.708,-2.138,0.007,0.005,7611.0,6135.0,1.0,intercepts[3]
-3.175,0.789,-4.71,-1.692,0.008,0.006,9931.0,6360.0,1.0,intercepts[4]
-1.498,0.938,-3.337,0.397,0.01,0.007,8581.0,6130.0,1.0,intercepts[5]
-2.982,1.204,-5.498,-0.864,0.013,0.011,9729.0,6157.0,1.0,intercepts[6]
-2.736,0.595,-3.878,-1.601,0.006,0.004,11274.0,5952.0,1.0,intercepts[7]
-1.797,0.737,-3.349,-0.465,0.01,0.007,6229.0,5892.0,1.0,intercepts[8]
-1.065,0.469,-1.976,-0.144,0.005,0.004,8033.0,6540.0,1.0,intercepts[9]
0.966,0.416,0.114,1.75,0.004,0.003,11264.0,6886.0,1.0,slopes[0]
1.282,0.745,-0.043,2.98,0.009,0.007,6634.0,6093.0,1.0,slopes[1]
1.088,0.712,-0.276,2.643,0.007,0.006,9838.0,6212.0,1.0,slopes[2]
0.782,0.661,-0.707,1.944,0.008,0.006,7017.0,6266.0,1.0,slopes[3]
0.681,0.922,-1.193,2.247,0.012,0.009,6875.0,5701.0,1.0,slopes[4]
0.943,0.767,-0.707,2.472,0.009,0.006,8520.0,5307.0,1.0,slopes[5]
0.903,0.917,-1.074,2.666,0.011,0.009,8706.0,5085.0,1.0,slopes[6]
0.857,0.686,-0.617,2.13,0.008,0.006,8832.0,6542.0,1.0,slopes[7]
1.502,0.78,0.197,3.171,0.012,0.009,4303.0,5459.0,1.0,slopes[8]
1.165,0.513,0.18,2.22,0.006,0.004,8801.0,6635.0,1.0,slopes[9]
