mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,var_names
-0.671,0.202,-1.081,-0.289,0.003,0.002,4908.0,4048.0,1.0,mu_intercept
1.256,0.393,0.56,2.085,0.007,0.005,3287.0,3499.0,1.0,mu_slope
-0.808,0.224,-1.265,-0.386,0.003,0.002,7957.0,5944.0,1.0,intercepts[0]
-0.689,0.317,-1.342,-0.022,0.004,0.003,7940.0,5321.0,1.0,intercepts[1]
-0.579,0.262,-1.059,-0.017,0.003,0.002,6008.0,6764.0,1.0,intercepts[2]
-0.857,0.265,-1.392,-0.347,0.004,0.003,5385.0,6271.0,1.0,intercepts[3]
-0.795,0.27,-1.372,-0.299,0.003,0.002,8949.0,6373.0,1.0,intercepts[4]
-0.548,0.412,-1.231,0.369,0.006,0.004,4966.0,5331.0,1.0,intercepts[5]
-0.523,0.405,-1.225,0.348,0.006,0.004,4545.0,5978.0,1.0,intercepts[6]
-0.599,0.257,-1.071,-0.056,0.003,0.002,6489.0,6284.0,1.0,intercepts[7]
-0.621,0.324,-1.192,0.109,0.004,0.003,5714.0,6065.0,1.0,intercepts[8]
-0.735,0.267,-1.274,-0.211,0.003,0.002,8698.0,6761.0,1.0,intercepts[9]
0.925,0.353,0.204,1.577,0.004,0.003,8851.0,7132.0,1.0,slopes[0]
1.195,0.598,0.044,2.469,0.007,0.005,8340.0,6359.0,1.0,slopes[1]
1.448,0.67,0.248,2.865,0.009,0.006,5988.0,5923.0,1.0,slopes[2]
0.544,0.434,-0.292,1.373,0.007,0.005,4322.0,4960.0,1.0,slopes[3]
1.329,0.539,0.391,2.52,0.007,0.005,6712.0,6226.0,1.0,slopes[4]
1.442,0.682,0.26,2.902,0.009,0.007,5524.0,5789.0,1.0,slopes[5]
1.707,0.869,0.357,3.518,0.014,0.01,4113.0,5447.0,1.0,slopes[6]
1.252,0.519,0.255,2.307,0.006,0.004,8072.0,6426.0,1.0,slopes[7]
1.606,0.63,0.548,2.919,0.01,0.007,3934.0,6028.0,1.0,slopes[8]
1.074,0.402,0.279,1.891,0.004,0.003,9225.0,6791.0,1.0,slopes[9]
