marker,parameter,median,lo95,hi95
circumcision,Intercept,-1.86,-2.92,-0.88
circumcision,violent_external,0.84,0.15,1.53
circumcision,year_scaled,0.17,-0.25,0.59
circumcision,world_regionCentralEurasia,-0.06,-1.55,1.44
circumcision,world_regionEastAsia,-0.74,-2,0.56
circumcision,world_regionEurope,-1.08,-2.12,-0.01
circumcision,world_regionNorthAmerica,-0.67,-2.04,0.68
circumcision,world_regionOceaniaMAustralia,0.16,-1.55,1.87
circumcision,world_regionSouthAmerica,-0.32,-2.06,1.4
circumcision,world_regionSouthAsia,-0.05,-1.39,1.35
circumcision,world_regionSoutheastAsia,0.2,-1.08,1.53
circumcision,world_regionSouthwestAsia,0.88,-0.05,1.86
dress,Intercept,-1.38,-1.98,-0.77
dress,violent_external,0.69,0.16,1.2
dress,year_scaled,0.06,-0.26,0.35
dress,world_regionCentralEurasia,0.46,-0.7,1.63
dress,world_regionEastAsia,0.48,-0.38,1.32
dress,world_regionEurope,-0.12,-0.87,0.62
dress,world_regionNorthAmerica,0.08,-0.94,0.99
dress,world_regionOceaniaMAustralia,-0.42,-2.14,1.36
dress,world_regionSouthAmerica,0.96,-0.54,2.35
dress,world_regionSouthAsia,0.55,-0.35,1.4
dress,world_regionSoutheastAsia,0.49,-0.49,1.48
dress,world_regionSouthwestAsia,-0.15,-1.08,0.73
extra_ritual_group_markers,Intercept,-0.94,-1.53,-0.37
extra_ritual_group_markers,violent_external,0.86,0.39,1.36
extra_ritual_group_markers,year_scaled,-0.02,-0.29,0.24
extra_ritual_group_markers,world_regionCentralEurasia,0.14,-1.07,1.31
extra_ritual_group_markers,world_regionEastAsia,0.4,-0.46,1.18
extra_ritual_group_markers,world_regionEurope,0.06,-0.63,0.73
extra_ritual_group_markers,world_regionNorthAmerica,0.21,-0.69,1.12
extra_ritual_group_markers,world_regionOceaniaMAustralia,0.39,-1.17,1.95
extra_ritual_group_markers,world_regionSouthAmerica,1.04,-0.27,2.37
extra_ritual_group_markers,world_regionSouthAsia,0.5,-0.38,1.34
extra_ritual_group_markers,world_regionSoutheastAsia,0.52,-0.45,1.51
extra_ritual_group_markers,world_regionSouthwestAsia,0.19,-0.58,1.02
food_taboos,Intercept,-1.63,-2.39,-0.91
food_taboos,violent_external,0.92,0.38,1.46
food_taboos,year_scaled,-0.04,-0.36,0.28
food_taboos,world_regionCentralEurasia,-0.24,-1.59,1.09
food_taboos,world_regionEastAsia,0.54,-0.42,1.46
food_taboos,world_regionEurope,-0.36,-1.18,0.38
food_taboos,world_regionNorthAmerica,0.11,-0.98,1.08
food_taboos,world_regionOceaniaMAustralia,0.04,-1.56,1.68
food_taboos,world_regionSouthAmerica,0.07,-1.48,1.6
food_taboos,world_regionSouthAsia,0.47,-0.54,1.44
food_taboos,world_regionSoutheastAsia,0.54,-0.53,1.58
food_taboos,world_regionSouthwestAsia,0.23,-0.64,1.1
hair,Intercept,-1.85,-2.57,-1.18
hair,violent_external,0.66,0.03,1.23
hair,year_scaled,-0.13,-0.45,0.2
hair,world_regionCentralEurasia,0.19,-1.15,1.36
hair,world_regionEastAsia,0.79,-0.15,1.69
hair,world_regionEurope,-0.32,-1.12,0.51
hair,world_regionNorthAmerica,-0.16,-1.32,0.97
hair,world_regionOceaniaMAustralia,0.37,-1.47,1.96
hair,world_regionSouthAmerica,0.61,-0.93,2.04
hair,world_regionSouthAsia,0.58,-0.35,1.56
hair,world_regionSoutheastAsia,0.3,-0.79,1.37
hair,world_regionSouthwestAsia,-0.69,-1.78,0.3
ornaments,Intercept,-1.83,-2.45,-1.25
ornaments,violent_external,0.49,-0.12,1.08
ornaments,year_scaled,-0.23,-0.54,0.09
ornaments,world_regionCentralEurasia,-0.46,-1.87,0.87
ornaments,world_regionEastAsia,0.14,-0.83,1.02
ornaments,world_regionEurope,-0.49,-1.34,0.4
ornaments,world_regionNorthAmerica,-0.18,-1.3,0.94
ornaments,world_regionOceaniaMAustralia,0.78,-0.9,2.28
ornaments,world_regionSouthAmerica,1.15,-0.29,2.63
ornaments,world_regionSouthAsia,0.9,0.02,1.76
ornaments,world_regionSoutheastAsia,1.02,0.02,2
ornaments,world_regionSouthwestAsia,-0.79,-1.85,0.31
permanent_scarring,Intercept,-3.34,-4.12,-2.5
permanent_scarring,violent_external,1.21,0.48,1.96
permanent_scarring,year_scaled,-0.3,-0.67,0.06
permanent_scarring,world_regionCentralEurasia,-0.55,-2.17,1
permanent_scarring,world_regionEastAsia,0.08,-1.26,1.32
permanent_scarring,world_regionEurope,-0.14,-1.12,0.82
permanent_scarring,world_regionNorthAmerica,0.82,-0.37,1.99
permanent_scarring,world_regionOceaniaMAustralia,1.6,-0,3.13
permanent_scarring,world_regionSouthAmerica,0.31,-1.31,1.89
permanent_scarring,world_regionSouthAsia,0.86,-0.26,2.01
permanent_scarring,world_regionSoutheastAsia,0.34,-0.94,1.6
permanent_scarring,world_regionSouthwestAsia,0.56,-0.4,1.55
tattoos_scarification,Intercept,-2.71,-3.47,-1.97
tattoos_scarification,violent_external,0.31,-0.55,1.06
tattoos_scarification,year_scaled,-0.27,-0.68,0.18
tattoos_scarification,world_regionCentralEurasia,-0.52,-2.17,1.07
tattoos_scarification,world_regionEastAsia,0.37,-0.74,1.45
tattoos_scarification,world_regionEurope,-1.41,-2.81,-0.16
tattoos_scarification,world_regionNorthAmerica,0.09,-1.17,1.4
tattoos_scarification,world_regionOceaniaMAustralia,1.12,-0.51,2.77
tattoos_scarification,world_regionSouthAmerica,0.53,-1.25,2.21
tattoos_scarification,world_regionSouthAsia,0.41,-0.73,1.58
tattoos_scarification,world_regionSoutheastAsia,1.06,-0.13,2.16
tattoos_scarification,world_regionSouthwestAsia,-0.87,-2.15,0.4
