marker,parameter,median,lo95,hi95
circumcision,Intercept,-2.4,-3.71,-1.25
circumcision,violent_internal,0.48,-0.51,1.45
circumcision,year_scaled,0.01,-0.62,0.61
circumcision,world_regionCentralEurasia,-0.31,-2.22,1.35
circumcision,world_regionEastAsia,-0.71,-2.08,0.7
circumcision,world_regionEurope,-0.73,-2.14,0.63
circumcision,world_regionNorthAmerica,-0.67,-2.29,0.89
circumcision,world_regionOceaniaMAustralia,0.65,-1.2,2.49
circumcision,world_regionSouthAmerica,-0.26,-1.98,1.49
circumcision,world_regionSouthAsia,0.24,-1.46,1.79
circumcision,world_regionSoutheastAsia,-0.59,-2.2,1.15
circumcision,world_regionSouthwestAsia,0.39,-0.93,1.71
dress,Intercept,-1.3,-1.98,-0.62
dress,violent_internal,-0.28,-1.1,0.45
dress,year_scaled,-0.02,-0.41,0.39
dress,world_regionCentralEurasia,0.11,-1.3,1.52
dress,world_regionEastAsia,0.29,-0.64,1.24
dress,world_regionEurope,-0.04,-1.08,0.87
dress,world_regionNorthAmerica,-0.48,-1.77,0.76
dress,world_regionOceaniaMAustralia,-0.22,-2.07,1.63
dress,world_regionSouthAmerica,0.87,-0.51,2.37
dress,world_regionSouthAsia,0.6,-0.39,1.65
dress,world_regionSoutheastAsia,-0.42,-1.9,1.01
dress,world_regionSouthwestAsia,-0.29,-1.63,0.97
extra_ritual_group_markers,Intercept,-0.88,-1.55,-0.24
extra_ritual_group_markers,violent_internal,0.12,-0.56,0.79
extra_ritual_group_markers,year_scaled,-0.16,-0.52,0.22
extra_ritual_group_markers,world_regionCentralEurasia,-0.03,-1.46,1.34
extra_ritual_group_markers,world_regionEastAsia,0.15,-0.77,1.03
extra_ritual_group_markers,world_regionEurope,0.22,-0.62,1.12
extra_ritual_group_markers,world_regionNorthAmerica,-0.42,-1.58,0.68
extra_ritual_group_markers,world_regionOceaniaMAustralia,0.43,-1.33,2.31
extra_ritual_group_markers,world_regionSouthAmerica,0.86,-0.48,2.23
extra_ritual_group_markers,world_regionSouthAsia,0.43,-0.55,1.41
extra_ritual_group_markers,world_regionSoutheastAsia,-0.66,-2.08,0.65
extra_ritual_group_markers,world_regionSouthwestAsia,-0.21,-1.39,0.93
food_taboos,Intercept,-1.74,-2.44,-1.09
food_taboos,violent_internal,0.48,-0.26,1.2
food_taboos,year_scaled,-0.22,-0.65,0.16
food_taboos,world_regionCentralEurasia,-0.55,-2.22,1.02
food_taboos,world_regionEastAsia,0.35,-0.65,1.3
food_taboos,world_regionEurope,0.09,-0.84,1.02
food_taboos,world_regionNorthAmerica,-0.61,-1.97,0.61
food_taboos,world_regionOceaniaMAustralia,0.54,-1.31,2.28
food_taboos,world_regionSouthAmerica,0.15,-1.51,1.73
food_taboos,world_regionSouthAsia,0.41,-0.53,1.48
food_taboos,world_regionSoutheastAsia,-0.29,-1.72,1.14
food_taboos,world_regionSouthwestAsia,0.21,-0.94,1.41
hair,Intercept,-1.72,-2.54,-1.02
hair,violent_internal,-0.21,-1.1,0.66
hair,year_scaled,-0.33,-0.75,0.1
hair,world_regionCentralEurasia,-0.07,-1.62,1.36
