Marker,N,Intercept,violent_external,year_scaled
Circumcision,142,"-0.44 [-1.77, 0.95]","0.26 [-0.62, 1.16]","-0.04 [-0.59, 0.48]"
Tattoos/Scarification,138,"-1.05 [-2.34, 0.33]","0.31 [-0.51, 1.16]","-0.16 [-0.74, 0.40]"
Dress,136,"1.16 [0.53, 1.81]","-0.02 [-0.77, 0.74]","0.19 [-0.20, 0.56]"
Food Taboos,141,"0.75 [0.16, 1.38]","0.59 [-0.11, 1.31]","-0.36 [-0.87, 0.09]"
Hair,133,"0.25 [-0.43, 0.94]","0.19 [-0.51, 0.91]","-0.11 [-0.52, 0.26]"
Ornaments,135,"0.24 [-0.65, 1.15]","0.05 [-0.65, 0.77]","-0.15 [-0.58, 0.24]"
