Marker,N,sd_world_region
Circumcision,142,"1.98 [1.11, 3.41]"
Tattoos/Scarification,138,"1.84 [0.78, 3.48]"
Dress,136,"0.34 [0.01, 1.13]"
Food Taboos,141,"0.36 [0.01, 1.03]"
Hair,133,"0.55 [0.03, 1.39]"
Ornaments,135,"1.04 [0.27, 2.18]"
