Marker,N,divergences,max_rhat,min_bulk_ess,min_tail_ess
Circumcision,142,0,1.002,2341,3690
Tattoos/Scarification,138,0,1.003,2419,3181
Dress,136,0,1.001,6361,5336
Food Taboos,141,0,1.001,7337,5100
Hair,133,0,1.003,4780,4752
Ornaments,135,0,1.002,2849,3872
