Marker,N,Intercept,violent_internal,year_scaled
Permanent Scarring,241,"-3.24 [-4.45, -2.03]","1.09 [-0.03, 2.20]","-0.64 [-1.28, -0.01]"
Extra-Ritual In-Group Markers,221,"-0.70 [-1.43, 0.05]","0.06 [-0.64, 0.74]","-0.20 [-0.72, 0.27]"
Circumcision,213,"-2.46 [-3.72, -1.16]","0.27 [-0.67, 1.19]","-0.19 [-0.80, 0.43]"
Dress,214,"-1.33 [-2.18, -0.57]","-0.39 [-1.23, 0.40]","0.07 [-0.44, 0.62]"
Food Taboos,213,"-1.69 [-2.59, -0.89]","0.45 [-0.34, 1.23]","-0.37 [-0.89, 0.11]"
Hair,211,"-1.66 [-2.53, -0.81]","-0.29 [-1.19, 0.58]","-0.29 [-0.82, 0.22]"
Ornaments,214,"-1.51 [-2.57, -0.33]","-0.26 [-1.20, 0.64]","-0.45 [-1.15, 0.15]"
Tattoos/Scarification,214,"-2.05 [-3.62, -0.31]","-0.34 [-1.58, 0.84]","-0.52 [-1.30, 0.25]"
